A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
17316, 17516, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 6, 2, 2, 0, 1, 4
17246, 17516, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 6, 2, 2, 0, 1, 4
17028, 18373, 1, "OK", 1, 52, 38, 29, 12, 17, 9, 1
16697, 18396, 1, "OK", 0, 70, 41, 41, 15, 26, 9, 0
16697, 16860, 1, "OK", 0, 6, 1, 1, 1, 0, 0, 0
17910, 18298, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 11, 3, 3, 0, 2, 4
17604, 18332, 1, "OK", 2, 29, 22, 12, 6, 6, 5, 2
17699, 18332, 1, "OK", 3, 26, 22, 12, 6, 6, 5, 2
18007, 18128, 1, "OK", 4, 5, 5, 1, 1, 0, 1, 4
16770, 16926, 1, "OK", 1, 7, 2, 2, 2, 0, 0, 0
17391, 17516, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 6, 2, 2, 0, 1, 4
17873, 18306, 1, "OK", 4, 17, 15, 6, 4, 2, 3, 3
16868, 16953, 1, "OK", 0, 5, 1, 1, 1, 0, 0, 0
16725, 16926, 1, "OK", 0, 9, 2, 2, 2, 0, 0, 0
17910, 18080, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  RealVariable variable double sum", 0, 0, 5, 1, 1, 0, 1, 4
17316, 17551, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 6, 2, 2, 0, 1, 4
18090, 18263, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 6, 2, 2, 0, 1, 4
18007, 18263, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 11, 3, 3, 0, 2, 4
18138, 18298, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 6, 2, 2, 0, 1, 4
16934, 18378, 1, "OK", 1, 57, 39, 39, 13, 26, 9, 0
17980, 18080, 1, "OK", 3, 5, 5, 1, 1, 0, 1, 4
16868, 18378, 1, "OK", 1, 61, 40, 40, 14, 26, 9, 0
16770, 16953, 1, "OK", 1, 9, 2, 2, 2, 0, 0, 0
17184, 17559, 1, "OK", 2, 13, 10, 4, 3, 1, 2, 3
16868, 18396, 1, "OK", 1, 63, 40, 40, 14, 26, 9, 0
17209, 17559, 1, "OK", 3, 11, 10, 4, 3, 1, 2, 3
17246, 17551, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 6, 2, 2, 0, 1, 4
16934, 18396, 1, "OK", 1, 59, 39, 39, 13, 26, 9, 0
16770, 18378, 1, "OK", 1, 65, 41, 41, 15, 26, 9, 0
16989, 18378, 1, "OK", 1, 54, 39, 39, 13, 26, 9, 0
17077, 18338, 1, "OK", 2, 48, 38, 29, 12, 17, 9, 1
17391, 17551, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 6, 2, 2, 0, 1, 4
18007, 18298, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 11, 3, 3, 0, 2, 4
16725, 16953, 1, "OK", 0, 11, 2, 2, 2, 0, 0, 0
16697, 16926, 1, "OK", 0, 10, 2, 2, 2, 0, 0, 0
16770, 18396, 1, "OK", 1, 67, 41, 41, 15, 26, 9, 0
16770, 16860, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
17910, 18128, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  RealVariable variable double value", 0, 0, 5, 1, 1, 0, 1, 4
17735, 18306, 1, "OK", 4, 22, 19, 7, 5, 2, 4, 3
17980, 18263, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 11, 3, 3, 0, 2, 4
17028, 18338, 1, "OK", 1, 50, 38, 29, 12, 17, 9, 1
18090, 18298, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 6, 2, 2, 0, 1, 4
17710, 18306, 1, "OK", 3, 24, 19, 7, 5, 2, 4, 3
17980, 18128, 1, "OK", 3, 7, 5, 1, 1, 0, 1, 4
16725, 18378, 1, "OK", 0, 67, 41, 41, 15, 26, 9, 0
16725, 18396, 1, "OK", 0, 69, 41, 41, 15, 26, 9, 0
16725, 16860, 1, "OK", 0, 5, 1, 1, 1, 0, 0, 0
18007, 18080, 1, "OK", 4, 3, 5, 1, 1, 0, 1, 4
16989, 18396, 1, "OK", 1, 56, 39, 39, 13, 26, 9, 0
16697, 16953, 1, "OK", 0, 12, 2, 2, 2, 0, 0, 0
17910, 18263, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 11, 3, 3, 0, 2, 4
17735, 17822, 1, "OK", 2, 3, 4, 1, 1, 0, 1, 3
16868, 16926, 1, "OK", 0, 3, 1, 1, 1, 0, 0, 0
17173, 17585, 1, "OK", 2, 15, 13, 7, 4, 3, 3, 2
18138, 18263, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 6, 2, 2, 0, 1, 4
17980, 18298, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 11, 3, 3, 0, 2, 4
17077, 18373, 1, "OK", 2, 50, 38, 29, 12, 17, 9, 1
17710, 17822, 1, "OK", 2, 5, 4, 1, 1, 0, 1, 3
16697, 18378, 1, "OK", 0, 68, 41, 41, 15, 26, 9, 0
