A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
19513, 20832, 1, "OK", 2, 52, 22, 22, 13, 9, 7, 0
19610, 21155, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double psxps int hsig", 0, 0, 24, 24, 15, 9, 7, 0
19610, 21927, 1, "OK", 4, 80, 37, 37, 21, 16, 11, 0
20865, 21155, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double psxps int hsig", 0, 0, 2, 2, 2, 0, 0, 0
20865, 21927, 1, "OK", 3, 30, 15, 15, 8, 7, 4, 0
19546, 20832, 1, "OK", 3, 51, 22, 22, 13, 9, 7, 0
21031, 21155, 1, "OK", 3, 3, 1, 1, 1, 0, 0, 0
19415, 21835, 1, "OK", 0, 83, 37, 37, 21, 16, 11, 0
19458, 21272, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double[] xold double psxps int hsig", 0, 0, 25, 25, 16, 9, 7, 0
19933, 20882, 1, "OK", 4, 40, 17, 17, 9, 8, 6, 0
19933, 21927, 1, "OK", 4, 69, 32, 32, 17, 15, 10, 0
19415, 20832, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int N double[] xold double[] BDz", 0, 0, 22, 22, 13, 9, 7, 0
21406, 21567, 1, "OK", 3, 1, 3, 1, 1, 0, 1, 2
19458, 21025, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double[] xold double[] BDz double psxps int hsig", 0, 0, 23, 23, 14, 9, 7, 0
19610, 19897, 1, "OK", 0, 9, 5, 5, 4, 1, 1, 0
21406, 21824, 1, "OK", 4, 5, 6, 2, 2, 0, 2, 2
21031, 21927, 1, "OK", 5, 21, 14, 14, 7, 7, 4, 0
19933, 21155, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double psxps int hsig", 0, 0, 19, 19, 11, 8, 6, 0
19546, 20882, 1, "OK", 3, 54, 22, 22, 13, 9, 7, 0
21296, 21927, 1, "OK", 4, 12, 12, 12, 5, 7, 4, 0
19513, 20882, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double[] BDz double psxps", 0, 0, 22, 22, 13, 9, 7, 0
19610, 20179, 1, "OK", 3, 20, 8, 8, 6, 2, 2, 0
19610, 20950, 1, "OK", 4, 55, 23, 23, 14, 9, 7, 0
20657, 20751, 1, "OK", 3, 5, 3, 1, 1, 0, 1, 2
20227, 21025, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double psxps int hsig", 0, 0, 15, 15, 8, 7, 5, 0
20448, 20827, 1, "OK", 3, 19, 10, 6, 4, 2, 4, 1
19967, 20110, 1, "OK", 1, 5, 2, 1, 1, 0, 1, 1
20865, 20950, 1, "OK", 1, 5, 1, 1, 1, 0, 0, 0
20227, 21272, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double psxps int hsig", 0, 0, 17, 17, 10, 7, 5, 0
20888, 21025, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double psxps int hsig", 0, 0, 1, 1, 1, 0, 0, 0
19513, 21155, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double[] BDz double psxps int hsig", 0, 0, 24, 24, 15, 9, 7, 0
19458, 21835, 1, "OK", 1, 82, 37, 37, 21, 16, 11, 0
19546, 21155, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double psxps int hsig", 0, 0, 24, 24, 15, 9, 7, 0
20622, 20827, 1, "OK", 2, 9, 5, 3, 2, 1, 2, 1
19513, 21927, 1, "OK", 2, 84, 37, 37, 21, 16, 11, 0
19546, 21927, 1, "OK", 3, 83, 37, 37, 21, 16, 11, 0
20888, 21272, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double psxps int hsig", 0, 0, 3, 3, 3, 0, 0, 0
20682, 20751, 1, "OK", 4, 3, 3, 1, 1, 0, 1, 2
21012, 21272, 1, "OK", 3, 9, 2, 2, 2, 0, 0, 0
19933, 20950, 1, "OK", 4, 44, 18, 18, 10, 8, 6, 0
19415, 20882, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int N double[] xold double[] BDz double psxps", 0, 0, 22, 22, 13, 9, 7, 0
19458, 20832, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double[] xold double[] BDz", 0, 0, 22, 22, 13, 9, 7, 0
21161, 21272, 1, "OK", 3, 3, 1, 1, 1, 0, 0, 0
19933, 20179, 1, "OK", 3, 9, 3, 3, 2, 1, 1, 0
20227, 21835, 1, "OK", 4, 55, 29, 29, 15, 14, 9, 0
20448, 20615, 1, "OK", 3, 9, 5, 3, 2, 1, 2, 1
19415, 21155, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int N double[] xold double[] BDz double psxps int hsig", 0, 0, 24, 24, 15, 9, 7, 0
19513, 19897, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double[] BDz double[] artmp", 0, 0, 5, 5, 4, 1, 1, 0
19546, 19897, 1, "OK", 1, 12, 5, 5, 4, 1, 1, 0
19513, 20179, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double[] BDz double[] artmp", 0, 0, 8, 8, 6, 2, 2, 0
20865, 21272, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double psxps int hsig", 0, 0, 3, 3, 3, 0, 0, 0
21012, 21835, 1, "OK", 4, 20, 14, 14, 7, 7, 4, 0
19546, 20179, 1, "OK", 3, 23, 8, 8, 6, 2, 2, 0
19546, 20950, 1, "OK", 3, 58, 23, 23, 14, 9, 7, 0
19610, 21272, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double psxps int hsig", 0, 0, 25, 25, 16, 9, 7, 0
19513, 20950, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double[] BDz double psxps", 0, 0, 23, 23, 14, 9, 7, 0
20227, 20832, 1, "OK", 3, 26, 14, 14, 7, 7, 5, 0
20483, 20575, 1, "OK", 3, 5, 3, 1, 1, 0, 1, 2
19415, 21927, 1, "OK", 0, 86, 37, 37, 21, 16, 11, 0
19967, 20174, 1, "OK", 3, 7, 2, 1, 1, 0, 1, 1
20888, 21835, 1, "OK", 4, 25, 15, 15, 8, 7, 4, 0
20314, 20431, 1, "OK", 2, 3, 2, 1, 1, 0, 1, 1
