A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
16838, 18766, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int divisionsOuter int divisionsInner int populationSize", 0, 0, 18, 18, 17, 1, 1, 0
19051, 20050, 1, "OK", 2, 36, 9, 9, 5, 4, 2, 0
19960, 20292, 1, "OK", 1, 11, 3, 3, 3, 0, 0, 0
16838, 20050, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Initialization initialization ReferencePointNondominatedSortingPopulation population Selection selection", 0, 0, 27, 27, 22, 5, 3, 0
16869, 19078, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Initialization initialization ReferencePointNondominatedSortingPopulation population", 0, 0, 18, 18, 17, 1, 1, 0
16838, 19785, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Initialization initialization ReferencePointNondominatedSortingPopulation population Selection selection", 0, 0, 26, 26, 21, 5, 3, 0
20180, 20396, 1, "OK", 2, 6, 1, 1, 1, 0, 0, 0
19960, 20050, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
16869, 20396, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Initialization initialization ReferencePointNondominatedSortingPopulation population Selection selection Variation variation", 0, 0, 29, 29, 24, 5, 3, 0
18210, 19785, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Initialization initialization ReferencePointNondominatedSortingPopulation population Selection selection", 0, 0, 12, 12, 7, 5, 3, 0
16869, 18861, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int divisionsOuter int divisionsInner Initialization initialization", 0, 0, 18, 18, 17, 1, 1, 0
18210, 18766, 1, "OK", 4, 10, 4, 4, 3, 1, 1, 0
16838, 19045, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Initialization initialization ReferencePointNondominatedSortingPopulation population", 0, 0, 18, 18, 17, 1, 1, 0
18183, 19078, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Initialization initialization ReferencePointNondominatedSortingPopulation population", 0, 0, 4, 4, 3, 1, 1, 0
16811, 20396, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Initialization initialization ReferencePointNondominatedSortingPopulation population Selection selection Variation variation", 0, 0, 29, 29, 24, 5, 3, 0
16811, 18861, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int divisionsOuter int divisionsInner Initialization initialization", 0, 0, 18, 18, 17, 1, 1, 0
18210, 20292, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Initialization initialization ReferencePointNondominatedSortingPopulation population Selection selection", 0, 0, 15, 15, 10, 5, 3, 0
18384, 18761, 1, "OK", 3, 5, 2, 1, 1, 0, 1, 1
19086, 19785, 1, "OK", 1, 27, 8, 8, 4, 4, 2, 0
17296, 18175, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int divisionsOuter int divisionsInner", 0, 0, 10, 10, 10, 0, 0, 0
18210, 20050, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Initialization initialization ReferencePointNondominatedSortingPopulation population Selection selection", 0, 0, 13, 13, 8, 5, 3, 0
18774, 20490, 1, "OK", 5, 56, 11, 11, 7, 4, 2, 0
19086, 20292, 1, "OK", 2, 42, 11, 11, 7, 4, 2, 0
17610, 18175, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int divisionsOuter int divisionsInner", 0, 0, 6, 6, 6, 0, 0, 0
16869, 20172, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Initialization initialization ReferencePointNondominatedSortingPopulation population Selection selection", 0, 0, 28, 28, 23, 5, 3, 0
19483, 19780, 1, "OK", 0, 10, 3, 2, 1, 1, 1, 1
16838, 19078, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Initialization initialization ReferencePointNondominatedSortingPopulation population", 0, 0, 18, 18, 17, 1, 1, 0
16811, 20172, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Initialization initialization ReferencePointNondominatedSortingPopulation population Selection selection", 0, 0, 28, 28, 23, 5, 3, 0
18210, 19045, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Initialization initialization ReferencePointNondominatedSortingPopulation population", 0, 0, 4, 4, 3, 1, 1, 0
19086, 20050, 1, "OK", 2, 34, 9, 9, 5, 4, 2, 0
17916, 18175, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int divisionsOuter int divisionsInner", 0, 0, 3, 3, 3, 0, 0, 0
19255, 19418, 1, "OK", 2, 5, 3, 1, 1, 0, 1, 2
18183, 20396, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Initialization initialization ReferencePointNondominatedSortingPopulation population Selection selection Variation variation", 0, 0, 15, 15, 10, 5, 3, 0
18183, 18861, 1, "OK", 4, 15, 4, 4, 3, 1, 1, 0
18869, 20396, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ReferencePointNondominatedSortingPopulation population Selection selection Variation variation", 0, 0, 11, 11, 7, 4, 2, 0
20058, 20396, 1, "OK", 2, 10, 2, 2, 2, 0, 0, 0
17454, 18175, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int divisionsOuter int divisionsInner", 0, 0, 8, 8, 8, 0, 0, 0
16838, 18861, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int divisionsOuter int divisionsInner Initialization initialization", 0, 0, 18, 18, 17, 1, 1, 0
18774, 20292, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Initialization initialization ReferencePointNondominatedSortingPopulation population Selection selection", 0, 0, 11, 11, 7, 4, 2, 0
19255, 19446, 1, "OK", 2, 7, 3, 1, 1, 0, 1, 2
19051, 20396, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Selection selection Variation variation", 0, 0, 11, 11, 7, 4, 2, 0
18210, 19078, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Initialization initialization ReferencePointNondominatedSortingPopulation population", 0, 0, 4, 4, 3, 1, 1, 0
18183, 20172, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Initialization initialization ReferencePointNondominatedSortingPopulation population Selection selection", 0, 0, 14, 14, 9, 5, 3, 0
