A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
1876, 2453, 0, "Compilation unit does not compile after method extraction.", 1, 15, 1, 1, 1, 0, 0, 0
1907, 4052, 1, "OK", 1, 59, 20, 20, 13, 7, 4, 0
1864, 2314, 0, "Cannot extract super or this call from constructor.", 0, 0, 1, 1, 1, 0, 0, 0
1907, 2265, 1, "OK", 1, 8, 1, 1, 1, 0, 0, 0
2411, 4052, 1, "OK", 1, 47, 19, 19, 12, 7, 4, 0
2506, 3926, 1, "OK", 3, 38, 18, 18, 11, 7, 4, 0
1864, 2453, 0, "Cannot extract super or this call from constructor.", 0, 0, 1, 1, 1, 0, 0, 0
2367, 4015, 1, "OK", 1, 47, 19, 19, 12, 7, 4, 0
3290, 3433, 1, "OK", 2, 4, 1, 1, 1, 0, 0, 2
2114, 4052, 1, "OK", 1, 54, 19, 19, 12, 7, 4, 0
1907, 2405, 1, "OK", 1, 11, 1, 1, 1, 0, 0, 0
3686, 3834, 1, "OK", 2, 4, 1, 1, 1, 0, 0, 2
2172, 4052, 1, "OK", 1, 53, 19, 19, 12, 7, 4, 0
1876, 4015, 0, "Compilation unit does not compile after method extraction.", 1, 59, 20, 20, 13, 7, 4, 0
2457, 4052, 1, "OK", 2, 46, 19, 19, 12, 7, 4, 0
3546, 3834, 1, "OK", 4, 8, 4, 2, 2, 0, 1, 2
1876, 2228, 0, "Compilation unit does not compile after method extraction.", 1, 9, 1, 1, 1, 0, 0, 0
2318, 4015, 1, "OK", 1, 48, 19, 19, 12, 7, 4, 0
1907, 2168, 1, "OK", 1, 6, 1, 1, 1, 0, 0, 0
1876, 2490, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Solution solution SolutionType solutionType", 0, 0, 1, 1, 1, 0, 0, 0
2058, 4015, 1, "OK", 1, 53, 19, 19, 12, 7, 4, 0
1864, 4015, 0, "Cannot extract super or this call from constructor.", 0, 0, 20, 20, 13, 7, 4, 0
1876, 2363, 0, "Compilation unit does not compile after method extraction.", 1, 12, 1, 1, 1, 0, 0, 0
2800, 3032, 1, "OK", 2, 6, 4, 2, 2, 0, 1, 2
1876, 2110, 0, "Compilation unit does not compile after method extraction.", 1, 7, 1, 1, 1, 0, 0, 0
1864, 2228, 0, "Cannot extract super or this call from constructor.", 0, 0, 1, 1, 1, 0, 0, 0
2891, 3032, 1, "OK", 2, 4, 1, 1, 1, 0, 0, 2
2496, 4015, 1, "OK", 3, 42, 19, 19, 12, 7, 4, 0
1907, 2052, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
2269, 4015, 1, "OK", 1, 49, 19, 19, 12, 7, 4, 0
1864, 2490, 0, "Cannot extract super or this call from constructor.", 0, 0, 1, 1, 1, 0, 0, 0
