A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
12492, 27025, 1, "OK", 0, 456, 4, 4, 2, 2, 2, 0
16077, 26997, 1, "OK", 0, 353, 4, 4, 2, 2, 2, 0
13676, 26160, 1, "OK", 0, 386, 4, 4, 2, 2, 2, 0
7858, 21682, 1, "OK", 0, 399, 5, 5, 2, 3, 2, 0
14328, 26425, 1, "OK", 0, 384, 4, 4, 2, 2, 2, 0
23058, 25630, 1, "OK", 0, 80, 4, 4, 2, 2, 2, 0
23440, 24018, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Properties properties ProjectInfo info", 0, 0, 2, 1, 1, 0, 1, 1
6921, 26160, 1, "OK", 0, 582, 17, 17, 7, 10, 7, 0
6921, 19504, 1, "OK", 0, 365, 13, 13, 5, 8, 5, 0
8430, 8572, 1, "OK", 1, 5, 3, 1, 1, 0, 1, 2
6921, 22583, 1, "OK", 0, 467, 13, 13, 5, 8, 5, 0
9010, 26425, 1, "OK", 0, 520, 4, 4, 2, 2, 2, 0
6921, 27195, 1, "OK", 0, 628, 17, 17, 7, 10, 7, 0
7858, 12484, 1, "OK", 0, 127, 5, 5, 2, 3, 2, 0
17120, 26425, 1, "OK", 0, 299, 4, 4, 2, 2, 2, 0
18881, 25082, 1, "OK", 0, 199, 4, 4, 2, 2, 2, 0
19512, 27025, 1, "OK", 0, 252, 4, 4, 2, 2, 2, 0
23058, 26160, 1, "OK", 0, 97, 4, 4, 2, 2, 2, 0
13676, 27195, 1, "OK", 0, 432, 4, 4, 2, 2, 2, 0
7858, 16069, 1, "OK", 0, 229, 5, 5, 2, 3, 2, 0
14328, 26966, 1, "OK", 0, 402, 4, 4, 2, 2, 2, 0
17642, 25082, 1, "OK", 0, 233, 4, 4, 2, 2, 2, 0
23488, 24592, 1, "OK", 1, 33, 2, 1, 1, 0, 1, 1
21248, 26966, 1, "OK", 0, 198, 4, 4, 2, 2, 2, 0
7858, 16590, 1, "OK", 0, 246, 5, 5, 2, 3, 2, 0
12492, 27043, 1, "OK", 0, 457, 4, 4, 2, 2, 2, 0
9010, 26966, 1, "OK", 0, 538, 4, 4, 2, 2, 2, 0
23058, 27195, 1, "OK", 0, 143, 4, 4, 2, 2, 2, 0
7858, 17112, 1, "OK", 0, 263, 5, 5, 2, 3, 2, 0
19512, 27043, 1, "OK", 0, 253, 4, 4, 2, 2, 2, 0
23528, 24916, 0, "Compilation unit does not compile after method extraction.", 1, 40, 2, 1, 1, 0, 1, 1
14874, 26425, 1, "OK", 0, 367, 4, 4, 2, 2, 2, 0
16077, 27025, 1, "OK", 0, 354, 4, 4, 2, 2, 2, 0
7551, 7695, 1, "OK", 1, 4, 3, 1, 1, 0, 1, 2
23528, 24422, 0, "Compilation unit does not compile after method extraction.", 1, 27, 2, 1, 1, 0, 1, 1
7858, 17634, 1, "OK", 0, 280, 5, 5, 2, 3, 2, 0
22142, 26425, 1, "OK", 0, 146, 4, 4, 2, 2, 2, 0
18881, 25630, 1, "OK", 0, 216, 4, 4, 2, 2, 2, 0
23488, 24123, 1, "OK", 1, 23, 2, 1, 1, 0, 1, 1
14328, 26997, 1, "OK", 0, 404, 4, 4, 2, 2, 2, 0
14874, 26966, 1, "OK", 0, 385, 4, 4, 2, 2, 2, 0
21248, 26997, 1, "OK", 0, 200, 4, 4, 2, 2, 2, 0
6921, 20070, 1, "OK", 0, 382, 13, 13, 5, 8, 5, 0
17642, 25630, 1, "OK", 0, 250, 4, 4, 2, 2, 2, 0
16077, 27043, 1, "OK", 0, 355, 4, 4, 2, 2, 2, 0
17120, 26966, 1, "OK", 0, 317, 4, 4, 2, 2, 2, 0
9010, 26997, 1, "OK", 0, 540, 4, 4, 2, 2, 2, 0
7858, 21240, 1, "OK", 0, 382, 5, 5, 2, 3, 2, 0
20078, 26425, 1, "OK", 0, 214, 4, 4, 2, 2, 2, 0
23440, 24592, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Properties properties ProjectInfo info", 0, 0, 2, 1, 1, 0, 1, 1
21690, 25082, 1, "OK", 0, 114, 4, 4, 2, 2, 2, 0
6921, 22134, 1, "OK", 0, 450, 13, 13, 5, 8, 5, 0
7858, 11007, 1, "OK", 0, 93, 5, 5, 2, 3, 2, 0
7858, 13054, 1, "OK", 0, 144, 5, 5, 2, 3, 2, 0
17642, 26160, 1, "OK", 0, 267, 4, 4, 2, 2, 2, 0
18881, 27195, 1, "OK", 0, 279, 4, 4, 2, 2, 2, 0
22142, 26966, 1, "OK", 0, 164, 4, 4, 2, 2, 2, 0
23528, 24959, 0, "Compilation unit does not compile after method extraction.", 1, 41, 2, 1, 1, 0, 1, 1
21248, 27025, 1, "OK", 0, 201, 4, 4, 2, 2, 2, 0
18881, 26160, 1, "OK", 0, 233, 4, 4, 2, 2, 2, 0
17642, 27195, 1, "OK", 0, 313, 4, 4, 2, 2, 2, 0
14874, 26997, 1, "OK", 0, 387, 4, 4, 2, 2, 2, 0
14328, 27025, 1, "OK", 0, 405, 4, 4, 2, 2, 2, 0
17120, 26997, 1, "OK", 0, 319, 4, 4, 2, 2, 2, 0
9558, 26425, 1, "OK", 0, 503, 4, 4, 2, 2, 2, 0
20078, 26966, 1, "OK", 0, 232, 4, 4, 2, 2, 2, 0
6921, 15498, 1, "OK", 0, 246, 13, 13, 5, 8, 5, 0
9010, 27025, 1, "OK", 0, 541, 4, 4, 2, 2, 2, 0
23440, 24123, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Properties properties ProjectInfo info", 0, 0, 2, 1, 1, 0, 1, 1
