A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
6421, 7604, 1, "OK", 2, 35, 16, 10, 7, 3, 6, 1
6205, 7907, 1, "OK", 5, 59, 20, 20, 10, 10, 7, 0
7397, 7560, 1, "OK", 1, 5, 2, 1, 1, 0, 1, 1
5666, 7977, 1, "OK", 1, 77, 22, 22, 12, 10, 7, 0
6542, 7195, 1, "OK", 2, 20, 12, 8, 5, 3, 4, 1
6350, 7514, 1, "OK", 3, 33, 16, 10, 7, 3, 6, 1
6485, 7685, 1, "OK", 3, 36, 16, 10, 7, 3, 6, 1
6307, 7836, 1, "OK", 4, 50, 19, 19, 9, 10, 7, 0
6421, 6604, 1, "OK", 1, 6, 2, 1, 1, 0, 1, 1
6755, 7514, 1, "OK", 1, 22, 14, 9, 6, 3, 5, 1
5905, 8015, 1, "OK", 4, 76, 22, 22, 12, 10, 7, 0
6542, 7727, 1, "OK", 3, 36, 16, 10, 7, 3, 6, 1
7204, 7685, 1, "OK", 3, 13, 4, 2, 2, 0, 2, 1
5839, 8015, 1, "OK", 3, 77, 22, 22, 12, 10, 7, 0
6485, 7195, 1, "OK", 2, 22, 12, 8, 5, 3, 4, 1
6542, 6708, 1, "OK", 2, 5, 2, 1, 1, 0, 1, 1
5733, 7977, 1, "OK", 2, 76, 22, 22, 12, 10, 7, 0
5666, 8015, 1, "OK", 1, 79, 22, 22, 12, 10, 7, 0
6812, 7560, 1, "OK", 2, 22, 14, 9, 6, 3, 5, 1
6618, 7685, 1, "OK", 3, 30, 14, 9, 6, 3, 5, 1
7397, 7604, 1, "OK", 2, 6, 2, 1, 1, 0, 1, 1
6350, 7560, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Properties defaultProperties Properties properties", 0, 0, 16, 10, 7, 3, 6, 1
6485, 7727, 1, "OK", 3, 38, 16, 10, 7, 3, 6, 1
5932, 7977, 1, "OK", 5, 72, 22, 22, 12, 10, 7, 0
6618, 7195, 1, "OK", 2, 16, 10, 7, 4, 3, 3, 1
6485, 6708, 1, "OK", 2, 7, 2, 1, 1, 0, 1, 1
6350, 6803, 1, "OK", 3, 12, 2, 1, 1, 0, 1, 1
6755, 7560, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Properties defaultProperties Properties properties", 0, 0, 14, 9, 6, 3, 5, 1
5733, 8015, 1, "OK", 2, 78, 22, 22, 12, 10, 7, 0
6542, 7514, 1, "OK", 2, 29, 16, 10, 7, 3, 6, 1
7204, 7727, 1, "OK", 3, 15, 4, 2, 2, 0, 2, 1
6421, 7685, 1, "OK", 3, 37, 16, 10, 7, 3, 6, 1
6812, 7339, 1, "OK", 2, 15, 12, 8, 5, 3, 4, 1
6618, 7727, 1, "OK", 3, 32, 14, 9, 6, 3, 5, 1
6812, 7604, 1, "OK", 2, 23, 14, 9, 6, 3, 5, 1
6350, 7339, 1, "OK", 3, 28, 14, 9, 6, 3, 5, 1
6350, 7604, 1, "OK", 3, 36, 16, 10, 7, 3, 6, 1
6421, 7195, 1, "OK", 2, 23, 12, 8, 5, 3, 4, 1
6485, 7514, 1, "OK", 2, 31, 16, 10, 7, 3, 6, 1
5932, 8015, 1, "OK", 5, 74, 22, 22, 12, 10, 7, 0
6755, 7339, 1, "OK", 1, 17, 12, 8, 5, 3, 4, 1
5905, 6051, 1, "OK", 1, 5, 1, 1, 1, 0, 0, 0
6755, 7604, 1, "OK", 1, 25, 14, 9, 6, 3, 5, 1
7204, 7514, 1, "OK", 2, 8, 4, 2, 2, 0, 2, 1
5839, 6051, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  File inputFile int frequency", 0, 0, 1, 1, 1, 0, 0, 0
6421, 7727, 1, "OK", 3, 39, 16, 10, 7, 3, 6, 1
6542, 7560, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Properties defaultProperties Properties properties", 0, 0, 16, 10, 7, 3, 6, 1
6350, 6604, 1, "OK", 2, 7, 2, 1, 1, 0, 1, 1
5666, 6051, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String outputFilePattern ParameterFile parameterFile File inputFile int frequency", 0, 0, 1, 1, 1, 0, 0, 0
6618, 7514, 1, "OK", 2, 25, 14, 9, 6, 3, 5, 1
7397, 7685, 1, "OK", 3, 8, 2, 1, 1, 0, 1, 1
6421, 6708, 1, "OK", 2, 8, 2, 1, 1, 0, 1, 1
6542, 6803, 1, "OK", 2, 8, 2, 1, 1, 0, 1, 1
7925, 7973, 1, "OK", 0, 3, 1, 1, 1, 0, 0, 0
6485, 7560, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Properties defaultProperties Properties properties", 0, 0, 16, 10, 7, 3, 6, 1
6485, 6803, 1, "OK", 2, 10, 2, 1, 1, 0, 1, 1
5733, 6051, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ParameterFile parameterFile File inputFile int frequency", 0, 0, 1, 1, 1, 0, 0, 0
6542, 7339, 1, "OK", 2, 24, 14, 9, 6, 3, 5, 1
6542, 7604, 1, "OK", 2, 32, 16, 10, 7, 3, 6, 1
6421, 7514, 1, "OK", 2, 32, 16, 10, 7, 3, 6, 1
6111, 7907, 1, "OK", 5, 61, 20, 20, 10, 10, 7, 0
7204, 7560, 1, "OK", 2, 10, 4, 2, 2, 0, 2, 1
7397, 7727, 1, "OK", 3, 10, 2, 1, 1, 0, 1, 1
6812, 7685, 1, "OK", 3, 25, 14, 9, 6, 3, 5, 1
6618, 7560, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Properties defaultProperties Properties properties", 0, 0, 14, 9, 6, 3, 5, 1
6287, 7836, 1, "OK", 3, 52, 19, 19, 9, 10, 7, 0
