A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
6187, 7376, 1, "OK", 1, 39, 16, 16, 10, 6, 5, 0
6632, 6829, 1, "OK", 1, 4, 2, 1, 1, 0, 1, 1
6876, 7040, 1, "OK", 0, 4, 5, 3, 2, 1, 2, 1
6310, 7376, 1, "OK", 1, 34, 15, 15, 9, 6, 5, 0
6516, 6622, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 2, 1, 1, 0, 1, 1
6564, 6829, 1, "OK", 1, 8, 4, 2, 2, 0, 2, 1
6187, 6834, 1, "OK", 1, 22, 7, 7, 5, 2, 2, 0
6466, 7376, 1, "OK", 1, 29, 14, 14, 8, 6, 5, 0
6310, 6834, 1, "OK", 1, 17, 6, 6, 4, 2, 2, 0
7140, 7376, 1, "OK", 0, 8, 3, 3, 2, 1, 1, 0
6187, 6460, 1, "OK", 1, 9, 2, 2, 2, 0, 0, 0
6466, 6834, 1, "OK", 1, 12, 5, 5, 3, 2, 2, 0
7163, 7371, 1, "OK", 0, 6, 2, 1, 1, 0, 1, 1
6310, 6460, 1, "OK", 0, 4, 1, 1, 1, 0, 0, 0
6842, 7376, 1, "OK", 0, 16, 9, 9, 5, 4, 3, 0
6187, 6302, 1, "OK", 1, 4, 1, 1, 1, 0, 0, 0
6564, 6622, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 2, 1, 1, 0, 1, 1
6516, 6829, 1, "OK", 2, 10, 4, 2, 2, 0, 2, 1
7163, 7282, 1, "OK", 0, 3, 2, 1, 1, 0, 1, 1
6876, 7129, 1, "OK", 0, 7, 5, 3, 2, 1, 2, 1
6941, 7034, 1, "OK", 1, 2, 3, 1, 1, 0, 1, 2
