A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
3731, 4787, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double gval double gval2", 0, 0, 19, 19, 19, 0, 0, 0
3753, 4745, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int rrseed double gval", 0, 0, 19, 19, 19, 0, 0, 0
4217, 4668, 1, "OK", 1, 13, 11, 11, 11, 0, 0, 0
4472, 4668, 1, "OK", 1, 7, 5, 5, 5, 0, 0, 0
3988, 4668, 1, "OK", 1, 18, 15, 15, 15, 0, 0, 0
3797, 4668, 1, "OK", 1, 23, 18, 18, 18, 0, 0, 0
3753, 4787, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double gval double gval2", 0, 0, 19, 19, 19, 0, 0, 0
3731, 4668, 1, "OK", 1, 27, 19, 19, 19, 0, 0, 0
4302, 4668, 1, "OK", 1, 11, 9, 9, 9, 0, 0, 0
3731, 4865, 1, "OK", 2, 32, 19, 19, 19, 0, 0, 0
4557, 4668, 1, "OK", 1, 5, 3, 3, 3, 0, 0, 0
3731, 4708, 1, "OK", 2, 29, 19, 19, 19, 0, 0, 0
3753, 4668, 1, "OK", 1, 25, 19, 19, 19, 0, 0, 0
3731, 4745, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int rrseed double gval", 0, 0, 19, 19, 19, 0, 0, 0
3753, 4865, 1, "OK", 2, 30, 19, 19, 19, 0, 0, 0
4387, 4668, 1, "OK", 1, 9, 7, 7, 7, 0, 0, 0
4133, 4668, 1, "OK", 1, 15, 13, 13, 13, 0, 0, 0
3843, 4668, 1, "OK", 1, 21, 17, 17, 17, 0, 0, 0
3753, 4708, 1, "OK", 2, 27, 19, 19, 19, 0, 0, 0
