A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
1966, 2097, 1, "OK", 2, 5, 1, 1, 1, 0, 0, 0
2077, 3073, 1, "OK", 2, 45, 25, 25, 11, 14, 8, 0
1966, 2162, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int N double[][] sobolSequence", 0, 0, 1, 1, 1, 0, 0, 0
1966, 2227, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int N double[][] sobolSequence double[][] saltelliSequence", 0, 0, 1, 1, 1, 0, 0, 0
2392, 3038, 1, "OK", 5, 31, 22, 15, 9, 6, 7, 1
2442, 2639, 1, "OK", 6, 7, 8, 4, 3, 1, 2, 2
2407, 3023, 1, "OK", 5, 27, 22, 15, 9, 6, 7, 1
2295, 3038, 1, "OK", 5, 35, 24, 16, 10, 6, 8, 1
2295, 2400, 1, "OK", 5, 5, 2, 1, 1, 0, 1, 1
2103, 3043, 1, "OK", 2, 41, 25, 25, 11, 14, 8, 0
2231, 3043, 1, "OK", 4, 39, 25, 25, 11, 14, 8, 0
2166, 3073, 1, "OK", 3, 42, 25, 25, 11, 14, 8, 0
2295, 2661, 1, "OK", 5, 17, 12, 8, 5, 3, 4, 1
2392, 2661, 1, "OK", 5, 13, 10, 7, 4, 3, 3, 1
2929, 3038, 1, "OK", 5, 5, 2, 1, 1, 0, 1, 1
2392, 2922, 1, "OK", 5, 25, 20, 14, 8, 6, 6, 1
1966, 3073, 1, "OK", 2, 49, 26, 26, 12, 14, 8, 0
2295, 2922, 1, "OK", 5, 29, 22, 15, 9, 6, 7, 1
2251, 3073, 1, "OK", 5, 39, 25, 25, 11, 14, 8, 0
2442, 2655, 1, "OK", 6, 9, 8, 4, 3, 1, 2, 2
1966, 2245, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int N double[][] sobolSequence double[][] saltelliSequence int index", 0, 0, 1, 1, 1, 0, 0, 0
2407, 3038, 1, "OK", 5, 29, 22, 15, 9, 6, 7, 1
2478, 2632, 1, "OK", 7, 5, 5, 2, 2, 0, 1, 3
2407, 2661, 1, "OK", 5, 11, 10, 7, 4, 3, 3, 1
2407, 2922, 1, "OK", 5, 23, 20, 14, 8, 6, 6, 1
2668, 3023, 1, "OK", 5, 15, 12, 8, 5, 3, 4, 1
2077, 3043, 1, "OK", 2, 43, 25, 25, 11, 14, 8, 0
2703, 2900, 1, "OK", 6, 7, 8, 4, 3, 1, 2, 2
1966, 2071, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
2103, 3073, 1, "OK", 2, 43, 25, 25, 11, 14, 8, 0
2231, 3073, 1, "OK", 4, 41, 25, 25, 11, 14, 8, 0
2166, 3043, 1, "OK", 3, 40, 25, 25, 11, 14, 8, 0
2668, 3038, 1, "OK", 5, 17, 12, 8, 5, 3, 4, 1
1966, 3043, 1, "OK", 2, 47, 26, 26, 12, 14, 8, 0
2703, 2916, 1, "OK", 6, 9, 8, 4, 3, 1, 2, 2
2251, 3043, 1, "OK", 5, 37, 25, 25, 11, 14, 8, 0
2295, 3023, 1, "OK", 5, 33, 24, 16, 10, 6, 8, 1
2392, 3023, 1, "OK", 5, 29, 22, 15, 9, 6, 7, 1
2295, 2385, 1, "OK", 5, 3, 2, 1, 1, 0, 1, 1
2739, 2893, 1, "OK", 7, 5, 5, 2, 2, 0, 1, 3
2668, 2922, 1, "OK", 5, 11, 10, 7, 4, 3, 3, 1
2929, 3023, 1, "OK", 5, 3, 2, 1, 1, 0, 1, 1
