A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
31028, 31742, 1, "OK", 1, 13, 3, 2, 2, 0, 1, 1
31028, 31710, 1, "OK", 1, 12, 3, 2, 2, 0, 1, 1
30520, 31010, 1, "OK", 0, 10, 11, 8, 6, 2, 3, 1
31028, 31677, 1, "OK", 1, 11, 3, 2, 2, 0, 1, 1
30629, 30797, 1, "OK", 1, 3, 4, 2, 2, 0, 1, 2
30520, 31677, 1, "OK", 0, 22, 14, 10, 8, 2, 4, 1
30520, 31742, 1, "OK", 0, 24, 14, 10, 8, 2, 4, 1
30520, 31710, 1, "OK", 0, 23, 14, 10, 8, 2, 4, 1
30591, 31010, 1, "OK", 1, 9, 11, 8, 6, 2, 3, 1
30591, 31742, 1, "OK", 1, 23, 14, 10, 8, 2, 4, 1
30591, 31710, 1, "OK", 1, 22, 14, 10, 8, 2, 4, 1
30498, 31840, 1, "OK", 0, 28, 16, 11, 9, 2, 5, 1
30591, 31677, 1, "OK", 1, 21, 14, 10, 8, 2, 4, 1
30843, 30992, 1, "OK", 1, 3, 4, 2, 2, 0, 1, 2
30425, 31850, 1, "OK", 1, 30, 18, 18, 11, 7, 5, 0
