A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
32285, 32491, 1, "OK", 2, 6, 3, 1, 1, 0, 1, 2
32537, 33543, 1, "OK", 1, 18, 16, 8, 6, 2, 4, 2
32116, 33627, 1, "OK", 0, 33, 22, 16, 9, 7, 6, 1
32116, 33595, 1, "OK", 0, 32, 22, 16, 9, 7, 6, 1
32208, 32439, 1, "OK", 1, 6, 3, 1, 1, 0, 1, 2
33243, 33521, 1, "OK", 1, 5, 4, 1, 1, 0, 1, 3
32116, 33561, 1, "OK", 0, 30, 22, 16, 9, 7, 6, 1
32326, 32491, 1, "OK", 2, 5, 3, 1, 1, 0, 1, 2
32622, 32817, 1, "OK", 1, 3, 4, 2, 2, 0, 1, 2
32907, 33189, 1, "OK", 1, 5, 4, 1, 1, 0, 1, 3
32094, 33725, 1, "OK", 0, 37, 24, 17, 10, 7, 7, 1
32839, 33543, 1, "OK", 2, 13, 12, 6, 4, 2, 3, 2
32208, 32491, 1, "OK", 1, 8, 3, 1, 1, 0, 1, 2
32285, 32439, 1, "OK", 1, 4, 3, 1, 1, 0, 1, 2
32622, 33543, 1, "OK", 2, 17, 16, 8, 6, 2, 4, 2
32537, 32817, 1, "OK", 0, 4, 4, 2, 2, 0, 1, 2
32021, 33735, 1, "OK", 1, 39, 26, 26, 12, 14, 7, 0
32170, 33627, 1, "OK", 1, 32, 22, 16, 9, 7, 6, 1
32170, 33595, 1, "OK", 1, 31, 22, 16, 9, 7, 6, 1
32326, 32439, 1, "OK", 1, 3, 3, 1, 1, 0, 1, 2
32170, 33561, 1, "OK", 1, 29, 22, 16, 9, 7, 6, 1
