A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
3329, 4387, 0, "Cannot extract super or this call from constructor.", 0, 0, 1, 1, 1, 0, 0, 0
4499, 6003, 1, "OK", 5, 40, 16, 16, 8, 8, 6, 0
3465, 3763, 0, "Compilation unit does not compile after method extraction.", 2, 10, 1, 1, 1, 0, 0, 0
3504, 5113, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 6, 6, 4, 2, 2, 0
4396, 5113, 1, "OK", 5, 17, 5, 5, 3, 2, 2, 0
3465, 4276, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JButton exitButton JPopupMenu rightClickMenu", 0, 0, 1, 1, 1, 0, 0, 0
4231, 5113, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 5, 5, 3, 2, 2, 0
3384, 7818, 0, "Compilation unit does not compile after method extraction.", 6, 115, 25, 25, 13, 12, 8, 0
4285, 6003, 1, "OK", 4, 43, 16, 16, 8, 8, 6, 0
3773, 6003, 1, "OK", 4, 54, 16, 16, 8, 8, 6, 0
3857, 5447, 1, "OK", 4, 36, 7, 7, 4, 3, 3, 0
7531, 7774, 1, "OK", 2, 6, 6, 2, 2, 0, 2, 2
4113, 7246, 1, "OK", 3, 77, 17, 17, 9, 8, 6, 0
3504, 3595, 1, "OK", 1, 2, 1, 1, 1, 0, 0, 0
5311, 5435, 1, "OK", 2, 4, 2, 1, 1, 0, 1, 1
5640, 5991, 1, "OK", 2, 12, 9, 6, 4, 2, 3, 1
3465, 3789, 0, "Compilation unit does not compile after method extraction.", 2, 12, 1, 1, 1, 0, 0, 0
3329, 5447, 0, "Cannot extract super or this call from constructor.", 0, 0, 8, 8, 5, 3, 3, 0
4029, 7818, 1, "OK", 3, 97, 24, 24, 12, 12, 8, 0
4541, 7818, 1, "OK", 5, 87, 24, 24, 12, 12, 8, 0
6044, 7818, 1, "OK", 1, 46, 8, 8, 4, 4, 2, 0
3413, 4387, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JButton exitButton JPopupMenu rightClickMenu JMenuItem closeAllTabs", 0, 0, 1, 1, 1, 0, 0, 0
3329, 3918, 0, "Cannot extract super or this call from constructor.", 0, 0, 1, 1, 1, 0, 0, 0
3384, 4276, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JButton exitButton JPopupMenu rightClickMenu", 0, 0, 1, 1, 1, 0, 0, 0
3384, 3763, 0, "Compilation unit does not compile after method extraction.", 4, 12, 1, 1, 1, 0, 0, 0
3504, 3630, 0, "Compilation unit does not compile after method extraction.", 1, 4, 1, 1, 1, 0, 0, 0
7714, 7774, 1, "OK", 2, 2, 3, 1, 1, 0, 1, 2
4695, 5113, 1, "OK", 2, 10, 5, 5, 3, 2, 2, 0
3857, 6003, 1, "OK", 4, 52, 16, 16, 8, 8, 6, 0
3949, 7246, 1, "OK", 4, 80, 17, 17, 9, 8, 6, 0
3605, 5113, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 5, 5, 3, 2, 2, 0
3718, 7246, 0, "Compilation unit does not compile after method extraction.", 4, 86, 17, 17, 9, 8, 6, 0
3329, 6003, 0, "Cannot extract super or this call from constructor.", 0, 0, 17, 17, 9, 8, 6, 0
3413, 5447, 0, "Compilation unit does not compile after method extraction.", 6, 50, 8, 8, 5, 3, 3, 0
3384, 3789, 0, "Compilation unit does not compile after method extraction.", 4, 14, 1, 1, 1, 0, 0, 0
3504, 4168, 0, "Compilation unit does not compile after method extraction.", 3, 17, 1, 1, 1, 0, 0, 0
3504, 3656, 0, "Compilation unit does not compile after method extraction.", 1, 5, 1, 1, 1, 0, 0, 0
4113, 7818, 1, "OK", 3, 95, 24, 24, 12, 12, 8, 0
3413, 3918, 0, "Compilation unit does not compile after method extraction.", 3, 15, 1, 1, 1, 0, 0, 0
3504, 7246, 0, "Compilation unit does not compile after method extraction.", 4, 93, 18, 18, 10, 8, 6, 0
3504, 4686, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JButton exitButton JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 1, 1, 1, 0, 0, 0
5131, 5447, 1, "OK", 2, 8, 2, 2, 1, 1, 1, 0
4396, 7246, 1, "OK", 5, 72, 17, 17, 9, 8, 6, 0
3639, 5113, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 5, 5, 3, 2, 2, 0
3329, 4485, 0, "Cannot extract super or this call from constructor.", 0, 0, 1, 1, 1, 0, 0, 0
4231, 7246, 1, "OK", 3, 74, 17, 17, 9, 8, 6, 0
3465, 4387, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JButton exitButton JPopupMenu rightClickMenu JMenuItem closeAllTabs", 0, 0, 1, 1, 1, 0, 0, 0
3949, 7818, 1, "OK", 4, 98, 24, 24, 12, 12, 8, 0
3413, 6003, 0, "Compilation unit does not compile after method extraction.", 6, 66, 17, 17, 9, 8, 6, 0
3718, 7818, 0, "Compilation unit does not compile after method extraction.", 4, 104, 24, 24, 12, 12, 8, 0
4499, 5113, 1, "OK", 5, 15, 5, 5, 3, 2, 2, 0
4637, 5447, 1, "OK", 4, 20, 7, 7, 4, 3, 3, 0
5131, 6003, 1, "OK", 3, 24, 11, 11, 5, 6, 4, 0
3413, 4485, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JButton exitButton JPopupMenu rightClickMenu JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 1, 1, 1, 0, 0, 0
3329, 4532, 0, "Cannot extract super or this call from constructor.", 0, 0, 1, 1, 1, 0, 0, 0
3329, 4020, 0, "Cannot extract super or this call from constructor.", 0, 0, 1, 1, 1, 0, 0, 0
3504, 7818, 0, "Compilation unit does not compile after method extraction.", 4, 111, 25, 25, 13, 12, 8, 0
4695, 7246, 1, "OK", 4, 65, 17, 17, 9, 8, 6, 0
3605, 7246, 0, "Compilation unit does not compile after method extraction.", 4, 90, 17, 17, 9, 8, 6, 0
3773, 5113, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 5, 5, 3, 2, 2, 0
4396, 7818, 1, "OK", 5, 90, 24, 24, 12, 12, 8, 0
3465, 5447, 0, "Compilation unit does not compile after method extraction.", 5, 49, 8, 8, 5, 3, 3, 0
4285, 5113, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 5, 5, 3, 2, 2, 0
4231, 7818, 1, "OK", 3, 92, 24, 24, 12, 12, 8, 0
3465, 3918, 0, "Compilation unit does not compile after method extraction.", 2, 14, 1, 1, 1, 0, 0, 0
3384, 4387, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JButton exitButton JPopupMenu rightClickMenu JMenuItem closeAllTabs", 0, 0, 1, 1, 1, 0, 0, 0
3329, 4050, 0, "Cannot extract super or this call from constructor.", 0, 0, 1, 1, 1, 0, 0, 0
4637, 6003, 1, "OK", 5, 36, 16, 16, 8, 8, 6, 0
3639, 7246, 0, "Compilation unit does not compile after method extraction.", 4, 89, 17, 17, 9, 8, 6, 0
4914, 5100, 1, "OK", 1, 4, 2, 1, 1, 0, 1, 1
3329, 4570, 0, "Cannot extract super or this call from constructor.", 0, 0, 1, 1, 1, 0, 0, 0
5456, 7246, 1, "OK", 2, 46, 10, 10, 5, 5, 3, 0
3413, 4532, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JButton exitButton JPopupMenu rightClickMenu JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 1, 1, 1, 0, 0, 0
3413, 4020, 0, "Compilation unit does not compile after method extraction.", 5, 17, 1, 1, 1, 0, 0, 0
3504, 4276, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JButton exitButton JPopupMenu rightClickMenu", 0, 0, 1, 1, 1, 0, 0, 0
3504, 3763, 0, "Compilation unit does not compile after method extraction.", 1, 8, 1, 1, 1, 0, 0, 0
3857, 5113, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 5, 5, 3, 2, 2, 0
3465, 6003, 0, "Compilation unit does not compile after method extraction.", 5, 65, 17, 17, 9, 8, 6, 0
3384, 5447, 0, "Compilation unit does not compile after method extraction.", 6, 51, 8, 8, 5, 3, 3, 0
3384, 3918, 0, "Compilation unit does not compile after method extraction.", 4, 16, 1, 1, 1, 0, 0, 0
4695, 7818, 1, "OK", 4, 83, 24, 24, 12, 12, 8, 0
3605, 7818, 0, "Compilation unit does not compile after method extraction.", 4, 108, 24, 24, 12, 12, 8, 0
3329, 5113, 0, "Cannot extract super or this call from constructor.", 0, 0, 6, 6, 4, 2, 2, 0
5185, 5435, 1, "OK", 2, 5, 2, 1, 1, 0, 1, 1
5712, 5991, 1, "OK", 2, 10, 9, 6, 4, 2, 3, 1
3465, 4485, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JButton exitButton JPopupMenu rightClickMenu JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 1, 1, 1, 0, 0, 0
5514, 5991, 1, "OK", 2, 13, 9, 6, 4, 2, 3, 1
4499, 7246, 1, "OK", 5, 70, 17, 17, 9, 8, 6, 0
3413, 4050, 0, "Compilation unit does not compile after method extraction.", 5, 18, 1, 1, 1, 0, 0, 0
3504, 3789, 0, "Compilation unit does not compile after method extraction.", 1, 10, 1, 1, 1, 0, 0, 0
3413, 4570, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JButton exitButton JPopupMenu rightClickMenu JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 1, 1, 1, 0, 0, 0
4029, 5447, 1, "OK", 3, 33, 7, 7, 4, 3, 3, 0
4541, 5447, 1, "OK", 4, 23, 7, 7, 4, 3, 3, 0
3329, 3595, 0, "Cannot extract super or this call from constructor.", 0, 0, 1, 1, 1, 0, 0, 0
4285, 7246, 1, "OK", 4, 73, 17, 17, 9, 8, 6, 0
3773, 7246, 1, "OK", 4, 84, 17, 17, 9, 8, 6, 0
3639, 7818, 0, "Compilation unit does not compile after method extraction.", 4, 107, 24, 24, 12, 12, 8, 0
5048, 5100, 1, "OK", 2, 2, 2, 1, 1, 0, 1, 1
5456, 7818, 1, "OK", 2, 64, 17, 17, 8, 9, 5, 0
3384, 6003, 0, "Compilation unit does not compile after method extraction.", 6, 67, 17, 17, 9, 8, 6, 0
3413, 5113, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 6, 6, 4, 2, 2, 0
7356, 7808, 1, "OK", 1, 13, 6, 4, 2, 2, 2, 1
3465, 4532, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JButton exitButton JPopupMenu rightClickMenu JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 1, 1, 1, 0, 0, 0
3465, 4020, 0, "Compilation unit does not compile after method extraction.", 4, 16, 1, 1, 1, 0, 0, 0
3329, 3630, 0, "Cannot extract super or this call from constructor.", 0, 0, 1, 1, 1, 0, 0, 0
3384, 4485, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JButton exitButton JPopupMenu rightClickMenu JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 1, 1, 1, 0, 0, 0
4029, 6003, 1, "OK", 3, 49, 16, 16, 8, 8, 6, 0
4113, 5447, 1, "OK", 3, 31, 7, 7, 4, 3, 3, 0
4541, 6003, 1, "OK", 5, 39, 16, 16, 8, 8, 6, 0
3413, 3595, 0, "Compilation unit does not compile after method extraction.", 3, 5, 1, 1, 1, 0, 0, 0
4775, 4896, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 2, 2, 0, 1, 1
4499, 7818, 1, "OK", 5, 88, 24, 24, 12, 12, 8, 0
3857, 7246, 1, "OK", 4, 82, 17, 17, 9, 8, 6, 0
3329, 4168, 0, "Cannot extract super or this call from constructor.", 0, 0, 1, 1, 1, 0, 0, 0
3329, 3656, 0, "Cannot extract super or this call from constructor.", 0, 0, 1, 1, 1, 0, 0, 0
3465, 4050, 0, "Compilation unit does not compile after method extraction.", 4, 17, 1, 1, 1, 0, 0, 0
4285, 7818, 1, "OK", 4, 91, 24, 24, 12, 12, 8, 0
3329, 7246, 0, "Cannot extract super or this call from constructor.", 0, 0, 18, 18, 10, 8, 6, 0
3329, 4686, 0, "Cannot extract super or this call from constructor.", 0, 0, 1, 1, 1, 0, 0, 0
3773, 7818, 1, "OK", 4, 102, 24, 24, 12, 12, 8, 0
3465, 4570, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JButton exitButton JPopupMenu rightClickMenu JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 1, 1, 1, 0, 0, 0
3504, 4387, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JButton exitButton JPopupMenu rightClickMenu JMenuItem closeAllTabs", 0, 0, 1, 1, 1, 0, 0, 0
3949, 5447, 1, "OK", 4, 34, 7, 7, 4, 3, 3, 0
3413, 3630, 0, "Compilation unit does not compile after method extraction.", 3, 7, 1, 1, 1, 0, 0, 0
3384, 4532, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JButton exitButton JPopupMenu rightClickMenu JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 1, 1, 1, 0, 0, 0
3384, 4020, 0, "Compilation unit does not compile after method extraction.", 6, 18, 1, 1, 1, 0, 0, 0
4637, 5113, 1, "OK", 3, 11, 5, 5, 3, 2, 2, 0
4113, 6003, 1, "OK", 3, 47, 16, 16, 8, 8, 6, 0
3718, 5447, 0, "Compilation unit does not compile after method extraction.", 4, 40, 7, 7, 4, 3, 3, 0
3465, 5113, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 6, 6, 4, 2, 2, 0
3413, 4168, 0, "Compilation unit does not compile after method extraction.", 5, 20, 1, 1, 1, 0, 0, 0
3413, 3656, 0, "Compilation unit does not compile after method extraction.", 3, 8, 1, 1, 1, 0, 0, 0
3504, 5447, 0, "Compilation unit does not compile after method extraction.", 4, 47, 8, 8, 5, 3, 3, 0
3384, 4050, 0, "Compilation unit does not compile after method extraction.", 6, 19, 1, 1, 1, 0, 0, 0
4775, 4958, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 2, 2, 0, 1, 1
3413, 7246, 0, "Compilation unit does not compile after method extraction.", 6, 96, 18, 18, 10, 8, 6, 0
3413, 4686, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JButton exitButton JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 1, 1, 1, 0, 0, 0
3857, 7818, 1, "OK", 4, 100, 24, 24, 12, 12, 8, 0
3504, 3918, 0, "Compilation unit does not compile after method extraction.", 1, 12, 1, 1, 1, 0, 0, 0
4396, 5447, 1, "OK", 5, 26, 7, 7, 4, 3, 3, 0
3384, 4570, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JButton exitButton JPopupMenu rightClickMenu JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 1, 1, 1, 0, 0, 0
3465, 3595, 0, "Compilation unit does not compile after method extraction.", 2, 4, 1, 1, 1, 0, 0, 0
4231, 5447, 1, "OK", 3, 28, 7, 7, 4, 3, 3, 0
5755, 5819, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 1, 1, 0, 1, 2
3949, 6003, 1, "OK", 4, 50, 16, 16, 8, 8, 6, 0
5131, 7246, 1, "OK", 3, 54, 12, 12, 6, 6, 4, 0
7531, 7603, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 1, 1, 0, 1, 2
3329, 7818, 0, "Cannot extract super or this call from constructor.", 0, 0, 25, 25, 13, 12, 8, 0
7293, 7818, 1, "OK", 1, 16, 7, 7, 3, 4, 2, 0
3718, 6003, 0, "Compilation unit does not compile after method extraction.", 4, 56, 16, 16, 8, 8, 6, 0
3384, 5113, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 6, 6, 4, 2, 2, 0
3504, 6003, 0, "Compilation unit does not compile after method extraction.", 4, 63, 17, 17, 9, 8, 6, 0
3465, 3630, 0, "Compilation unit does not compile after method extraction.", 2, 6, 1, 1, 1, 0, 0, 0
4396, 6003, 1, "OK", 5, 42, 16, 16, 8, 8, 6, 0
4231, 6003, 1, "OK", 3, 44, 16, 16, 8, 8, 6, 0
4637, 7246, 1, "OK", 5, 66, 17, 17, 9, 8, 6, 0
3329, 3763, 0, "Cannot extract super or this call from constructor.", 0, 0, 1, 1, 1, 0, 0, 0
3605, 5447, 0, "Compilation unit does not compile after method extraction.", 4, 44, 7, 7, 4, 3, 3, 0
4695, 5447, 1, "OK", 3, 19, 7, 7, 4, 3, 3, 0
3329, 4276, 0, "Cannot extract super or this call from constructor.", 0, 0, 1, 1, 1, 0, 0, 0
3384, 3595, 0, "Compilation unit does not compile after method extraction.", 4, 6, 1, 1, 1, 0, 0, 0
3413, 7818, 0, "Compilation unit does not compile after method extraction.", 6, 114, 25, 25, 13, 12, 8, 0
3504, 4485, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JButton exitButton JPopupMenu rightClickMenu JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 1, 1, 1, 0, 0, 0
4029, 5113, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JMenuItem closeAllTabs JMenuItem closeTab", 0, 0, 5, 5, 3, 2, 2, 0
4541, 5113, 1, "OK", 4, 14, 5, 5, 3, 2, 2, 0
4971, 5100, 1, "OK", 1, 3, 2, 1, 1, 0, 1, 1
3465, 4168, 0, "Compilation unit does not compile after method extraction.", 4, 19, 1, 1, 1, 0, 0, 0
3465, 3656, 0, "Compilation unit does not compile after method extraction.", 2, 7, 1, 1, 1, 0, 0, 0
5131, 7818, 1, "OK", 3, 72, 19, 19, 9, 10, 6, 0
3465, 7246, 0, "Compilation unit does not compile after method extraction.", 5, 95, 18, 18, 10, 8, 6, 0
