A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
5574, 5957, 1, "OK", 0, 6, 6, 3, 3, 0, 3, 1
3908, 6021, 1, "OK", 1, 48, 15, 15, 8, 7, 6, 0
3883, 5007, 1, "OK", 1, 24, 4, 4, 3, 1, 1, 0
4212, 4922, 1, "OK", 2, 14, 4, 4, 3, 1, 1, 0
4044, 5007, 1, "OK", 1, 18, 4, 4, 3, 1, 1, 0
4463, 4818, 1, "OK", 0, 7, 2, 1, 1, 0, 1, 1
3908, 5007, 1, "OK", 1, 22, 4, 4, 3, 1, 1, 0
3863, 6021, 1, "OK", 1, 51, 15, 15, 8, 7, 6, 0
5521, 5693, 1, "OK", 0, 4, 2, 1, 1, 0, 1, 1
5016, 5994, 1, "OK", 2, 25, 11, 11, 5, 6, 5, 0
5224, 5560, 1, "OK", 0, 11, 5, 3, 2, 1, 2, 1
5521, 5825, 1, "OK", 0, 6, 4, 2, 2, 0, 2, 1
5224, 5693, 1, "OK", 0, 14, 7, 4, 3, 1, 3, 1
5016, 6764, 1, "OK", 2, 43, 18, 18, 10, 8, 7, 0
5521, 5957, 1, "OK", 0, 8, 6, 3, 3, 0, 3, 1
3863, 5007, 1, "OK", 1, 25, 4, 4, 3, 1, 1, 0
6003, 6764, 1, "OK", 1, 18, 7, 7, 5, 2, 2, 0
5224, 5825, 1, "OK", 0, 16, 9, 5, 4, 1, 4, 1
6121, 6178, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
4846, 6021, 1, "OK", 2, 28, 11, 11, 5, 6, 5, 0
5102, 6021, 1, "OK", 0, 24, 11, 11, 5, 6, 5, 0
3998, 4922, 1, "OK", 1, 19, 4, 4, 3, 1, 1, 0
5224, 5957, 1, "OK", 0, 18, 11, 6, 5, 1, 5, 1
5160, 5507, 1, "OK", 0, 11, 5, 3, 2, 1, 2, 1
4463, 4726, 1, "OK", 0, 5, 2, 1, 1, 0, 1, 1
3953, 4922, 1, "OK", 1, 20, 4, 4, 3, 1, 1, 0
4212, 4828, 1, "OK", 1, 12, 4, 4, 3, 1, 1, 0
5016, 6021, 1, "OK", 2, 26, 11, 11, 5, 6, 5, 0
4044, 4922, 1, "OK", 1, 17, 4, 4, 3, 1, 1, 0
3883, 4922, 1, "OK", 1, 23, 4, 4, 3, 1, 1, 0
4212, 5092, 1, "OK", 2, 16, 4, 4, 3, 1, 1, 0
4212, 5994, 1, "OK", 2, 40, 15, 15, 8, 7, 6, 0
3908, 4922, 1, "OK", 1, 21, 4, 4, 3, 1, 1, 0
5339, 5493, 1, "OK", 0, 5, 3, 1, 1, 0, 1, 2
4212, 6764, 1, "OK", 2, 58, 22, 22, 13, 9, 8, 0
3998, 4828, 1, "OK", 0, 17, 4, 4, 3, 1, 1, 0
3863, 4922, 1, "OK", 1, 24, 4, 4, 3, 1, 1, 0
3998, 5092, 1, "OK", 1, 21, 4, 4, 3, 1, 1, 0
4931, 6764, 1, "OK", 2, 44, 18, 18, 10, 8, 7, 0
4931, 5994, 1, "OK", 2, 26, 11, 11, 5, 6, 5, 0
3998, 5994, 1, "OK", 1, 45, 15, 15, 8, 7, 6, 0
3953, 4828, 1, "OK", 0, 18, 4, 4, 3, 1, 1, 0
3998, 6764, 1, "OK", 1, 63, 22, 22, 13, 9, 8, 0
4212, 6021, 1, "OK", 2, 41, 15, 15, 8, 7, 6, 0
3883, 4828, 1, "OK", 0, 21, 4, 4, 3, 1, 1, 0
4044, 4828, 1, "OK", 0, 15, 4, 4, 3, 1, 1, 0
5160, 5560, 1, "OK", 0, 13, 5, 3, 2, 1, 2, 1
6121, 6232, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
5160, 5693, 1, "OK", 0, 16, 7, 4, 3, 1, 3, 1
3953, 5092, 1, "OK", 1, 22, 4, 4, 3, 1, 1, 0
