A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
10301, 11584, 1, "OK", 0, 25, 16, 13, 12, 1, 3, 1
10251, 11584, 1, "OK", 0, 27, 16, 13, 12, 1, 3, 1
10832, 11584, 1, "OK", 0, 14, 10, 8, 7, 1, 2, 1
10946, 11426, 1, "OK", 0, 7, 7, 5, 5, 0, 1, 2
10992, 11426, 1, "OK", 0, 6, 7, 5, 5, 0, 1, 2
10251, 10806, 1, "OK", 0, 12, 6, 5, 5, 0, 1, 1
10473, 10806, 1, "OK", 0, 8, 3, 3, 3, 0, 0, 1
10196, 11596, 1, "OK", 0, 30, 16, 16, 12, 4, 3, 0
10591, 10806, 1, "OK", 0, 6, 2, 2, 2, 0, 0, 1
10904, 11426, 1, "OK", 0, 8, 7, 5, 5, 0, 1, 2
10301, 10806, 1, "OK", 0, 10, 6, 5, 5, 0, 1, 1
11305, 11426, 1, "OK", 0, 3, 1, 1, 1, 0, 0, 2
