A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
2920, 3431, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  FieldNode f Object v", 0, 0, 14, 10, 5, 5, 4, 1
3514, 4860, 1, "OK", 3, 27, 18, 10, 5, 5, 4, 2
5281, 7047, 1, "OK", 3, 31, 18, 6, 4, 2, 3, 4
3139, 3253, 1, "OK", 2, 2, 4, 1, 1, 0, 1, 3
2993, 3431, 1, "OK", 2, 14, 14, 10, 5, 5, 4, 1
3600, 4842, 1, "OK", 4, 24, 15, 6, 4, 2, 3, 3
5190, 7069, 1, "OK", 3, 34, 22, 10, 5, 5, 4, 3
2961, 4874, 1, "OK", 2, 46, 34, 25, 11, 14, 9, 1
5354, 7047, 1, "OK", 4, 30, 18, 6, 4, 2, 3, 4
2920, 4874, 1, "OK", 2, 47, 34, 25, 11, 14, 9, 1
2854, 7111, 1, "OK", 1, 96, 63, 63, 20, 43, 15, 0
3331, 3399, 1, "OK", 2, 2, 4, 1, 1, 0, 1, 3
5049, 7101, 1, "OK", 3, 40, 27, 21, 7, 14, 6, 1
4894, 7111, 1, "OK", 1, 45, 28, 28, 8, 20, 6, 0
3650, 4842, 1, "OK", 4, 23, 15, 6, 4, 2, 3, 3
3087, 3417, 1, "OK", 2, 10, 12, 6, 4, 2, 3, 2
3457, 4874, 1, "OK", 3, 30, 20, 15, 6, 9, 5, 1
5122, 7087, 1, "OK", 3, 37, 25, 15, 6, 9, 5, 2
2854, 4884, 1, "OK", 1, 50, 35, 35, 12, 23, 9, 0
4361, 4820, 1, "OK", 4, 8, 5, 1, 1, 0, 1, 4
3710, 4267, 1, "OK", 4, 9, 5, 1, 1, 0, 1, 4
5004, 7101, 1, "OK", 2, 41, 27, 21, 7, 14, 6, 1
3048, 3417, 1, "OK", 2, 11, 12, 6, 4, 2, 3, 2
2961, 3431, 1, "OK", 1, 15, 14, 10, 5, 5, 4, 1
6361, 7021, 1, "OK", 4, 11, 6, 1, 1, 0, 1, 5
2993, 4874, 1, "OK", 3, 45, 34, 25, 11, 14, 9, 1
5422, 6251, 1, "OK", 4, 13, 6, 1, 1, 0, 1, 5
4961, 7101, 1, "OK", 2, 42, 27, 21, 7, 14, 6, 1
