A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
26406, 26769, 1, "OK", 2, 6, 11, 3, 2, 1, 2, 4
25978, 26824, 1, "OK", 3, 16, 21, 16, 6, 10, 5, 1
26602, 26743, 1, "OK", 2, 3, 6, 1, 1, 0, 1, 5
26066, 26809, 1, "OK", 3, 13, 18, 10, 4, 6, 4, 2
25781, 26872, 1, "OK", 1, 23, 22, 22, 7, 15, 5, 0
25877, 26872, 1, "OK", 2, 21, 22, 22, 7, 15, 5, 0
25928, 26824, 1, "OK", 3, 17, 21, 16, 6, 10, 5, 1
26135, 26809, 1, "OK", 3, 12, 18, 10, 4, 6, 4, 2
25781, 26834, 1, "OK", 1, 21, 22, 22, 7, 15, 5, 0
25877, 26834, 1, "OK", 2, 19, 22, 22, 7, 15, 5, 0
26257, 26791, 1, "OK", 3, 9, 15, 6, 3, 3, 3, 3
26359, 26791, 1, "OK", 2, 8, 15, 6, 3, 3, 3, 3
26503, 26743, 1, "OK", 3, 4, 6, 1, 1, 0, 1, 5
26197, 26791, 1, "OK", 3, 10, 15, 6, 3, 3, 3, 3
