A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
17068, 19060, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 23, 23, 13, 10, 6, 0
18104, 19008, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 5, 3, 2, 3, 1
18151, 18965, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 5, 3, 2, 3, 1
17131, 19083, 1, "OK", 3, 41, 23, 23, 13, 10, 6, 0
18151, 18888, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 5, 3, 2, 3, 1
18034, 19060, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 11, 11, 6, 5, 3, 0
18467, 18822, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 2, 2, 0, 2, 2
17341, 19060, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 21, 21, 11, 10, 6, 0
18193, 18888, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 5, 3, 2, 3, 1
18284, 18888, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 5, 3, 2, 3, 1
18104, 18965, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 5, 3, 2, 3, 1
18193, 19008, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 5, 3, 2, 3, 1
18104, 18888, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 5, 3, 2, 3, 1
17457, 18018, 1, "OK", 3, 12, 8, 5, 3, 2, 3, 1
17560, 17961, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 6, 2, 2, 0, 2, 2
17681, 17731, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 3, 1, 1, 0, 1, 2
18284, 19008, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 5, 3, 2, 3, 1
17748, 17961, 1, "OK", 4, 5, 3, 1, 1, 0, 1, 2
17499, 18018, 1, "OK", 3, 11, 8, 5, 3, 2, 3, 1
17131, 19060, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 23, 23, 13, 10, 6, 0
18284, 18965, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 5, 3, 2, 3, 1
17560, 17731, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 3, 1, 1, 0, 1, 2
17068, 19083, 1, "OK", 2, 42, 23, 23, 13, 10, 6, 0
17410, 18018, 1, "OK", 3, 13, 8, 5, 3, 2, 3, 1
18193, 18965, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 5, 3, 2, 3, 1
17457, 17975, 1, "OK", 3, 11, 8, 5, 3, 2, 3, 1
17681, 17961, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 6, 2, 2, 0, 2, 2
18467, 18874, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 2, 2, 0, 2, 2
18151, 19008, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 5, 3, 2, 3, 1
18634, 18822, 1, "OK", 3, 4, 3, 1, 1, 0, 1, 2
17499, 17975, 1, "OK", 3, 10, 8, 5, 3, 2, 3, 1
18345, 18822, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 2, 2, 0, 2, 2
18634, 18874, 1, "OK", 4, 5, 3, 1, 1, 0, 1, 2
18345, 18617, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 1, 1, 0, 1, 2
18345, 18874, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 2, 2, 0, 2, 2
17410, 17975, 1, "OK", 3, 12, 8, 5, 3, 2, 3, 1
18467, 18617, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 1, 1, 0, 1, 2
