A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
12258, 12503, 1, "OK", 2, 4, 4, 2, 2, 0, 1, 2
11914, 12202, 1, "OK", 2, 3, 5, 2, 2, 0, 1, 3
11501, 12527, 1, "OK", 0, 18, 17, 17, 9, 8, 4, 0
11556, 12550, 1, "OK", 1, 18, 17, 17, 9, 8, 4, 0
11657, 12517, 1, "OK", 2, 14, 16, 12, 8, 4, 4, 1
11556, 12527, 1, "OK", 1, 17, 17, 17, 9, 8, 4, 0
11607, 12517, 1, "OK", 2, 15, 16, 12, 8, 4, 4, 1
11759, 12220, 1, "OK", 2, 6, 9, 5, 4, 1, 2, 2
11709, 12517, 1, "OK", 2, 13, 16, 12, 8, 4, 4, 1
11987, 12202, 1, "OK", 3, 2, 5, 2, 2, 0, 1, 3
11501, 12550, 1, "OK", 0, 19, 17, 17, 9, 8, 4, 0
