A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
8393, 12008, 1, "OK", 8, 75, 77, 77, 26, 51, 16, 0
7695, 10876, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 53, 53, 19, 34, 10, 0
10719, 10825, 1, "OK", 2, 3, 3, 1, 1, 0, 1, 2
7997, 12008, 1, "OK", 8, 84, 79, 79, 28, 51, 16, 0
11457, 11767, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Graph Buffer boolean atLeastOnePath", 0, 0, 6, 1, 1, 0, 1, 5
9859, 10356, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 2, 2, 0, 1, 6
11382, 11793, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Graph Buffer boolean atLeastOnePath", 0, 0, 7, 3, 2, 1, 1, 4
7817, 8384, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Vertex LEAFVertex Vertex ORVertex Vertex ANDVertex Graph Result Vertex[] V_Predecessors", 0, 0, 2, 2, 2, 0, 0, 0
7817, 8142, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Vertex LEAFVertex Vertex ORVertex Vertex ANDVertex Graph Result", 0, 0, 1, 1, 1, 0, 0, 0
7817, 11987, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 79, 79, 28, 51, 16, 0
8947, 10494, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 29, 13, 8, 5, 4, 4
10989, 11963, 1, "OK", 6, 20, 23, 13, 7, 6, 5, 2
7695, 8604, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Vertex[] Forbidden Vertex LEAFVertex Vertex ORVertex Vertex ANDVertex Graph Result Vertex[] V_Predecessors", 0, 0, 4, 4, 4, 0, 0, 0
11026, 11833, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Graph Buffer boolean atLeastOnePath", 0, 0, 19, 11, 5, 6, 4, 2
8027, 8300, 1, "OK", 3, 6, 2, 2, 2, 0, 0, 0
8151, 8300, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
7763, 8300, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Arc[] arcs Vertex LEAFVertex Vertex ORVertex Vertex ANDVertex Graph Result", 0, 0, 2, 2, 2, 0, 0, 0
8856, 10516, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 33, 18, 9, 9, 5, 3
8613, 10876, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 49, 49, 15, 34, 10, 0
8672, 10839, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 48, 38, 14, 24, 10, 1
10551, 10702, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 7, 3, 2, 1, 2, 2
8027, 10876, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 53, 53, 19, 34, 10, 0
8151, 10876, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 52, 52, 18, 34, 10, 0
7817, 12008, 1, "OK", 5, 87, 79, 79, 28, 51, 16, 0
7879, 8300, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Vertex ORVertex Vertex ANDVertex Graph Result", 0, 0, 2, 2, 2, 0, 0, 0
8718, 10702, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 43, 27, 12, 15, 8, 2
7763, 10876, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 53, 53, 19, 34, 10, 0
9245, 9994, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Vertex[] Forbidden Graph BufferGraph Graph parentRes", 0, 0, 8, 2, 2, 0, 1, 6
7937, 8300, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Vertex ANDVertex Graph Result", 0, 0, 2, 2, 2, 0, 0, 0
8906, 10516, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 33, 18, 9, 9, 5, 3
7695, 8384, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Vertex LEAFVertex Vertex ORVertex Vertex ANDVertex Graph Result Vertex[] V_Predecessors", 0, 0, 2, 2, 2, 0, 0, 0
11169, 11793, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Graph Buffer boolean atLeastOnePath", 0, 0, 12, 4, 3, 1, 2, 4
7879, 10876, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 53, 53, 19, 34, 10, 0
8672, 10866, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 48, 38, 14, 24, 10, 1
7937, 10876, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 53, 53, 19, 34, 10, 0
8027, 8604, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Vertex[] Forbidden Vertex[] V_Predecessors", 0, 0, 4, 4, 4, 0, 0, 0
9936, 10356, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 2, 2, 0, 1, 6
8151, 8604, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Vertex[] Forbidden Vertex[] V_Predecessors", 0, 0, 3, 3, 3, 0, 0, 0
7695, 8142, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Vertex[] vertices Arc[] arcs Vertex LEAFVertex Vertex ORVertex Vertex ANDVertex Graph Result", 0, 0, 1, 1, 1, 0, 0, 0
7695, 11987, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 79, 79, 28, 51, 16, 0
7763, 8604, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Vertex[] Forbidden Vertex LEAFVertex Vertex ORVertex Vertex ANDVertex Graph Result Vertex[] V_Predecessors", 0, 0, 4, 4, 4, 0, 0, 0
8309, 10876, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 51, 51, 17, 34, 10, 0
7879, 8604, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Vertex[] Forbidden Vertex ORVertex Vertex ANDVertex Graph Result Vertex[] V_Predecessors", 0, 0, 4, 4, 4, 0, 0, 0
11128, 11815, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Graph Buffer boolean atLeastOnePath", 0, 0, 16, 7, 4, 3, 3, 3
10603, 10684, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 1, 1, 0, 1, 3
11850, 11963, 1, "OK", 2, 4, 4, 2, 2, 0, 1, 2
7695, 12008, 1, "OK", 3, 89, 79, 79, 28, 51, 16, 0
8786, 10702, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 43, 27, 12, 15, 8, 2
7937, 8604, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Vertex[] Forbidden Vertex ANDVertex Graph Result Vertex[] V_Predecessors", 0, 0, 4, 4, 4, 0, 0, 0
11074, 11963, 1, "OK", 8, 18, 23, 13, 7, 6, 5, 2
8027, 8384, 1, "OK", 4, 7, 2, 2, 2, 0, 0, 0
8151, 8384, 1, "OK", 4, 4, 1, 1, 1, 0, 0, 0
8613, 11987, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 75, 75, 24, 51, 16, 0
8309, 8604, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Vertex[] Forbidden Vertex[] V_Predecessors", 0, 0, 2, 2, 2, 0, 0, 0
7763, 8384, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Vertex LEAFVertex Vertex ORVertex Vertex ANDVertex Graph Result Vertex[] V_Predecessors", 0, 0, 2, 2, 2, 0, 0, 0
8393, 10876, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 51, 51, 17, 34, 10, 0
7997, 8300, 1, "OK", 3, 8, 2, 2, 2, 0, 0, 0
9166, 10468, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 23, 8, 6, 2, 3, 5
8027, 8142, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
7879, 8384, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Vertex ORVertex Vertex ANDVertex Graph Result Vertex[] V_Predecessors", 0, 0, 2, 2, 2, 0, 0, 0
8151, 11987, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 78, 78, 27, 51, 16, 0
8027, 11987, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 79, 79, 28, 51, 16, 0
8718, 10534, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 36, 24, 10, 14, 6, 2
