A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
14733, 16434, 1, "OK", 3, 34, 12, 12, 9, 3, 3, 0
15322, 15839, 1, "OK", 3, 8, 3, 2, 2, 0, 1, 1
14053, 14724, 1, "OK", 3, 14, 7, 7, 7, 0, 0, 0
14276, 14724, 1, "OK", 3, 7, 3, 3, 3, 0, 0, 0
15007, 15117, 1, "OK", 2, 2, 1, 1, 1, 0, 0, 0
14141, 16361, 1, "OK", 3, 43, 17, 17, 14, 3, 3, 0
14141, 14569, 1, "OK", 3, 9, 4, 4, 4, 0, 0, 0
14053, 14220, 1, "OK", 3, 4, 4, 4, 4, 0, 0, 0
14888, 16496, 1, "OK", 3, 33, 11, 11, 8, 3, 3, 0
14230, 14878, 1, "OK", 3, 11, 4, 4, 4, 0, 0, 0
14579, 16361, 1, "OK", 3, 33, 13, 13, 10, 3, 3, 0
13737, 14044, 1, "OK", 3, 4, 4, 4, 4, 0, 0, 0
13895, 14266, 1, "OK", 3, 8, 6, 6, 6, 0, 0, 0
15958, 16361, 1, "OK", 2, 7, 3, 3, 2, 1, 1, 0
14053, 14998, 1, "OK", 3, 19, 9, 9, 9, 0, 0, 0
14276, 14998, 1, "OK", 3, 12, 5, 5, 5, 0, 0, 0
14427, 15948, 1, "OK", 3, 28, 11, 11, 9, 2, 2, 0
15215, 15839, 1, "OK", 4, 10, 3, 2, 2, 0, 1, 1
15007, 16398, 1, "OK", 3, 28, 10, 10, 7, 3, 3, 0
13711, 15117, 1, "OK", 2, 26, 14, 14, 14, 0, 0, 0
14427, 16472, 1, "OK", 3, 40, 14, 14, 11, 3, 3, 0
14230, 16434, 1, "OK", 3, 43, 15, 15, 12, 3, 3, 0
13711, 16398, 1, "OK", 2, 52, 23, 23, 20, 3, 3, 0
13737, 16361, 1, "OK", 3, 49, 23, 23, 20, 3, 3, 0
13737, 14569, 1, "OK", 3, 15, 10, 10, 10, 0, 0, 0
14733, 15948, 1, "OK", 3, 23, 9, 9, 7, 2, 2, 0
14888, 14998, 1, "OK", 2, 2, 1, 1, 1, 0, 0, 0
14733, 16472, 1, "OK", 3, 35, 12, 12, 9, 3, 3, 0
13895, 14044, 1, "OK", 2, 2, 2, 2, 2, 0, 0, 0
14053, 14266, 1, "OK", 3, 6, 4, 4, 4, 0, 0, 0
14230, 15948, 1, "OK", 3, 32, 12, 12, 10, 2, 2, 0
14427, 16496, 1, "OK", 3, 41, 14, 14, 11, 3, 3, 0
15007, 16434, 1, "OK", 3, 29, 10, 10, 7, 3, 3, 0
14141, 16398, 1, "OK", 3, 45, 17, 17, 14, 3, 3, 0
13711, 14878, 1, "OK", 2, 21, 12, 12, 12, 0, 0, 0
14141, 15117, 1, "OK", 3, 19, 8, 8, 8, 0, 0, 0
14230, 14418, 1, "OK", 2, 4, 1, 1, 1, 0, 0, 0
14579, 16398, 1, "OK", 3, 35, 13, 13, 10, 3, 3, 0
14579, 15117, 1, "OK", 3, 9, 4, 4, 4, 0, 0, 0
15958, 16398, 1, "OK", 2, 9, 3, 3, 2, 1, 1, 0
13711, 14132, 1, "OK", 2, 7, 6, 6, 6, 0, 0, 0
13737, 16398, 1, "OK", 3, 51, 23, 23, 20, 3, 3, 0
13711, 16434, 1, "OK", 2, 53, 23, 23, 20, 3, 3, 0
13737, 15117, 1, "OK", 3, 25, 14, 14, 14, 0, 0, 0
14733, 16496, 1, "OK", 3, 36, 12, 12, 9, 3, 3, 0
14141, 14878, 1, "OK", 3, 14, 6, 6, 6, 0, 0, 0
13895, 16361, 1, "OK", 3, 47, 21, 21, 18, 3, 3, 0
13895, 14569, 1, "OK", 3, 13, 8, 8, 8, 0, 0, 0
14230, 16472, 1, "OK", 3, 44, 15, 15, 12, 3, 3, 0
15007, 15948, 1, "OK", 3, 18, 7, 7, 5, 2, 2, 0
14579, 14878, 1, "OK", 3, 4, 2, 2, 2, 0, 0, 0
14427, 14724, 1, "OK", 3, 5, 2, 2, 2, 0, 0, 0
15415, 15839, 1, "OK", 3, 7, 3, 2, 2, 0, 1, 1
13737, 14878, 1, "OK", 3, 20, 12, 12, 12, 0, 0, 0
14141, 16434, 1, "OK", 3, 46, 17, 17, 14, 3, 3, 0
15280, 15938, 1, "OK", 3, 12, 5, 3, 3, 0, 2, 1
13711, 13886, 1, "OK", 1, 3, 2, 2, 2, 0, 0, 0
13711, 15948, 1, "OK", 2, 42, 20, 20, 18, 2, 2, 0
