A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
142635, 142799, 1, "OK", 4, 4, 2, 1, 1, 0, 1, 1
141775, 142194, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
141875, 142358, 1, "OK", 6, 11, 4, 2, 2, 0, 2, 1
141709, 142829, 1, "OK", 6, 28, 10, 10, 6, 4, 4, 0
141875, 142099, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
142539, 142829, 1, "OK", 4, 9, 3, 3, 2, 1, 1, 0
141055, 141547, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 6, 4, 2, 2, 0
141622, 142529, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 7, 7, 4, 3, 3, 0
141215, 141387, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
141055, 141612, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 6, 4, 2, 2, 0
141055, 142829, 1, "OK", 4, 50, 16, 16, 10, 6, 6, 0
141171, 141537, 1, "OK", 4, 12, 4, 2, 2, 0, 2, 1
141215, 141517, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 2, 1
141123, 141547, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 5, 5, 3, 2, 2, 0
141123, 141612, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 5, 5, 3, 2, 2, 0
141775, 142009, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
141123, 142829, 1, "OK", 4, 46, 15, 15, 9, 6, 6, 0
141709, 142529, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 7, 7, 4, 3, 3, 0
141401, 141517, 1, "OK", 4, 3, 2, 1, 1, 0, 1, 1
142027, 142334, 1, "OK", 5, 5, 2, 1, 1, 0, 1, 1
142588, 142799, 1, "OK", 4, 6, 2, 1, 1, 0, 1, 1
141775, 142334, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 2, 1
142211, 142334, 1, "OK", 4, 3, 2, 1, 1, 0, 1, 1
141753, 142519, 1, "OK", 6, 16, 6, 3, 3, 0, 3, 1
141123, 142529, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 12, 12, 7, 5, 5, 0
141557, 142829, 1, "OK", 4, 31, 10, 10, 6, 4, 4, 0
142635, 142819, 1, "OK", 4, 5, 2, 1, 1, 0, 1, 1
142116, 142334, 1, "OK", 5, 4, 2, 1, 1, 0, 1, 1
141055, 141113, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
141775, 142099, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
141055, 141700, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 6, 4, 2, 2, 0
141875, 142009, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
141875, 142194, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
141123, 141700, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 5, 5, 3, 2, 2, 0
141055, 142529, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 13, 13, 8, 5, 5, 0
141215, 141537, 1, "OK", 4, 10, 4, 2, 2, 0, 2, 1
141557, 142529, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 7, 7, 4, 3, 3, 0
141875, 142334, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 2, 1
142027, 142358, 1, "OK", 5, 6, 2, 1, 1, 0, 1, 1
141401, 141537, 1, "OK", 4, 4, 2, 1, 1, 0, 1, 1
141775, 142358, 1, "OK", 6, 12, 4, 2, 2, 0, 2, 1
142588, 142819, 1, "OK", 4, 7, 2, 1, 1, 0, 1, 1
142211, 142358, 1, "OK", 4, 4, 2, 1, 1, 0, 1, 1
142116, 142358, 1, "OK", 5, 5, 2, 1, 1, 0, 1, 1
141622, 142829, 1, "OK", 5, 29, 10, 10, 6, 4, 4, 0
141171, 141387, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
141171, 141517, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 2, 2, 0, 2, 1
