A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
123109, 123197, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 1, 1, 0, 1, 2
124413, 124502, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 1, 1, 0, 1, 2
122906, 124622, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 31, 31, 17, 14, 9, 0
123440, 123940, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 10, 10, 5, 5, 3, 0
123494, 123930, 1, "OK", 2, 13, 9, 6, 4, 2, 3, 1
123556, 123930, 1, "OK", 3, 11, 9, 6, 4, 2, 3, 1
124084, 124202, 1, "OK", 3, 4, 2, 1, 1, 0, 1, 1
123264, 123377, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 1, 1, 0, 1, 2
123998, 124176, 1, "OK", 2, 5, 2, 1, 1, 0, 1, 1
124341, 124541, 1, "OK", 2, 8, 5, 3, 2, 1, 2, 1
124413, 124481, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 1, 1, 0, 1, 2
123950, 124622, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 10, 10, 6, 4, 3, 0
124084, 124176, 1, "OK", 3, 3, 2, 1, 1, 0, 1, 1
124561, 124622, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
123440, 124551, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 19, 19, 10, 9, 6, 0
122906, 124212, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 24, 24, 13, 11, 7, 0
124341, 124516, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 5, 3, 2, 1, 2, 1
124222, 124622, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 7, 7, 4, 3, 2, 0
123440, 124674, 1, "OK", 2, 42, 20, 20, 11, 9, 6, 0
