A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
164827, 165132, 1, "OK", 0, 17, 6, 6, 5, 1, 1, 0
166054, 166522, 1, "OK", 0, 22, 13, 9, 8, 1, 4, 1
164926, 166679, 1, "OK", 0, 78, 36, 36, 27, 9, 7, 0
165466, 165555, 1, "OK", 0, 3, 1, 1, 1, 0, 0, 0
165193, 165443, 1, "OK", 0, 11, 7, 5, 4, 1, 2, 1
165144, 165555, 1, "OK", 1, 18, 9, 9, 6, 3, 2, 0
166398, 166490, 1, "OK", 0, 4, 3, 2, 2, 0, 1, 1
164827, 166679, 1, "OK", 0, 85, 37, 37, 28, 9, 7, 0
165992, 166533, 1, "OK", 1, 25, 15, 15, 10, 5, 4, 0
165144, 166679, 1, "OK", 1, 67, 31, 31, 23, 8, 6, 0
165107, 166679, 1, "OK", 0, 69, 31, 31, 23, 8, 6, 0
165246, 165443, 1, "OK", 0, 8, 7, 5, 4, 1, 2, 1
164926, 166533, 1, "OK", 0, 72, 34, 34, 25, 9, 7, 0
166054, 166382, 1, "OK", 0, 15, 10, 7, 6, 1, 3, 1
164847, 166679, 1, "OK", 0, 83, 37, 37, 28, 9, 7, 0
164827, 166533, 1, "OK", 0, 79, 35, 35, 26, 9, 7, 0
164926, 165132, 1, "OK", 0, 10, 5, 5, 4, 1, 1, 0
164950, 165063, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 3, 3, 0, 1, 1
166054, 166169, 1, "OK", 0, 6, 3, 2, 2, 0, 1, 1
164926, 165555, 1, "OK", 0, 29, 14, 14, 10, 4, 3, 0
165144, 165454, 1, "OK", 1, 14, 8, 8, 5, 3, 2, 0
164827, 164914, 1, "OK", 0, 6, 1, 1, 1, 0, 0, 0
164827, 165555, 1, "OK", 0, 36, 15, 15, 11, 4, 3, 0
165567, 166679, 1, "OK", 1, 48, 22, 22, 17, 5, 4, 0
166213, 166367, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 5, 3, 3, 0, 1, 2
165107, 165454, 1, "OK", 0, 16, 8, 8, 5, 3, 2, 0
166398, 166522, 1, "OK", 0, 6, 3, 2, 2, 0, 1, 1
166035, 166382, 1, "OK", 0, 16, 10, 7, 6, 1, 3, 1
166077, 166490, 1, "OK", 0, 18, 13, 9, 8, 1, 4, 1
165107, 165555, 1, "OK", 0, 20, 9, 9, 6, 3, 2, 0
166213, 166342, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 3, 3, 0, 1, 2
164847, 164914, 1, "OK", 0, 4, 1, 1, 1, 0, 0, 0
165889, 166533, 1, "OK", 1, 29, 16, 16, 11, 5, 4, 0
164847, 165555, 1, "OK", 0, 34, 15, 15, 11, 4, 3, 0
166545, 166679, 1, "OK", 1, 5, 2, 2, 2, 0, 0, 0
165214, 165443, 1, "OK", 0, 10, 7, 5, 4, 1, 2, 1
165567, 166533, 1, "OK", 1, 42, 20, 20, 15, 5, 4, 0
166035, 166490, 1, "OK", 0, 21, 13, 9, 8, 1, 4, 1
165786, 166533, 1, "OK", 1, 33, 17, 17, 12, 5, 4, 0
164926, 165454, 1, "OK", 0, 25, 13, 13, 9, 4, 3, 0
166077, 166382, 1, "OK", 0, 13, 10, 7, 6, 1, 3, 1
166185, 166490, 1, "OK", 0, 13, 10, 7, 6, 1, 3, 1
164827, 165454, 1, "OK", 0, 32, 14, 14, 10, 4, 3, 0
165713, 166533, 1, "OK", 1, 36, 18, 18, 13, 5, 4, 0
164847, 165095, 1, "OK", 0, 13, 6, 6, 5, 1, 1, 0
165274, 165428, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 5, 3, 3, 0, 1, 2
166077, 166522, 1, "OK", 0, 20, 13, 9, 8, 1, 4, 1
164847, 165454, 1, "OK", 0, 30, 14, 14, 10, 4, 3, 0
165274, 165403, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 3, 3, 0, 1, 2
164950, 165084, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 4, 3, 3, 0, 1, 1
166035, 166522, 1, "OK", 0, 23, 13, 9, 8, 1, 4, 1
165174, 165443, 1, "OK", 0, 12, 7, 5, 4, 1, 2, 1
165107, 166533, 1, "OK", 0, 63, 29, 29, 21, 8, 6, 0
166185, 166522, 1, "OK", 0, 15, 10, 7, 6, 1, 3, 1
166054, 166490, 1, "OK", 0, 20, 13, 9, 8, 1, 4, 1
164847, 166533, 1, "OK", 0, 77, 35, 35, 26, 9, 7, 0
166077, 166169, 1, "OK", 0, 4, 3, 2, 2, 0, 1, 1
164847, 165132, 1, "OK", 0, 15, 6, 6, 5, 1, 1, 0
165466, 166679, 1, "OK", 1, 52, 23, 23, 18, 5, 4, 0
165640, 166533, 1, "OK", 1, 39, 19, 19, 14, 5, 4, 0
166035, 166169, 1, "OK", 0, 7, 3, 2, 2, 0, 1, 1
166185, 166382, 1, "OK", 0, 8, 7, 5, 4, 1, 2, 1
164926, 165095, 1, "OK", 0, 8, 5, 5, 4, 1, 1, 0
165466, 166533, 1, "OK", 1, 46, 21, 21, 16, 5, 4, 0
164827, 165095, 1, "OK", 0, 15, 6, 6, 5, 1, 1, 0
165144, 166533, 1, "OK", 1, 61, 29, 29, 21, 8, 6, 0
