A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
30796, 33047, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  char ch String strVal", 0, 0, 27, 27, 16, 11, 7, 0
30254, 33971, 1, "OK", 1, 119, 46, 46, 28, 18, 11, 0
30254, 30897, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 11, 11, 5, 6, 3, 0
30287, 33971, 1, "OK", 2, 118, 46, 46, 28, 18, 11, 0
30326, 31226, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 16, 16, 8, 8, 5, 0
30871, 31226, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 5, 5, 3, 2, 2, 0
30287, 30897, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 11, 11, 5, 6, 3, 0
30907, 33947, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 35, 35, 23, 12, 8, 0
31342, 33036, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  char ch String strVal", 0, 0, 22, 22, 13, 9, 5, 0
30224, 30830, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 11, 11, 5, 6, 3, 0
32367, 32492, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
31251, 33036, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  char ch String strVal", 0, 0, 22, 22, 13, 9, 5, 0
30907, 33971, 1, "OK", 6, 94, 35, 35, 23, 12, 8, 0
31584, 32181, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int endIndex int chars_len", 0, 0, 13, 9, 5, 4, 4, 1
31342, 31516, 1, "OK", 2, 5, 1, 1, 1, 0, 0, 0
30287, 31194, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 16, 16, 8, 8, 5, 0
30254, 31194, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 16, 16, 8, 8, 5, 0
31251, 31516, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int endIndex String stringVal", 0, 0, 1, 1, 1, 0, 0, 0
