A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
75102, 75202, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
73389, 74926, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 29, 23, 13, 10, 6, 1
74161, 74421, 1, "OK", 0, 6, 5, 1, 1, 0, 1, 4
74061, 74892, 1, "OK", 0, 20, 12, 6, 5, 1, 2, 3
73107, 73368, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 2, 2, 0, 1, 2
74949, 75090, 1, "OK", 1, 5, 4, 4, 3, 1, 1, 0
73778, 74911, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 19, 11, 7, 4, 4, 2
74114, 74863, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 12, 6, 5, 1, 2, 3
74254, 74421, 1, "OK", 1, 4, 5, 1, 1, 0, 1, 4
72901, 75090, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 40, 40, 20, 20, 9, 0
73859, 74892, 1, "OK", 0, 25, 16, 7, 6, 1, 3, 3
74993, 75079, 1, "OK", 2, 3, 3, 2, 2, 0, 1, 1
73821, 74092, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 1, 1, 0, 1, 3
72933, 74937, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 36, 36, 17, 19, 8, 0
73821, 74863, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 16, 7, 6, 1, 3, 3
74211, 74421, 1, "OK", 0, 5, 5, 1, 1, 0, 1, 4
72960, 74937, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 36, 36, 17, 19, 8, 0
73072, 74926, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 35, 27, 16, 11, 8, 1
72933, 75202, 0, "Compilation unit does not compile after method extraction.", 1, 66, 41, 41, 21, 20, 9, 0
73493, 73584, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 3, 1, 1, 0, 1, 2
73821, 74039, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 1, 1, 0, 1, 3
72960, 75202, 0, "Compilation unit does not compile after method extraction.", 2, 65, 41, 41, 21, 20, 9, 0
74161, 74388, 1, "OK", 0, 5, 5, 1, 1, 0, 1, 4
74254, 74388, 1, "OK", 1, 3, 5, 1, 1, 0, 1, 4
72981, 74937, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 36, 36, 17, 19, 8, 0
74061, 74863, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 12, 6, 5, 1, 2, 3
73605, 74926, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 24, 19, 10, 9, 5, 1
73859, 74863, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 16, 7, 6, 1, 3, 3
72933, 75090, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 40, 40, 20, 20, 9, 0
72981, 75202, 0, "Compilation unit does not compile after method extraction.", 3, 64, 41, 41, 21, 20, 9, 0
