A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
51852, 56676, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 57, 57, 31, 26, 13, 0
50984, 51842, 1, "OK", 1, 20, 6, 6, 5, 1, 1, 0
50512, 58283, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 86, 86, 53, 33, 19, 0
51932, 52152, 1, "OK", 2, 4, 1, 1, 1, 0, 0, 0
52358, 58403, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 75, 75, 43, 32, 18, 0
50088, 50935, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 11, 11, 8, 3, 2, 0
51932, 58283, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 76, 76, 44, 32, 18, 0
50673, 58403, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 86, 86, 53, 33, 19, 0
50945, 52019, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean expectClassFlag String className long h1", 0, 0, 6, 6, 5, 1, 1, 0
52162, 53206, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  long h3 long fullHash boolean internalWhite", 0, 0, 7, 7, 4, 3, 2, 0
50456, 55916, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 63, 63, 36, 27, 14, 0
52688, 58403, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 75, 75, 43, 32, 18, 0
52788, 54268, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 27, 27, 13, 14, 7, 0
55925, 58403, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 24, 24, 18, 6, 5, 0
54183, 57109, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 33, 33, 21, 12, 6, 0
50512, 54173, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean expectClassFlag String className Class<?> clazz long h3 boolean internalWhite", 0, 0, 38, 38, 23, 15, 8, 0
50156, 51898, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 16, 16, 12, 4, 3, 0
52028, 54268, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Class<?> clazz long h3 boolean internalWhite", 0, 0, 29, 29, 15, 14, 7, 0
51932, 54173, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Class<?> clazz long h3 boolean internalWhite", 0, 0, 28, 28, 14, 14, 7, 0
50456, 54875, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 45, 45, 29, 16, 9, 0
50984, 55916, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 59, 59, 32, 27, 14, 0
53216, 58403, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 69, 69, 40, 29, 16, 0
50456, 50782, 1, "OK", 2, 7, 2, 2, 2, 0, 0, 0
50088, 50975, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 11, 11, 8, 3, 2, 0
51932, 53206, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  long h3 long fullHash boolean internalWhite", 0, 0, 8, 8, 5, 3, 2, 0
52162, 54268, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Class<?> clazz long h3 boolean internalWhite", 0, 0, 28, 28, 14, 14, 7, 0
56283, 56563, 1, "OK", 2, 6, 1, 1, 1, 0, 0, 0
54125, 55881, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 25, 25, 13, 12, 6, 0
57152, 57266, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
52788, 58403, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 75, 75, 43, 32, 18, 0
50456, 55947, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 63, 63, 36, 27, 14, 0
54885, 56891, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 23, 23, 12, 11, 5, 0
56686, 58403, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 20, 20, 14, 6, 5, 0
53216, 54355, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 22, 22, 11, 11, 5, 0
55956, 58494, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 25, 25, 19, 6, 5, 0
50512, 52152, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean expectClassFlag String className long h1", 0, 0, 11, 11, 10, 1, 1, 0
52028, 58403, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 77, 77, 45, 32, 18, 0
51150, 51832, 1, "OK", 1, 15, 4, 3, 3, 0, 1, 1
50456, 51842, 1, "OK", 3, 33, 10, 10, 9, 1, 1, 0
54125, 56891, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 30, 30, 18, 12, 6, 0
50088, 57109, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 78, 78, 48, 30, 16, 0
57119, 58283, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 15, 15, 9, 6, 5, 0
50792, 52679, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean expectClassFlag String className long h3 long fullHash", 0, 0, 10, 10, 9, 1, 1, 0
57152, 58273, 0, "Compilation unit does not compile after method extraction.", 5, 25, 14, 9, 8, 1, 5, 1
50984, 55947, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 59, 59, 32, 27, 14, 0
54278, 58283, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 47, 47, 29, 18, 11, 0
50156, 51922, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 16, 16, 12, 4, 3, 0
52028, 54355, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Class<?> clazz long h3 boolean internalWhite", 0, 0, 30, 30, 16, 14, 7, 0
52633, 57109, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 59, 59, 33, 26, 13, 0
53216, 58494, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 70, 70, 41, 29, 16, 0
51852, 56732, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 57, 57, 31, 26, 13, 0
50984, 51898, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean expectClassFlag String className", 0, 0, 6, 6, 5, 1, 1, 0
53634, 53714, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 1, 1, 0, 1, 3
50205, 50436, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 5, 3, 2, 1, 2, 1
50088, 52019, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 17, 17, 13, 4, 3, 0
50156, 50935, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 10, 10, 7, 3, 2, 0
54125, 54875, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 7, 7, 6, 1, 1, 0
52358, 54355, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Class<?> clazz long h3 boolean internalWhite", 0, 0, 28, 28, 14, 14, 7, 0
55891, 58494, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 25, 25, 19, 6, 5, 0
55956, 58517, 1, "OK", 7, 66, 25, 25, 19, 6, 5, 0
50673, 54355, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean expectClassFlag String className Class<?> clazz long h3 boolean internalWhite", 0, 0, 39, 39, 24, 15, 8, 0
50945, 54115, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean expectClassFlag String className long h3 boolean internalWhite", 0, 0, 34, 34, 19, 15, 8, 0
51852, 52623, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String className long h3", 0, 0, 2, 2, 2, 0, 0, 0
52688, 54355, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Class<?> clazz boolean internalWhite", 0, 0, 28, 28, 14, 14, 7, 0
54482, 57109, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 30, 30, 18, 12, 6, 0
50512, 53206, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean expectClassFlag String className long h3 long fullHash boolean internalWhite", 0, 0, 18, 18, 14, 4, 3, 0
54885, 55881, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 18, 18, 7, 11, 5, 0
52358, 58494, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 76, 76, 44, 32, 18, 0
50456, 51922, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean expectClassFlag String className", 0, 0, 10, 10, 9, 1, 1, 0
50088, 54115, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 45, 45, 27, 18, 10, 0
50945, 54173, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean expectClassFlag String className Class<?> clazz long h3 boolean internalWhite", 0, 0, 34, 34, 19, 15, 8, 0
51852, 52679, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String className long h3 long fullHash", 0, 0, 2, 2, 2, 0, 0, 0
54125, 55947, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 25, 25, 13, 12, 6, 0
51907, 57109, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 61, 61, 35, 26, 13, 0
50156, 50975, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 10, 10, 7, 3, 2, 0
53216, 58517, 1, "OK", 8, 142, 70, 70, 41, 29, 16, 0
55925, 58494, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 25, 25, 19, 6, 5, 0
