A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
1150, 1795, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Enum e String name JSONField jsonField long hash", 0, 0, 8, 5, 4, 1, 3, 1
1225, 2294, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONField jsonField long hash long hash_lower", 0, 0, 16, 10, 8, 2, 6, 1
1808, 2909, 1, "OK", 5, 29, 22, 15, 9, 6, 7, 1
2929, 3233, 0, "Compilation unit does not compile after method extraction.", 1, 10, 1, 1, 1, 0, 0, 0
1188, 2163, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONField jsonField long hash long hash_lower", 0, 0, 14, 9, 7, 2, 5, 1
1225, 1795, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String name JSONField jsonField long hash", 0, 0, 8, 5, 4, 1, 3, 1
966, 3426, 0, "Compilation unit does not compile after method extraction.", 1, 68, 33, 33, 16, 17, 10, 0
1759, 2909, 1, "OK", 4, 30, 22, 15, 9, 6, 7, 1
1287, 1670, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String name JSONField jsonField", 0, 0, 6, 4, 3, 1, 2, 1
1090, 3426, 0, "Compilation unit does not compile after method extraction.", 2, 65, 33, 33, 16, 17, 10, 0
966, 3175, 0, "Compilation unit does not compile after method extraction.", 1, 61, 32, 32, 15, 17, 10, 0
966, 2919, 0, "Compilation unit does not compile after method extraction.", 1, 52, 31, 31, 14, 17, 10, 0
1808, 2163, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  long hash long hash_lower", 0, 0, 6, 4, 3, 1, 2, 1
1090, 3175, 1, "OK", 2, 58, 32, 32, 15, 17, 10, 0
1090, 2919, 1, "OK", 2, 49, 31, 31, 14, 17, 10, 0
1265, 1850, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String name JSONField jsonField long hash long hash_lower", 0, 0, 8, 5, 4, 1, 3, 1
1992, 2097, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  long hash long hash_lower", 0, 0, 4, 2, 2, 0, 1, 2
1188, 2198, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONField jsonField long hash long hash_lower", 0, 0, 14, 9, 7, 2, 5, 1
1759, 2163, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  long hash long hash_lower", 0, 0, 6, 4, 3, 1, 2, 1
2988, 3233, 0, "Compilation unit does not compile after method extraction.", 1, 9, 1, 1, 1, 0, 0, 0
1420, 1670, 1, "OK", 2, 6, 6, 4, 3, 1, 2, 1
