A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
2978, 3620, 1, "OK", 5, 15, 10, 6, 4, 2, 4, 1
3040, 3620, 1, "OK", 4, 13, 10, 6, 4, 2, 4, 1
2039, 4058, 0, "Compilation unit does not compile after method extraction.", 2, 43, 16, 16, 9, 7, 5, 0
3074, 3212, 1, "OK", 0, 3, 3, 1, 1, 0, 1, 2
2561, 3630, 0, "Compilation unit does not compile after method extraction.", 2, 22, 11, 11, 5, 6, 4, 0
2111, 3630, 0, "Compilation unit does not compile after method extraction.", 2, 32, 15, 15, 8, 7, 5, 0
3317, 3620, 1, "OK", 3, 6, 5, 3, 2, 1, 2, 1
2724, 3702, 0, "Compilation unit does not compile after method extraction.", 3, 21, 11, 11, 5, 6, 4, 0
2502, 4058, 0, "Compilation unit does not compile after method extraction.", 3, 32, 12, 12, 6, 6, 4, 0
2182, 2715, 0, "Compilation unit does not compile after method extraction.", 2, 11, 4, 4, 3, 1, 1, 0
2076, 3702, 0, "Compilation unit does not compile after method extraction.", 2, 35, 15, 15, 8, 7, 5, 0
3712, 4058, 0, "Compilation unit does not compile after method extraction.", 1, 6, 1, 1, 1, 0, 0, 0
2076, 2551, 0, "Compilation unit does not compile after method extraction.", 1, 11, 4, 4, 3, 1, 1, 0
2111, 2493, 1, "OK", 1, 8, 4, 4, 3, 1, 1, 0
2039, 2551, 0, "Compilation unit does not compile after method extraction.", 1, 12, 4, 4, 3, 1, 1, 0
2039, 3702, 0, "Compilation unit does not compile after method extraction.", 2, 36, 15, 15, 8, 7, 5, 0
2561, 3779, 0, "Compilation unit does not compile after method extraction.", 2, 25, 11, 11, 5, 6, 4, 0
2636, 3630, 0, "Compilation unit does not compile after method extraction.", 3, 21, 11, 11, 5, 6, 4, 0
3380, 3606, 1, "OK", 3, 4, 3, 1, 1, 0, 1, 2
2111, 3779, 0, "Compilation unit does not compile after method extraction.", 2, 35, 15, 15, 8, 7, 5, 0
2111, 2627, 0, "Compilation unit does not compile after method extraction.", 1, 11, 4, 4, 3, 1, 1, 0
2182, 3630, 0, "Compilation unit does not compile after method extraction.", 3, 31, 15, 15, 8, 7, 5, 0
2314, 2483, 1, "OK", 2, 5, 2, 1, 1, 0, 1, 1
2806, 3620, 1, "OK", 5, 18, 10, 6, 4, 2, 4, 1
2502, 3702, 0, "Compilation unit does not compile after method extraction.", 3, 25, 11, 11, 5, 6, 4, 0
2866, 3303, 1, "OK", 5, 10, 5, 3, 2, 1, 2, 1
2182, 2493, 1, "OK", 2, 7, 4, 4, 3, 1, 1, 0
2636, 3779, 0, "Compilation unit does not compile after method extraction.", 3, 24, 11, 11, 5, 6, 4, 0
2561, 4058, 0, "Compilation unit does not compile after method extraction.", 2, 30, 12, 12, 6, 6, 4, 0
2111, 4058, 0, "Compilation unit does not compile after method extraction.", 2, 40, 16, 16, 9, 7, 5, 0
2182, 3779, 0, "Compilation unit does not compile after method extraction.", 3, 34, 15, 15, 8, 7, 5, 0
2182, 2627, 0, "Compilation unit does not compile after method extraction.", 2, 10, 4, 4, 3, 1, 1, 0
2076, 2715, 0, "Compilation unit does not compile after method extraction.", 1, 14, 4, 4, 3, 1, 1, 0
2039, 2715, 0, "Compilation unit does not compile after method extraction.", 1, 15, 4, 4, 3, 1, 1, 0
3639, 4058, 0, "Compilation unit does not compile after method extraction.", 2, 8, 1, 1, 1, 0, 0, 0
2978, 3303, 1, "OK", 4, 8, 5, 3, 2, 1, 2, 1
3040, 3303, 1, "OK", 3, 6, 5, 3, 2, 1, 2, 1
2724, 3630, 1, "OK", 3, 20, 11, 11, 5, 6, 4, 0
2636, 4058, 0, "Compilation unit does not compile after method extraction.", 3, 29, 12, 12, 6, 6, 4, 0
3788, 4058, 1, "OK", 1, 5, 1, 1, 1, 0, 0, 0
2076, 3630, 0, "Compilation unit does not compile after method extraction.", 2, 34, 15, 15, 8, 7, 5, 0
2182, 4058, 0, "Compilation unit does not compile after method extraction.", 3, 39, 16, 16, 9, 7, 5, 0
2561, 3702, 0, "Compilation unit does not compile after method extraction.", 2, 23, 11, 11, 5, 6, 4, 0
2111, 2551, 0, "Compilation unit does not compile after method extraction.", 1, 9, 4, 4, 3, 1, 1, 0
3380, 3532, 1, "OK", 1, 3, 3, 1, 1, 0, 1, 2
2039, 3630, 0, "Compilation unit does not compile after method extraction.", 2, 35, 15, 15, 8, 7, 5, 0
2111, 3702, 0, "Compilation unit does not compile after method extraction.", 2, 33, 15, 15, 8, 7, 5, 0
3074, 3289, 1, "OK", 2, 4, 3, 1, 1, 0, 1, 2
2724, 3779, 0, "Compilation unit does not compile after method extraction.", 3, 23, 11, 11, 5, 6, 4, 0
2076, 2493, 0, "Compilation unit does not compile after method extraction.", 1, 10, 4, 4, 3, 1, 1, 0
2039, 2493, 0, "Compilation unit does not compile after method extraction.", 1, 11, 4, 4, 3, 1, 1, 0
2502, 3630, 0, "Compilation unit does not compile after method extraction.", 3, 24, 11, 11, 5, 6, 4, 0
2076, 3779, 0, "Compilation unit does not compile after method extraction.", 2, 37, 15, 15, 8, 7, 5, 0
2076, 2627, 0, "Compilation unit does not compile after method extraction.", 1, 13, 4, 4, 3, 1, 1, 0
2636, 3702, 0, "Compilation unit does not compile after method extraction.", 3, 22, 11, 11, 5, 6, 4, 0
2039, 3779, 0, "Compilation unit does not compile after method extraction.", 2, 38, 15, 15, 8, 7, 5, 0
2039, 2627, 0, "Compilation unit does not compile after method extraction.", 1, 14, 4, 4, 3, 1, 1, 0
2182, 3702, 0, "Compilation unit does not compile after method extraction.", 3, 32, 15, 15, 8, 7, 5, 0
2866, 3620, 1, "OK", 6, 17, 10, 6, 4, 2, 4, 1
2182, 2551, 0, "Compilation unit does not compile after method extraction.", 2, 8, 4, 4, 3, 1, 1, 0
2806, 3303, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  FieldInfo fieldInfo FieldDeserializer fieldDeserializer", 0, 0, 5, 3, 2, 1, 2, 1
2724, 4058, 0, "Compilation unit does not compile after method extraction.", 3, 28, 12, 12, 6, 6, 4, 0
2111, 2715, 0, "Compilation unit does not compile after method extraction.", 1, 12, 4, 4, 3, 1, 1, 0
2076, 4058, 0, "Compilation unit does not compile after method extraction.", 2, 42, 16, 16, 9, 7, 5, 0
2502, 3779, 0, "Compilation unit does not compile after method extraction.", 3, 27, 11, 11, 5, 6, 4, 0
