A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
13033, 14095, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Object key Object value", 0, 0, 6, 4, 4, 0, 2, 1
10473, 14095, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 35, 25, 17, 8, 10, 1
10950, 12359, 1, "OK", 4, 30, 18, 10, 7, 3, 4, 2
12782, 12923, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 1, 1, 0, 1, 2
9941, 10366, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ObjectDeserializer keyDeserializer ObjectDeserializer valueDeserializer", 0, 0, 2, 2, 2, 0, 0, 0
10630, 14095, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Object key Object value", 0, 0, 33, 24, 16, 8, 9, 1
10835, 12359, 1, "OK", 3, 33, 18, 10, 7, 3, 4, 2
11266, 11798, 1, "OK", 4, 11, 7, 4, 3, 1, 1, 3
12656, 12997, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 1, 1, 0, 1, 2
13977, 14282, 1, "OK", 7, 8, 2, 1, 1, 0, 1, 1
12024, 12359, 1, "OK", 2, 9, 3, 1, 1, 0, 1, 2
9900, 10366, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONLexer lexer ObjectDeserializer keyDeserializer ObjectDeserializer valueDeserializer", 0, 0, 2, 2, 2, 0, 0, 0
9941, 10119, 1, "OK", 1, 3, 2, 2, 2, 0, 0, 0
9900, 10119, 1, "OK", 1, 5, 2, 2, 2, 0, 0, 0
11381, 11571, 1, "OK", 1, 5, 5, 1, 1, 0, 1, 4
13061, 14282, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Object key Object value", 0, 0, 8, 5, 5, 0, 3, 1
11317, 11513, 1, "OK", 1, 4, 5, 1, 1, 0, 1, 4
14151, 14282, 1, "OK", 2, 3, 2, 1, 1, 0, 1, 1
10473, 14133, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 35, 25, 17, 8, 10, 1
