A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
5622, 5749, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 2, 1, 1, 0, 1, 1
1081, 5851, 0, "Compilation unit does not compile after method extraction.", 4, 110, 79, 79, 45, 34, 17, 0
1212, 5759, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String declaringClass String methodName String fileName int lineNumber", 0, 0, 79, 79, 45, 34, 17, 0
712, 1166, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String declaringClass String methodName String fileName int lineNumber", 0, 0, 3, 3, 3, 0, 0, 0
712, 1038, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 3, 3, 3, 0, 0, 0
1113, 5759, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String declaringClass String methodName String fileName int lineNumber", 0, 0, 79, 79, 45, 34, 17, 0
3331, 5608, 1, "OK", 2, 48, 39, 32, 23, 9, 7, 1
672, 999, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 3, 3, 3, 0, 0, 0
1047, 5759, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String declaringClass String methodName String fileName int lineNumber", 0, 0, 79, 79, 45, 34, 17, 0
1175, 5759, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String declaringClass String methodName String fileName int lineNumber", 0, 0, 79, 79, 45, 34, 17, 0
1376, 1832, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 12, 8, 4, 4, 4, 1
3013, 3311, 1, "OK", 2, 7, 5, 3, 3, 0, 1, 2
4384, 5608, 1, "OK", 2, 27, 19, 16, 13, 3, 3, 1
672, 1132, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONLexer lexer String declaringClass String methodName String fileName int lineNumber", 0, 0, 3, 3, 3, 0, 0, 0
1627, 1735, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 4, 1, 1, 0, 1, 3
3381, 3810, 1, "OK", 1, 9, 6, 4, 4, 0, 1, 2
4912, 5119, 1, "OK", 1, 5, 2, 2, 2, 0, 0, 2
2273, 2578, 1, "OK", 2, 7, 5, 3, 3, 0, 1, 2
1845, 5608, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String declaringClass String methodName String fileName int lineNumber", 0, 0, 64, 52, 39, 13, 12, 1
826, 1104, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String declaringClass String methodName String fileName", 0, 0, 2, 2, 2, 0, 0, 0
2225, 5608, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String methodName String fileName int lineNumber", 0, 0, 57, 47, 35, 12, 10, 1
3497, 3810, 1, "OK", 1, 7, 3, 3, 3, 0, 0, 2
