A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
71102, 73311, 1, "OK", 5, 38, 11, 8, 6, 2, 3, 1
70123, 70890, 1, "OK", 4, 23, 2, 2, 2, 0, 0, 0
71658, 73481, 1, "OK", 5, 31, 11, 8, 6, 2, 3, 1
72065, 73152, 1, "OK", 5, 17, 11, 8, 6, 2, 3, 1
71774, 73988, 1, "OK", 5, 36, 11, 8, 6, 2, 3, 1
72029, 73249, 1, "OK", 7, 21, 11, 8, 6, 2, 3, 1
71518, 73730, 1, "OK", 3, 37, 11, 8, 6, 2, 3, 1
71518, 72720, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label instanceOfElse_ Label instanceOfEnd_ String writeMethodName", 0, 0, 11, 8, 6, 2, 3, 1
71405, 73152, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label instanceOfElse_ Label instanceOfEnd_", 0, 0, 11, 8, 6, 2, 3, 1
71455, 72626, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label instanceOfElse_ Label instanceOfEnd_ String writeMethodName", 0, 0, 11, 8, 6, 2, 3, 1
70861, 75691, 1, "OK", 5, 93, 25, 25, 17, 8, 5, 0
71263, 72442, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label instanceOfElse_ Label instanceOfEnd_ String writeMethodName", 0, 0, 11, 8, 6, 2, 3, 1
71774, 72930, 1, "OK", 3, 18, 11, 8, 6, 2, 3, 1
70243, 74317, 1, "OK", 6, 83, 17, 17, 12, 5, 3, 0
71918, 72567, 1, "OK", 4, 11, 11, 8, 6, 2, 3, 1
71518, 72681, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label instanceOfElse_ Label instanceOfEnd_ String writeMethodName", 0, 0, 11, 8, 6, 2, 3, 1
71597, 73311, 1, "OK", 5, 29, 11, 8, 6, 2, 3, 1
71658, 72442, 1, "OK", 4, 13, 11, 8, 6, 2, 3, 1
71720, 72567, 1, "OK", 4, 14, 11, 8, 6, 2, 3, 1
71263, 73426, 1, "OK", 5, 38, 11, 8, 6, 2, 3, 1
70449, 74085, 1, "OK", 6, 70, 13, 13, 8, 5, 3, 0
71161, 73520, 1, "OK", 5, 41, 11, 8, 6, 2, 3, 1
71161, 72503, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label instanceOfElse_ Label instanceOfEnd_ String writeMethodName", 0, 0, 11, 8, 6, 2, 3, 1
70673, 74317, 1, "OK", 4, 70, 15, 15, 10, 5, 3, 0
70861, 75657, 1, "OK", 5, 91, 25, 25, 17, 8, 5, 0
72029, 73311, 1, "OK", 7, 23, 11, 8, 6, 2, 3, 1
71720, 73673, 1, "OK", 5, 33, 11, 8, 6, 2, 3, 1
70783, 74047, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label classIfEnd_ Label classIfElse_", 0, 0, 13, 13, 8, 5, 3, 0
70123, 70960, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Class<?> fieldClass Label classIfEnd_ Label classIfElse_", 0, 0, 2, 2, 2, 0, 0, 0
71597, 72368, 1, "OK", 4, 12, 11, 8, 6, 2, 3, 1
71455, 72681, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Label instanceOfElse_ Label instanceOfEnd_ String writeMethodName", 0, 0, 11, 8, 6, 2, 3, 1
