A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
4633, 4922, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 4, 3, 1, 1, 0
4500, 17235, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 50, 50, 35, 15, 13, 0
5454, 14292, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String classNameType String classNameFull ClassWriter cw boolean DisableCircularReferenceDetect", 0, 0, 36, 36, 24, 12, 10, 0
5160, 9067, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 24, 24, 16, 8, 7, 0
5354, 7154, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String classNameType String classNameFull ClassWriter cw", 0, 0, 8, 8, 6, 2, 2, 0
5894, 17037, 1, "OK", 7, 257, 40, 40, 27, 13, 11, 0
15555, 16558, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  MethodVisitor mw Context context", 0, 0, 4, 3, 3, 0, 1, 1
9329, 10917, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  MethodVisitor mw boolean nonContext Context context", 0, 0, 4, 3, 3, 0, 1, 1
10873, 14255, 1, "OK", 8, 73, 10, 7, 6, 1, 3, 1
4378, 8746, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 24, 24, 18, 6, 6, 0
9223, 14200, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  MethodVisitor mw Context context", 0, 0, 14, 10, 9, 1, 4, 1
4633, 17235, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 50, 50, 35, 15, 13, 0
4500, 9067, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 29, 29, 20, 9, 8, 0
9436, 9653, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String methodName boolean nonContext boolean writeDirect", 0, 0, 2, 2, 2, 0, 0, 1
4500, 4976, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 4, 3, 1, 1, 0
15620, 16615, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  MethodVisitor mw Context context", 0, 0, 4, 3, 3, 0, 1, 1
4932, 5929, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 6, 5, 1, 1, 0
4577, 8746, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 23, 23, 17, 6, 6, 0
6153, 17235, 1, "OK", 9, 252, 40, 40, 27, 13, 11, 0
7819, 8597, 1, "OK", 4, 15, 3, 2, 2, 0, 1, 1
5160, 17296, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 45, 45, 31, 14, 12, 0
5354, 15378, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String classNameType String classNameFull ClassWriter cw boolean DisableCircularReferenceDetect", 0, 0, 37, 37, 25, 12, 10, 0
9288, 14255, 1, "OK", 9, 112, 14, 10, 9, 1, 4, 1
5454, 6143, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String classNameType String classNameFull ClassWriter cw", 0, 0, 2, 2, 2, 0, 0, 0
4633, 9067, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 29, 29, 20, 9, 8, 0
10873, 14282, 1, "OK", 8, 74, 10, 7, 6, 1, 3, 1
4633, 4976, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 4, 3, 1, 1, 0
4500, 17296, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 50, 50, 35, 15, 13, 0
6153, 9067, 1, "OK", 4, 64, 19, 19, 12, 7, 6, 0
15555, 16615, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  MethodVisitor mw Context context", 0, 0, 4, 3, 3, 0, 1, 1
11014, 11979, 1, "OK", 4, 20, 4, 2, 2, 0, 1, 2
5484, 7282, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String classNameType String classNameFull ClassWriter cw MethodVisitor mw", 0, 0, 8, 8, 6, 2, 2, 0
7291, 8607, 1, "OK", 3, 29, 7, 7, 5, 2, 2, 0
9288, 14282, 1, "OK", 9, 113, 14, 10, 9, 1, 4, 1
4378, 16996, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 51, 51, 36, 15, 13, 0
9223, 14255, 1, "OK", 9, 113, 14, 10, 9, 1, 4, 1
15620, 16665, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  MethodVisitor mw Context context", 0, 0, 4, 3, 3, 0, 1, 1
5060, 14292, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 40, 40, 27, 13, 11, 0
4633, 17296, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 50, 50, 35, 15, 13, 0
5160, 17343, 1, "OK", 6, 282, 45, 45, 31, 14, 12, 0
9223, 14282, 1, "OK", 9, 114, 14, 10, 9, 1, 4, 1
4334, 14292, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 45, 45, 31, 14, 12, 0
4500, 5050, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 4, 3, 1, 1, 0
4577, 16996, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 50, 50, 35, 15, 13, 0
7291, 8638, 1, "OK", 3, 31, 7, 7, 5, 2, 2, 0
5484, 7317, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String classNameType String classNameFull ClassWriter cw MethodVisitor mw", 0, 0, 8, 8, 6, 2, 2, 0
6153, 17296, 1, "OK", 9, 253, 40, 40, 27, 13, 11, 0
4500, 17343, 1, "OK", 2, 302, 50, 50, 35, 15, 13, 0
15555, 16665, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  MethodVisitor mw Context context", 0, 0, 4, 3, 3, 0, 1, 1
5894, 17141, 1, "OK", 8, 259, 40, 40, 27, 13, 11, 0
4378, 17037, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 51, 51, 36, 15, 13, 0
5060, 6143, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 6, 5, 1, 1, 0
4633, 5050, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 4, 3, 1, 1, 0
7291, 8666, 1, "OK", 3, 32, 7, 7, 5, 2, 2, 0
9288, 10247, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  MethodVisitor mw boolean nonContext Context context", 0, 0, 4, 3, 3, 0, 1, 1
4633, 17343, 1, "OK", 4, 298, 50, 50, 35, 15, 13, 0
15775, 16000, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String methodName boolean nonContext boolean writeDirect", 0, 0, 2, 2, 2, 0, 0, 1
5160, 7154, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 11, 11, 8, 3, 3, 0
5354, 7282, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String classNameType String classNameFull ClassWriter cw MethodVisitor mw", 0, 0, 8, 8, 6, 2, 2, 0
4577, 17037, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 50, 50, 35, 15, 13, 0
5484, 7352, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String classNameType String classNameFull ClassWriter cw MethodVisitor mw", 0, 0, 8, 8, 6, 2, 2, 0
4334, 6143, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 11, 11, 9, 2, 2, 0
6153, 17343, 1, "OK", 9, 255, 40, 40, 27, 13, 11, 0
7291, 8689, 1, "OK", 3, 33, 7, 7, 5, 2, 2, 0
15620, 16726, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  MethodVisitor mw Context context", 0, 0, 4, 3, 3, 0, 1, 1
4500, 7154, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 16, 16, 12, 4, 4, 0
9223, 10247, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  MethodVisitor mw boolean nonContext Context context", 0, 0, 4, 3, 3, 0, 1, 1
8675, 16996, 1, "OK", 9, 194, 27, 27, 18, 9, 7, 0
