A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
6323, 6741, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 3, 3, 0, 2, 1
6449, 7376, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int r int g int b int alpha String key int val", 0, 0, 12, 9, 9, 0, 3, 1
7211, 7376, 1, "OK", 3, 5, 2, 2, 2, 0, 0, 1
6449, 6741, 0, "Compilation unit does not compile after method extraction.", 1, 9, 3, 2, 2, 0, 1, 1
6980, 7502, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int r int g int b int alpha", 0, 0, 8, 6, 6, 0, 2, 1
6733, 6966, 1, "OK", 1, 7, 3, 2, 2, 0, 1, 1
6473, 6966, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String key int val", 0, 0, 6, 4, 4, 0, 2, 1
6980, 7376, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int r int g int b int alpha", 0, 0, 6, 5, 5, 0, 1, 1
6323, 6435, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 2, 1, 1, 0, 1, 1
6473, 6719, 0, "Compilation unit does not compile after method extraction.", 2, 6, 3, 2, 2, 0, 1, 1
6754, 6966, 0, "Compilation unit does not compile after method extraction.", 2, 6, 3, 2, 2, 0, 1, 1
6256, 7555, 1, "OK", 1, 41, 17, 17, 12, 5, 5, 0
6733, 7502, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int r int g int b int alpha int val", 0, 0, 11, 8, 8, 0, 3, 1
7057, 7376, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int g int b int alpha", 0, 0, 4, 4, 4, 0, 0, 1
6449, 6966, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String key int val", 0, 0, 6, 4, 4, 0, 2, 1
6473, 7502, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int r int g int b int alpha String key int val", 0, 0, 14, 10, 10, 0, 4, 1
6207, 7555, 1, "OK", 1, 43, 17, 17, 12, 5, 5, 0
6323, 6966, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 8, 5, 5, 0, 3, 1
6733, 7376, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int r int g int b int alpha int val", 0, 0, 9, 7, 7, 0, 2, 1
6323, 6460, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 2, 1, 1, 0, 1, 1
6256, 7512, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int r int g int b int alpha", 0, 0, 17, 17, 12, 5, 5, 0
6300, 7555, 1, "OK", 5, 40, 17, 17, 12, 5, 5, 0
6473, 7376, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int r int g int b int alpha String key int val", 0, 0, 12, 9, 9, 0, 3, 1
6449, 6719, 1, "OK", 1, 7, 3, 2, 2, 0, 1, 1
6754, 7376, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int r int g int b int alpha int val", 0, 0, 9, 7, 7, 0, 2, 1
6323, 6719, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 5, 3, 3, 0, 2, 1
6473, 6741, 0, "Compilation unit does not compile after method extraction.", 2, 8, 3, 2, 2, 0, 1, 1
6754, 7502, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int r int g int b int alpha int val", 0, 0, 11, 8, 8, 0, 3, 1
7134, 7376, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int b int alpha", 0, 0, 3, 3, 3, 0, 0, 1
7390, 7502, 1, "OK", 1, 3, 2, 1, 1, 0, 1, 1
6207, 7512, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int r int g int b int alpha", 0, 0, 17, 17, 12, 5, 5, 0
6323, 7376, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 14, 10, 10, 0, 4, 1
6449, 7502, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int r int g int b int alpha String key int val", 0, 0, 14, 10, 10, 0, 4, 1
6300, 7512, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int r int g int b int alpha", 0, 0, 17, 17, 12, 5, 5, 0
6323, 7502, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 16, 11, 11, 0, 5, 1
