A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
3401, 4968, 0, "Compilation unit does not compile after method extraction.", 1, 37, 17, 17, 10, 7, 5, 0
2185, 3501, 0, "Compilation unit does not compile after method extraction.", 2, 27, 14, 14, 8, 6, 3, 0
2148, 3501, 0, "Compilation unit does not compile after method extraction.", 2, 28, 14, 14, 8, 6, 3, 0
3363, 4753, 0, "Compilation unit does not compile after method extraction.", 1, 34, 16, 16, 9, 7, 5, 0
3929, 4742, 1, "OK", 1, 17, 10, 7, 6, 1, 3, 1
3609, 3913, 1, "OK", 2, 8, 5, 3, 2, 1, 2, 1
2185, 3389, 1, "OK", 2, 23, 14, 14, 8, 6, 3, 0
2185, 4800, 0, "Compilation unit does not compile after method extraction.", 2, 58, 30, 30, 17, 13, 8, 0
2254, 4968, 0, "Compilation unit does not compile after method extraction.", 2, 59, 31, 31, 18, 13, 8, 0
2254, 3560, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean writeNull JSONField annotation", 0, 0, 14, 14, 8, 6, 3, 0
3884, 4742, 1, "OK", 1, 19, 10, 7, 6, 1, 3, 1
2148, 3389, 0, "Compilation unit does not compile after method extraction.", 2, 24, 14, 14, 8, 6, 3, 0
2148, 4800, 0, "Compilation unit does not compile after method extraction.", 2, 59, 30, 30, 17, 13, 8, 0
3475, 4753, 1, "OK", 1, 30, 16, 16, 9, 7, 5, 0
3570, 4753, 1, "OK", 2, 28, 16, 16, 9, 7, 5, 0
4773, 4968, 0, "Compilation unit does not compile after method extraction.", 2, 4, 1, 1, 1, 0, 0, 0
2415, 3317, 1, "OK", 1, 14, 11, 7, 6, 1, 2, 2
3401, 4753, 0, "Compilation unit does not compile after method extraction.", 1, 32, 16, 16, 9, 7, 5, 0
3511, 4800, 0, "Compilation unit does not compile after method extraction.", 2, 31, 16, 16, 9, 7, 5, 0
2643, 3298, 1, "OK", 1, 10, 4, 4, 4, 0, 0, 3
2291, 3332, 1, "OK", 1, 17, 13, 10, 7, 3, 3, 1
3929, 4650, 1, "OK", 1, 15, 10, 7, 6, 1, 3, 1
3929, 4010, 1, "OK", 0, 3, 2, 1, 1, 0, 1, 1
2254, 3463, 0, "Compilation unit does not compile after method extraction.", 2, 23, 14, 14, 8, 6, 3, 0
3143, 3298, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 3
2374, 3332, 1, "OK", 1, 16, 13, 10, 7, 3, 3, 1
