A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
9112, 13019, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 72, 58, 35, 23, 14, 1
12056, 12508, 1, "OK", 2, 12, 11, 8, 5, 3, 3, 1
10152, 11371, 1, "OK", 7, 22, 27, 15, 12, 3, 3, 4
9112, 12508, 1, "OK", 2, 76, 63, 52, 30, 22, 11, 1
12056, 13019, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 20, 14, 10, 4, 6, 1
11431, 12042, 1, "OK", 2, 18, 5, 4, 3, 1, 1, 1
9197, 11411, 1, "OK", 3, 43, 45, 33, 21, 12, 6, 2
12522, 12777, 1, "OK", 1, 8, 6, 4, 3, 1, 2, 1
10372, 11077, 1, "OK", 3, 14, 17, 7, 6, 1, 2, 5
9747, 11393, 1, "OK", 4, 31, 30, 21, 15, 6, 3, 3
12614, 12763, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 4, 2, 2, 0, 1, 2
9112, 12777, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DateTimeFormatter formatter boolean digit", 0, 0, 69, 56, 33, 23, 13, 1
12556, 13019, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 9, 6, 5, 1, 3, 1
9075, 13029, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 73, 73, 36, 37, 14, 0
12056, 12777, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DateTimeFormatter formatter boolean digit", 0, 0, 17, 12, 8, 4, 5, 1
12556, 12777, 1, "OK", 2, 7, 6, 4, 3, 1, 2, 1
9239, 11411, 1, "OK", 4, 42, 45, 33, 21, 12, 6, 2
9075, 13169, 1, "OK", 2, 95, 74, 74, 37, 37, 14, 0
9371, 11411, 1, "OK", 7, 39, 45, 33, 21, 12, 6, 2
11243, 11371, 1, "OK", 3, 3, 2, 2, 2, 0, 0, 4
13039, 13169, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
12099, 12494, 1, "OK", 2, 10, 9, 5, 4, 1, 2, 2
12656, 12763, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 4, 2, 2, 0, 1, 2
9112, 12543, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DateTimeFormatter formatter boolean digit", 0, 0, 63, 52, 30, 22, 11, 1
12056, 12543, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DateTimeFormatter formatter boolean digit", 0, 0, 11, 8, 5, 3, 3, 1
10717, 11047, 1, "OK", 2, 6, 9, 3, 3, 0, 1, 6
11474, 12028, 1, "OK", 2, 16, 4, 2, 2, 0, 1, 2
11602, 12028, 1, "OK", 5, 13, 4, 2, 2, 0, 1, 2
12409, 12494, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 2
9112, 12042, 1, "OK", 2, 63, 52, 44, 25, 19, 8, 1
9902, 11371, 1, "OK", 3, 27, 27, 15, 12, 3, 3, 4
9327, 11411, 1, "OK", 6, 40, 45, 33, 21, 12, 6, 2
11735, 12028, 1, "OK", 7, 9, 4, 2, 2, 0, 1, 2
11516, 12028, 1, "OK", 3, 15, 4, 2, 2, 0, 1, 2
12141, 12494, 1, "OK", 3, 9, 9, 5, 4, 1, 2, 2
9952, 11371, 1, "OK", 4, 26, 27, 15, 12, 3, 3, 4
10238, 11077, 1, "OK", 5, 16, 17, 7, 6, 1, 2, 5
11558, 12028, 1, "OK", 4, 14, 4, 2, 2, 0, 1, 2
10486, 11077, 1, "OK", 2, 12, 11, 6, 5, 1, 1, 5
12178, 12385, 1, "OK", 1, 5, 5, 2, 2, 0, 1, 3
9510, 9719, 1, "OK", 2, 5, 6, 2, 2, 0, 1, 4
11690, 12028, 1, "OK", 7, 11, 4, 2, 2, 0, 1, 2
9423, 11393, 1, "OK", 5, 37, 41, 26, 19, 7, 5, 3
10002, 11371, 1, "OK", 5, 25, 27, 15, 12, 3, 3, 4
12790, 13019, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 2, 2, 0, 1, 1
10305, 11077, 1, "OK", 4, 15, 17, 7, 6, 1, 2, 5
10851, 11047, 1, "OK", 2, 4, 2, 2, 2, 0, 0, 6
9618, 9719, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 4
11109, 11371, 1, "OK", 3, 5, 4, 4, 4, 0, 0, 4
10052, 11371, 1, "OK", 6, 24, 27, 15, 12, 3, 3, 4
10102, 11371, 1, "OK", 7, 23, 27, 15, 12, 3, 3, 4
12522, 13019, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 9, 6, 5, 1, 3, 1
9155, 11411, 1, "OK", 2, 44, 45, 33, 21, 12, 6, 2
9283, 11411, 1, "OK", 5, 41, 45, 33, 21, 12, 6, 2
10633, 11047, 1, "OK", 1, 8, 9, 3, 3, 0, 1, 6
11646, 12028, 1, "OK", 6, 12, 4, 2, 2, 0, 1, 2
