A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
1432, 1751, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
4910, 5807, 1, "OK", 5, 13, 14, 6, 5, 1, 2, 4
1244, 1948, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 4, 4, 0, 0, 0
4298, 5834, 1, "OK", 9, 23, 24, 12, 8, 4, 4, 3
1432, 2011, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 3, 3, 0, 0, 0
2091, 3345, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 15, 15, 7, 8, 4, 0
1515, 1751, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
2320, 2398, 1, "OK", 2, 3, 3, 1, 1, 0, 1, 2
2320, 3165, 1, "OK", 9, 18, 12, 6, 5, 1, 3, 2
1515, 2011, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 3, 3, 0, 0, 0
2161, 3232, 1, "OK", 8, 26, 14, 10, 6, 4, 4, 1
5184, 5776, 1, "OK", 6, 8, 8, 3, 3, 0, 1, 5
2072, 5996, 1, "OK", 9, 86, 55, 55, 24, 31, 12, 0
2091, 5921, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 55, 55, 24, 31, 12, 0
1763, 2011, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
1481, 1795, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
2244, 3232, 1, "OK", 8, 23, 14, 10, 6, 4, 4, 1
