A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
1171, 1659, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String fieldName boolean special", 0, 0, 13, 9, 8, 1, 2, 2
1171, 2687, 1, "OK", 1, 36, 35, 25, 21, 4, 5, 2
776, 2711, 1, "OK", 1, 49, 41, 41, 26, 15, 6, 0
1375, 1614, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 10, 7, 7, 0, 1, 3
2235, 2539, 1, "OK", 2, 8, 2, 2, 2, 0, 0, 4
1677, 2687, 1, "OK", 3, 23, 22, 16, 13, 3, 3, 2
890, 2701, 1, "OK", 1, 44, 39, 33, 24, 9, 6, 1
1783, 2539, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 14, 10, 10, 0, 1, 4
1426, 1641, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 10, 7, 7, 0, 1, 3
1426, 1578, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 10, 7, 7, 0, 1, 3
1308, 1659, 1, "OK", 2, 8, 13, 9, 8, 1, 2, 2
2025, 2539, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 9, 9, 9, 0, 0, 4
971, 2701, 1, "OK", 1, 42, 37, 32, 23, 9, 5, 1
1308, 2687, 1, "OK", 3, 32, 35, 25, 21, 4, 5, 2
1838, 2579, 1, "OK", 2, 16, 14, 10, 10, 0, 1, 4
1205, 1659, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String fieldName boolean special", 0, 0, 13, 9, 8, 1, 2, 2
1267, 1659, 1, "OK", 1, 9, 13, 9, 8, 1, 2, 2
1205, 2687, 1, "OK", 1, 34, 35, 25, 21, 4, 5, 2
1375, 1641, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 10, 7, 7, 0, 1, 3
1375, 1578, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 10, 7, 7, 0, 1, 3
1267, 2687, 1, "OK", 2, 33, 35, 25, 21, 4, 5, 2
856, 2701, 1, "OK", 1, 45, 39, 33, 24, 9, 6, 1
1712, 2601, 1, "OK", 2, 19, 18, 12, 11, 1, 2, 3
1426, 1614, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 10, 7, 7, 0, 1, 3
1783, 2579, 1, "OK", 3, 17, 14, 10, 10, 0, 1, 4
1838, 2539, 0, "Selection contains branch statement but corresponding branch target (or the complete loop body) is not selected.", 0, 0, 14, 10, 10, 0, 1, 4
