A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
3540, 3605, 1, "OK", 3, 2, 2, 2, 2, 0, 0, 0
3654, 3911, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int eIx int pad int cCnt", 0, 0, 5, 5, 4, 1, 1, 0
4141, 5197, 1, "OK", 6, 29, 9, 9, 6, 3, 3, 0
3404, 3856, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int eIx int pad", 0, 0, 7, 7, 6, 1, 1, 0
3654, 4170, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int eIx int pad int sepCnt int len byte[] bytes", 0, 0, 8, 8, 6, 2, 2, 0
3332, 3911, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 8, 7, 1, 1, 0
3332, 4170, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 11, 11, 9, 2, 2, 0
3886, 4276, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sepCnt int len byte[] bytes int d", 0, 0, 3, 3, 2, 1, 1, 0
3776, 4101, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pad int sepCnt int len", 0, 0, 6, 6, 4, 2, 2, 0
3967, 5220, 1, "OK", 6, 34, 12, 12, 8, 4, 4, 0
3654, 5197, 1, "OK", 4, 38, 17, 17, 12, 5, 5, 0
3776, 4871, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int pad int len byte[] bytes int d", 0, 0, 10, 10, 7, 3, 3, 0
4058, 5220, 1, "OK", 6, 32, 9, 9, 6, 3, 3, 0
3654, 4048, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int eIx int pad int cCnt int sepCnt", 0, 0, 8, 8, 6, 2, 2, 0
4285, 5220, 1, "OK", 8, 27, 9, 9, 6, 3, 3, 0
3332, 5197, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 20, 20, 15, 5, 5, 0
3404, 3605, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int eIx", 0, 0, 2, 2, 2, 0, 0, 0
3332, 4048, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 11, 11, 9, 2, 2, 0
3776, 3856, 1, "OK", 2, 1, 3, 3, 2, 1, 1, 0
5108, 5187, 1, "OK", 4, 2, 2, 1, 1, 0, 1, 1
4141, 5220, 1, "OK", 6, 31, 9, 9, 6, 3, 3, 0
3886, 4170, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sepCnt int len byte[] bytes", 0, 0, 3, 3, 2, 1, 1, 0
4640, 4861, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int d int cc", 0, 0, 3, 2, 2, 0, 1, 1
3654, 5220, 1, "OK", 4, 40, 17, 17, 12, 5, 5, 0
4971, 5094, 1, "OK", 4, 3, 2, 1, 1, 0, 1, 1
4881, 5197, 1, "OK", 7, 9, 5, 5, 3, 2, 2, 0
3332, 5220, 1, "OK", 3, 51, 20, 20, 15, 5, 5, 0
3540, 4276, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int eIx int pad int sepCnt int len byte[] bytes int d", 0, 0, 10, 10, 8, 2, 2, 0
3886, 5197, 1, "OK", 5, 33, 12, 12, 8, 4, 4, 0
3886, 4048, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int cCnt int sepCnt", 0, 0, 3, 3, 2, 1, 1, 0
3967, 4101, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sepCnt int len", 0, 0, 3, 3, 2, 1, 1, 0
4266, 5197, 1, "OK", 7, 26, 9, 9, 6, 3, 3, 0
3404, 4276, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int eIx int pad int sepCnt int len byte[] bytes int d", 0, 0, 10, 10, 8, 2, 2, 0
3967, 4871, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int len byte[] bytes int d", 0, 0, 7, 7, 5, 2, 2, 0
4285, 4871, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int d", 0, 0, 4, 4, 3, 1, 1, 0
4058, 4871, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int len byte[] bytes int d", 0, 0, 4, 4, 3, 1, 1, 0
3776, 4276, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pad int sepCnt int len byte[] bytes int d", 0, 0, 6, 6, 4, 2, 2, 0
3540, 3911, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int eIx int pad int cCnt", 0, 0, 7, 7, 6, 1, 1, 0
3332, 3450, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
3540, 4170, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int eIx int pad int sepCnt int len byte[] bytes", 0, 0, 10, 10, 8, 2, 2, 0
3886, 5220, 1, "OK", 5, 35, 12, 12, 8, 4, 4, 0
4881, 5220, 1, "OK", 7, 11, 5, 5, 3, 2, 2, 0
4682, 4861, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int d int cc", 0, 0, 3, 2, 2, 0, 1, 1
4141, 4871, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx byte[] bytes int d", 0, 0, 4, 4, 3, 1, 1, 0
4266, 5220, 1, "OK", 7, 28, 9, 9, 6, 3, 3, 0
3540, 5197, 1, "OK", 4, 42, 19, 19, 14, 5, 5, 0
