A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
18388, 18717, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int pad int sepCnt int len", 0, 0, 6, 6, 4, 2, 2, 0
18581, 19905, 1, "OK", 6, 35, 12, 12, 8, 4, 4, 0
18262, 18787, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int eIx int pad int sepCnt int len byte[] bytes", 0, 0, 8, 8, 6, 2, 2, 0
18906, 19930, 1, "OK", 8, 30, 9, 9, 6, 3, 3, 0
18674, 19569, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int len byte[] bytes int d", 0, 0, 4, 4, 3, 1, 1, 0
18144, 18210, 1, "OK", 3, 2, 2, 2, 2, 0, 0, 0
18144, 18468, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int eIx int pad", 0, 0, 7, 7, 6, 1, 1, 0
18262, 19930, 1, "OK", 4, 43, 17, 17, 12, 5, 5, 0
18262, 18524, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int eIx int pad int cCnt", 0, 0, 5, 5, 4, 1, 1, 0
17929, 19905, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 20, 20, 15, 5, 5, 0
18906, 19569, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int d", 0, 0, 4, 4, 3, 1, 1, 0
19373, 19558, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int d int cc", 0, 0, 3, 2, 2, 0, 1, 1
18262, 19569, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int eIx int pad int len byte[] bytes int d", 0, 0, 12, 12, 9, 3, 3, 0
18581, 18896, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sepCnt int len byte[] bytes int d", 0, 0, 3, 3, 2, 1, 1, 0
18499, 19905, 1, "OK", 5, 36, 12, 12, 8, 4, 4, 0
19286, 19558, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int sIx int d int cc", 0, 0, 3, 2, 2, 0, 1, 1
18262, 18662, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int eIx int pad int cCnt int sepCnt", 0, 0, 8, 8, 6, 2, 2, 0
18388, 18468, 1, "OK", 2, 1, 3, 3, 2, 1, 1, 0
18758, 19930, 1, "OK", 6, 34, 9, 9, 6, 3, 3, 0
