A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
46481, 47047, 1, "OK", 4, 12, 12, 6, 5, 1, 2, 3
46149, 49400, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 54, 54, 28, 26, 12, 0
46149, 50166, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 62, 62, 34, 28, 14, 0
49742, 50156, 0, "Compilation unit does not compile after method extraction.", 3, 9, 3, 2, 2, 0, 1, 1
46107, 50713, 1, "OK", 3, 112, 67, 67, 37, 30, 16, 0
46107, 47127, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 19, 19, 9, 10, 4, 0
46431, 47065, 1, "OK", 4, 14, 15, 9, 6, 3, 3, 2
46280, 47117, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 17, 13, 7, 6, 4, 1
46323, 47065, 1, "OK", 3, 17, 15, 9, 6, 3, 3, 2
46149, 49638, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 57, 57, 30, 27, 13, 0
49742, 50126, 1, "OK", 3, 8, 3, 2, 2, 0, 1, 1
46107, 49159, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 51, 51, 26, 25, 11, 0
47498, 48531, 1, "OK", 4, 23, 21, 13, 10, 3, 4, 2
48692, 49149, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 5, 3, 2, 1, 2, 1
47537, 47833, 1, "OK", 1, 7, 6, 4, 4, 0, 1, 2
46149, 50713, 1, "OK", 4, 110, 67, 67, 37, 30, 16, 0
49876, 50126, 1, "OK", 4, 6, 3, 2, 2, 0, 1, 1
48002, 48308, 1, "OK", 3, 5, 7, 3, 3, 0, 1, 4
46149, 47127, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 19, 19, 9, 10, 4, 0
46366, 47065, 1, "OK", 3, 16, 15, 9, 6, 3, 3, 2
46149, 49159, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 51, 51, 26, 25, 11, 0
49826, 50126, 1, "OK", 3, 7, 3, 2, 2, 0, 1, 1
46323, 47103, 1, "OK", 3, 18, 15, 9, 6, 3, 3, 2
47662, 47833, 1, "OK", 1, 5, 2, 2, 2, 0, 0, 2
47907, 48426, 1, "OK", 3, 10, 12, 6, 5, 1, 2, 3
49876, 50156, 0, "Compilation unit does not compile after method extraction.", 4, 7, 3, 2, 2, 0, 1, 1
47498, 47833, 1, "OK", 1, 8, 6, 4, 4, 0, 1, 2
48565, 49331, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 10, 10, 6, 4, 3, 0
49209, 49321, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
47907, 48474, 1, "OK", 4, 12, 12, 6, 5, 1, 2, 3
49826, 50156, 0, "Compilation unit does not compile after method extraction.", 3, 8, 3, 2, 2, 0, 1, 1
49521, 49628, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
46431, 47103, 1, "OK", 4, 15, 15, 9, 6, 3, 3, 2
47137, 49331, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 35, 35, 19, 16, 8, 0
49341, 50650, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 13, 13, 9, 4, 4, 0
50219, 50302, 1, "OK", 1, 3, 2, 1, 1, 0, 1, 1
47451, 48545, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 23, 18, 11, 7, 5, 1
46366, 47103, 1, "OK", 3, 17, 15, 9, 6, 3, 3, 2
47137, 48555, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 25, 25, 13, 12, 5, 0
49168, 49331, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 3, 2, 1, 1, 0
50315, 50640, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
49251, 49321, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 1, 1, 0, 1, 1
49341, 50166, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 8, 6, 2, 2, 0
50176, 50650, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 5, 5, 3, 2, 2, 0
48797, 49103, 1, "OK", 4, 6, 3, 1, 1, 0, 1, 2
48565, 49638, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 13, 13, 8, 5, 4, 0
47537, 48492, 1, "OK", 4, 21, 21, 13, 10, 3, 4, 2
47137, 50650, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 48, 48, 28, 20, 12, 0
49168, 49638, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 6, 4, 2, 2, 0
48565, 50650, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 23, 23, 15, 8, 7, 0
49341, 49638, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 3, 2, 1, 1, 0
46218, 47117, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 17, 13, 7, 6, 4, 1
49168, 50650, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 16, 16, 11, 5, 5, 0
46519, 47000, 1, "OK", 3, 9, 12, 6, 5, 1, 2, 3
47850, 48492, 1, "OK", 4, 14, 15, 9, 6, 3, 3, 2
48838, 49103, 1, "OK", 5, 5, 3, 1, 1, 0, 1, 2
47137, 50166, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 43, 43, 25, 18, 10, 0
49409, 50650, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 13, 13, 9, 4, 4, 0
48565, 49159, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 7, 7, 4, 3, 2, 0
48797, 49135, 0, "Compilation unit does not compile after method extraction.", 4, 7, 3, 1, 1, 0, 1, 2
49341, 50713, 0, "Compilation unit does not compile after method extraction.", 4, 33, 13, 13, 9, 4, 4, 0
46107, 48555, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 44, 44, 22, 22, 9, 0
46519, 47047, 1, "OK", 4, 11, 12, 6, 5, 1, 2, 3
46107, 49331, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 54, 54, 28, 26, 12, 0
47137, 49400, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 35, 35, 19, 16, 8, 0
