A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
12096, 13376, 1, "OK", 1, 37, 17, 17, 14, 3, 3, 0
12525, 12698, 1, "OK", 1, 4, 3, 2, 2, 0, 1, 1
12525, 12634, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 2, 2, 0, 1, 1
12161, 13230, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 15, 15, 12, 3, 3, 0
12850, 13054, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 2, 2, 0, 1, 1
12096, 13064, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 14, 14, 11, 3, 3, 0
12249, 12417, 1, "OK", 1, 4, 3, 2, 2, 0, 1, 1
13074, 13337, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 3, 3, 3, 0, 0, 0
13240, 13376, 1, "OK", 1, 4, 1, 1, 1, 0, 0, 0
12249, 12354, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 2, 2, 0, 1, 1
13117, 13230, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
12161, 13107, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 13, 13, 10, 3, 3, 0
12476, 12698, 1, "OK", 1, 5, 3, 2, 2, 0, 1, 1
12476, 12634, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 2, 2, 0, 1, 1
12714, 13064, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 5, 5, 4, 1, 1, 0
13074, 13230, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
12433, 13064, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 9, 9, 7, 2, 2, 0
12096, 13337, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 17, 17, 14, 3, 3, 0
12803, 13064, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 4, 3, 1, 1, 0
13117, 13376, 1, "OK", 1, 9, 3, 3, 3, 0, 0, 0
13240, 13337, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
12161, 13376, 1, "OK", 1, 33, 16, 16, 13, 3, 3, 0
13074, 13376, 1, "OK", 1, 11, 3, 3, 3, 0, 0, 0
12944, 13054, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 2, 2, 0, 1, 1
12096, 13230, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 16, 16, 13, 3, 3, 0
12161, 13064, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 13, 13, 10, 3, 3, 0
12096, 13107, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 14, 14, 11, 3, 3, 0
12203, 12417, 1, "OK", 1, 5, 3, 2, 2, 0, 1, 1
13117, 13337, 0, "Compilation unit does not compile after method extraction.", 1, 8, 3, 3, 3, 0, 0, 0
12161, 13337, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 16, 16, 13, 3, 3, 0
12096, 12151, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
12203, 12354, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 2, 2, 0, 1, 1
12903, 13054, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 2, 2, 0, 1, 1
