A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
104585, 104795, 0, "Compilation unit does not compile after method extraction.", 2, 5, 2, 1, 1, 0, 1, 1
103407, 104805, 1, "OK", 1, 31, 16, 16, 14, 2, 2, 0
104089, 104374, 1, "OK", 1, 7, 3, 2, 2, 0, 1, 1
103722, 104805, 0, "Compilation unit does not compile after method extraction.", 3, 24, 13, 13, 11, 2, 2, 0
103454, 104826, 1, "OK", 2, 31, 16, 16, 14, 2, 2, 0
103625, 104805, 0, "Compilation unit does not compile after method extraction.", 3, 26, 14, 14, 12, 2, 2, 0
104089, 104315, 1, "OK", 1, 6, 3, 2, 2, 0, 1, 1
104116, 104374, 1, "OK", 1, 6, 3, 2, 2, 0, 1, 1
104390, 104805, 0, "Compilation unit does not compile after method extraction.", 2, 10, 6, 6, 5, 1, 1, 0
103479, 104826, 0, "Compilation unit does not compile after method extraction.", 3, 30, 16, 16, 14, 2, 2, 0
103454, 104805, 1, "OK", 2, 30, 16, 16, 14, 2, 2, 0
104116, 104315, 1, "OK", 1, 5, 3, 2, 2, 0, 1, 1
104029, 104805, 0, "Compilation unit does not compile after method extraction.", 3, 18, 10, 10, 8, 2, 2, 0
103928, 104805, 0, "Compilation unit does not compile after method extraction.", 3, 20, 11, 11, 9, 2, 2, 0
103479, 104805, 0, "Compilation unit does not compile after method extraction.", 3, 29, 16, 16, 14, 2, 2, 0
103831, 104805, 0, "Compilation unit does not compile after method extraction.", 3, 22, 12, 12, 10, 2, 2, 0
103407, 104826, 1, "OK", 1, 32, 16, 16, 14, 2, 2, 0
