A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
62305, 63134, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 8, 7, 1, 1, 0
62371, 63134, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 7, 7, 6, 1, 1, 0
63603, 63851, 1, "OK", 3, 10, 2, 2, 2, 0, 0, 0
62305, 62361, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
63254, 63532, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 4, 3, 1, 1, 0
63341, 63518, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 2, 1, 1, 0, 1, 1
62131, 62245, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
62255, 63134, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 8, 8, 7, 1, 1, 0
62576, 62784, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
62035, 62784, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 7, 7, 7, 0, 0, 0
62131, 63134, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 9, 9, 8, 1, 1, 0
62794, 63829, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 11, 11, 9, 2, 2, 0
62255, 62361, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
62131, 62361, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 2, 2, 2, 0, 0, 0
63667, 63767, 1, "OK", 3, 4, 1, 1, 1, 0, 0, 0
63603, 63829, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
62371, 62784, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 3, 3, 0, 0, 0
62576, 63851, 1, "OK", 4, 39, 13, 13, 11, 2, 2, 0
62576, 63594, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 11, 11, 9, 2, 2, 0
62035, 63594, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 16, 16, 14, 2, 2, 0
62035, 63851, 1, "OK", 3, 57, 18, 18, 16, 2, 2, 0
62035, 62566, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 5, 5, 5, 0, 0, 0
62255, 62784, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 4, 4, 0, 0, 0
62913, 62995, 1, "OK", 3, 3, 2, 1, 1, 0, 1, 1
62131, 62784, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 5, 5, 5, 0, 0, 0
62855, 62995, 1, "OK", 3, 4, 2, 1, 1, 0, 1, 1
62035, 62296, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 3, 3, 3, 0, 0, 0
62576, 63829, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 13, 13, 11, 2, 2, 0
62812, 63039, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 3, 2, 1, 1, 0
62794, 63851, 1, "OK", 4, 34, 11, 11, 9, 2, 2, 0
62035, 63829, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 18, 18, 16, 2, 2, 0
62794, 63594, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 9, 9, 7, 2, 2, 0
62255, 63594, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 13, 13, 11, 2, 2, 0
62255, 63851, 1, "OK", 3, 49, 15, 15, 13, 2, 2, 0
62131, 63594, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 14, 14, 12, 2, 2, 0
62255, 62566, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
63621, 63741, 1, "OK", 2, 4, 1, 1, 1, 0, 0, 0
62131, 63851, 1, "OK", 3, 53, 16, 16, 14, 2, 2, 0
62131, 62566, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 3, 3, 3, 0, 0, 0
63161, 63532, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 4, 3, 1, 1, 0
62305, 63829, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 15, 15, 13, 2, 2, 0
62794, 63134, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 4, 3, 1, 1, 0
62371, 63829, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 14, 14, 12, 2, 2, 0
63406, 63488, 1, "OK", 3, 3, 2, 1, 1, 0, 1, 1
62913, 63025, 1, "OK", 3, 4, 2, 1, 1, 0, 1, 1
63143, 63829, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 7, 7, 6, 1, 1, 0
62855, 63025, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 2, 1, 1, 0, 1, 1
62131, 62296, 1, "OK", 1, 5, 1, 1, 1, 0, 0, 0
62255, 63829, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 15, 15, 13, 2, 2, 0
62131, 63829, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 16, 16, 14, 2, 2, 0
62305, 62784, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 4, 4, 0, 0, 0
62035, 62121, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
63341, 63488, 1, "OK", 3, 4, 2, 1, 1, 0, 1, 1
63621, 63767, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 1, 1, 1, 0, 0, 0
62035, 62245, 0, "Compilation unit does not compile after method extraction.", 1, 7, 3, 3, 3, 0, 0, 0
63406, 63518, 1, "OK", 3, 4, 2, 1, 1, 0, 1, 1
62576, 63134, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 6, 6, 5, 1, 1, 0
62035, 63134, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 11, 11, 10, 1, 1, 0
62305, 63594, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 13, 13, 11, 2, 2, 0
63667, 63741, 1, "OK", 3, 3, 1, 1, 1, 0, 0, 0
62305, 63851, 1, "OK", 4, 48, 15, 15, 13, 2, 2, 0
62371, 63594, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 12, 12, 10, 2, 2, 0
62371, 63851, 1, "OK", 4, 44, 14, 14, 12, 2, 2, 0
62305, 62566, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
62035, 62361, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 4, 4, 4, 0, 0, 0
62371, 62566, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 1, 1, 1, 0, 0, 0
63143, 63594, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 5, 5, 4, 1, 1, 0
63143, 63851, 1, "OK", 4, 22, 7, 7, 6, 1, 1, 0
