A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
7929, 8664, 1, "OK", 2, 25, 10, 4, 4, 0, 3, 2
8162, 8430, 1, "OK", 2, 11, 4, 2, 2, 0, 1, 2
8226, 8430, 1, "OK", 3, 10, 4, 2, 2, 0, 1, 2
7444, 7707, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
7493, 8812, 1, "OK", 2, 47, 19, 19, 10, 9, 5, 0
7878, 8664, 1, "OK", 3, 26, 10, 4, 4, 0, 3, 2
8687, 8803, 1, "OK", 0, 3, 3, 1, 1, 0, 1, 2
7540, 7753, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
7444, 8812, 1, "OK", 2, 49, 19, 19, 10, 9, 5, 0
8027, 8664, 1, "OK", 3, 23, 10, 4, 4, 0, 3, 2
7756, 8812, 1, "OK", 2, 39, 17, 17, 8, 9, 5, 0
8147, 8664, 1, "OK", 2, 21, 10, 4, 4, 0, 3, 2
7493, 7753, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
8442, 8540, 1, "OK", 1, 2, 3, 1, 1, 0, 1, 2
7982, 8664, 1, "OK", 3, 24, 10, 4, 4, 0, 3, 2
7540, 7707, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
7802, 8808, 1, "OK", 3, 36, 16, 11, 7, 4, 5, 1
7711, 8812, 1, "OK", 2, 40, 17, 17, 8, 9, 5, 0
8075, 8664, 1, "OK", 3, 22, 10, 4, 4, 0, 3, 2
8731, 8803, 1, "OK", 0, 2, 3, 1, 1, 0, 1, 2
7837, 8808, 1, "OK", 3, 35, 16, 11, 7, 4, 5, 1
7493, 7707, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
7444, 7753, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 2, 2, 2, 0, 0, 0
7540, 8812, 1, "OK", 2, 46, 19, 19, 10, 9, 5, 0
8162, 8540, 1, "OK", 2, 14, 7, 3, 3, 0, 2, 2
8226, 8540, 1, "OK", 3, 13, 7, 3, 3, 0, 2, 2
