A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
8073, 12524, 1, "OK", 1, 68, 54, 54, 16, 38, 10, 0
9117, 12478, 0, "Compilation unit does not compile after method extraction.", 7, 50, 48, 32, 13, 19, 8, 2
11272, 11411, 1, "OK", 2, 3, 6, 1, 1, 0, 1, 5
11882, 12149, 1, "OK", 4, 4, 6, 1, 1, 0, 1, 5
12010, 12149, 1, "OK", 2, 3, 6, 1, 1, 0, 1, 5
8191, 12524, 1, "OK", 2, 64, 54, 54, 16, 38, 10, 0
12201, 12438, 1, "OK", 5, 5, 6, 2, 2, 0, 1, 4
10727, 12175, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int indexOfWeight double minimumValueFirstSolution double minimumValueSecondSolution", 0, 0, 34, 10, 6, 4, 6, 4
11588, 11852, 1, "OK", 4, 4, 6, 1, 1, 0, 1, 5
7743, 12524, 1, "OK", 1, 72, 54, 54, 16, 38, 10, 0
10852, 11243, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double minimumValueFirstSolution double value", 0, 0, 6, 1, 1, 0, 1, 5
10852, 11115, 1, "OK", 4, 4, 6, 1, 1, 0, 1, 5
11462, 12175, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int indexOfWeight double minimumValueFirstSolution double minimumValueSecondSolution", 0, 0, 17, 5, 3, 2, 3, 4
10978, 11243, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double minimumValueFirstSolution double value", 0, 0, 6, 1, 1, 0, 1, 5
10978, 11115, 1, "OK", 2, 3, 6, 1, 1, 0, 1, 5
11588, 11981, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double minimumValueFirstSolution double value", 0, 0, 6, 1, 1, 0, 1, 5
8376, 12492, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int indexOfSecondSolution int indexOfWeight", 0, 0, 53, 43, 15, 28, 10, 1
10620, 12175, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int indexOfWeight double minimumValueFirstSolution double minimumValueSecondSolution", 0, 0, 34, 10, 6, 4, 6, 4
11462, 12438, 1, "OK", 6, 17, 23, 7, 5, 2, 4, 4
10727, 12438, 1, "OK", 6, 28, 40, 12, 8, 4, 7, 4
11715, 12149, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double minimumValueFirstSolution double minimumValueSecondSolution", 0, 0, 12, 2, 2, 0, 2, 5
7907, 12502, 1, "OK", 1, 68, 54, 54, 16, 38, 10, 0
7996, 12502, 1, "OK", 1, 67, 54, 54, 16, 38, 10, 0
8122, 12502, 1, "OK", 2, 65, 54, 54, 16, 38, 10, 0
10229, 12460, 0, "Compilation unit does not compile after method extraction.", 7, 35, 42, 21, 10, 11, 7, 3
8517, 12478, 0, "Compilation unit does not compile after method extraction.", 5, 57, 51, 33, 14, 19, 9, 2
10620, 12438, 1, "OK", 4, 29, 40, 12, 8, 4, 7, 4
7835, 12502, 1, "OK", 1, 69, 54, 54, 16, 38, 10, 0
10066, 12460, 0, "Compilation unit does not compile after method extraction.", 7, 37, 46, 22, 11, 11, 8, 3
10727, 11437, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double minimumValueFirstSolution double minimumValueSecondSolution", 0, 0, 17, 5, 3, 2, 3, 4
9548, 12460, 0, "Compilation unit does not compile after method extraction.", 5, 43, 46, 22, 11, 11, 8, 3
8957, 12478, 0, "Compilation unit does not compile after method extraction.", 7, 52, 51, 33, 14, 19, 9, 2
7907, 12524, 1, "OK", 1, 70, 54, 54, 16, 38, 10, 0
8073, 12502, 1, "OK", 1, 66, 54, 54, 16, 38, 10, 0
11145, 11411, 1, "OK", 4, 4, 6, 1, 1, 0, 1, 5
11715, 11981, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double minimumValueFirstSolution double value", 0, 0, 6, 1, 1, 0, 1, 5
11715, 11852, 1, "OK", 2, 3, 6, 1, 1, 0, 1, 5
7835, 12524, 1, "OK", 1, 71, 54, 54, 16, 38, 10, 0
7996, 12524, 1, "OK", 1, 69, 54, 54, 16, 38, 10, 0
8654, 12478, 0, "Compilation unit does not compile after method extraction.", 6, 56, 51, 33, 14, 19, 9, 2
10852, 11411, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double minimumValueFirstSolution double minimumValueSecondSolution", 0, 0, 12, 2, 2, 0, 2, 5
8122, 12524, 1, "OK", 2, 67, 54, 54, 16, 38, 10, 0
10620, 11437, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double minimumValueFirstSolution double minimumValueSecondSolution", 0, 0, 17, 5, 3, 2, 3, 4
10978, 11411, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double minimumValueFirstSolution double minimumValueSecondSolution", 0, 0, 12, 2, 2, 0, 2, 5
11588, 12149, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  double minimumValueFirstSolution double minimumValueSecondSolution", 0, 0, 12, 2, 2, 0, 2, 5
7743, 12502, 1, "OK", 1, 70, 54, 54, 16, 38, 10, 0
8191, 12502, 1, "OK", 2, 62, 54, 54, 16, 38, 10, 0
9685, 12460, 0, "Compilation unit does not compile after method extraction.", 6, 42, 46, 22, 11, 11, 8, 3
