A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
15202, 16488, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ArrayList<Integer> dominateList int investigateRank", 0, 0, 29, 29, 9, 20, 7, 0
16644, 16720, 1, "OK", 3, 3, 3, 1, 1, 0, 1, 2
15308, 18059, 1, "OK", 4, 77, 84, 84, 22, 62, 19, 0
16477, 18059, 1, "OK", 3, 45, 55, 55, 13, 42, 12, 0
17131, 17881, 1, "OK", 5, 16, 28, 8, 4, 4, 4, 5
16569, 16728, 1, "OK", 2, 6, 5, 3, 2, 1, 2, 1
15001, 15429, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int indivRank ArrayList<Integer> curLevel ArrayList<Integer> dominateList", 0, 0, 3, 3, 2, 1, 1, 0
16569, 18011, 1, "OK", 4, 39, 54, 42, 12, 30, 12, 1
15624, 16465, 1, "OK", 4, 20, 25, 19, 6, 13, 6, 1
15308, 16531, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int investigateRank int curListSize", 0, 0, 29, 29, 9, 20, 7, 0
16735, 18011, 1, "OK", 4, 33, 49, 39, 10, 29, 10, 1
15001, 16471, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ArrayList<Integer> curLevel ArrayList<Integer> dominateList int investigateRank", 0, 0, 29, 29, 9, 20, 7, 0
15745, 16447, 1, "OK", 6, 15, 20, 8, 4, 4, 4, 3
17932, 18011, 1, "OK", 2, 3, 2, 1, 1, 0, 1, 1
15001, 15444, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int indivRank ArrayList<Integer> curLevel ArrayList<Integer> dominateList", 0, 0, 3, 3, 2, 1, 1, 0
17077, 17895, 1, "OK", 5, 18, 33, 13, 5, 8, 5, 4
16593, 18053, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int investigateRank int curListSize", 0, 0, 54, 42, 12, 30, 12, 1
16593, 17925, 1, "OK", 4, 35, 52, 41, 11, 30, 11, 1
16593, 16773, 1, "OK", 2, 6, 5, 3, 2, 1, 2, 1
15001, 15579, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ArrayList<Integer> curLevel ArrayList<Integer> dominateList int investigateRank", 0, 0, 3, 3, 2, 1, 1, 0
15357, 15423, 1, "OK", 3, 3, 2, 1, 1, 0, 1, 1
15082, 18059, 1, "OK", 2, 80, 84, 84, 22, 62, 19, 0
