A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
2902, 4821, 1, "OK", 5, 56, 26, 26, 13, 13, 8, 0
2168, 4801, 1, "OK", 3, 74, 28, 28, 15, 13, 8, 0
2168, 3777, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<List<Integer>> iDominate ArrayList<List<Integer>> front", 0, 0, 15, 15, 9, 6, 4, 0
3582, 4487, 1, "OK", 5, 28, 13, 13, 6, 7, 4, 0
2626, 2896, 1, "OK", 3, 8, 1, 1, 1, 0, 0, 0
2428, 2896, 1, "OK", 4, 14, 2, 2, 2, 0, 0, 0
2626, 4438, 1, "OK", 5, 52, 24, 24, 12, 12, 7, 0
4097, 4411, 1, "OK", 5, 7, 4, 1, 1, 0, 1, 3
2428, 4438, 1, "OK", 5, 58, 25, 25, 13, 12, 7, 0
2902, 3828, 1, "OK", 5, 27, 13, 13, 7, 6, 4, 0
2168, 4821, 1, "OK", 3, 76, 28, 28, 15, 13, 8, 0
2902, 3574, 1, "OK", 4, 17, 10, 10, 5, 5, 3, 0
3880, 4487, 1, "OK", 5, 18, 10, 10, 4, 6, 3, 0
2879, 4801, 1, "OK", 5, 55, 26, 26, 13, 13, 8, 0
2879, 3777, 1, "OK", 5, 25, 13, 13, 7, 6, 4, 0
2047, 4487, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ArrayList<List<Integer>> front int i", 0, 0, 25, 25, 13, 12, 7, 0
2168, 2529, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<List<Integer>> iDominate ArrayList<List<Integer>> front", 0, 0, 1, 1, 1, 0, 0, 0
1938, 3777, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int[] dominateMe List<List<Integer>> iDominate ArrayList<List<Integer>> front", 0, 0, 15, 15, 9, 6, 4, 0
1938, 4801, 1, "OK", 1, 80, 28, 28, 15, 13, 8, 0
2318, 4801, 1, "OK", 4, 71, 28, 28, 15, 13, 8, 0
2318, 3777, 1, "OK", 4, 41, 15, 15, 9, 6, 4, 0
2879, 4821, 1, "OK", 5, 57, 26, 26, 13, 13, 8, 0
4164, 4411, 1, "OK", 5, 5, 4, 1, 1, 0, 1, 3
2168, 3828, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<List<Integer>> iDominate ArrayList<List<Integer>> front int i", 0, 0, 15, 15, 9, 6, 4, 0
2168, 3574, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<List<Integer>> iDominate ArrayList<List<Integer>> front", 0, 0, 12, 12, 7, 5, 3, 0
2902, 3861, 1, "OK", 5, 28, 13, 13, 7, 6, 4, 0
1938, 4821, 1, "OK", 1, 82, 28, 28, 15, 13, 8, 0
3582, 4801, 1, "OK", 5, 36, 16, 16, 8, 8, 5, 0
3582, 3777, 1, "OK", 4, 6, 3, 3, 2, 1, 1, 0
2626, 4487, 1, "OK", 5, 54, 24, 24, 12, 12, 7, 0
2318, 4821, 1, "OK", 4, 73, 28, 28, 15, 13, 8, 0
2428, 4487, 1, "OK", 5, 60, 25, 25, 13, 12, 7, 0
1938, 2529, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<S> population int[] dominateMe List<List<Integer>> iDominate ArrayList<List<Integer>> front", 0, 0, 1, 1, 1, 0, 0, 0
2318, 2529, 1, "OK", 1, 6, 1, 1, 1, 0, 0, 0
3036, 3567, 1, "OK", 5, 14, 9, 6, 4, 2, 3, 1
2879, 3828, 1, "OK", 5, 28, 13, 13, 7, 6, 4, 0
2879, 3574, 1, "OK", 4, 18, 10, 10, 5, 5, 3, 0
3582, 4821, 1, "OK", 5, 38, 16, 16, 8, 8, 5, 0
4132, 4411, 1, "OK", 5, 6, 4, 1, 1, 0, 1, 3
3880, 4801, 1, "OK", 5, 26, 13, 13, 6, 7, 4, 0
3834, 4438, 1, "OK", 5, 17, 10, 10, 4, 6, 3, 0
2168, 3861, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<List<Integer>> iDominate ArrayList<List<Integer>> front int i", 0, 0, 15, 15, 9, 6, 4, 0
2047, 4801, 1, "OK", 2, 77, 28, 28, 15, 13, 8, 0
2047, 3777, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int[] dominateMe List<List<Integer>> iDominate ArrayList<List<Integer>> front", 0, 0, 15, 15, 9, 6, 4, 0
1938, 3828, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int[] dominateMe List<List<Integer>> iDominate ArrayList<List<Integer>> front int i", 0, 0, 15, 15, 9, 6, 4, 0
1938, 3574, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<S> population int[] dominateMe List<List<Integer>> iDominate ArrayList<List<Integer>> front", 0, 0, 12, 12, 7, 5, 3, 0
2318, 3828, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ArrayList<List<Integer>> front int i", 0, 0, 15, 15, 9, 6, 4, 0
4541, 4801, 1, "OK", 3, 7, 3, 3, 2, 1, 1, 0
2318, 3574, 1, "OK", 4, 34, 12, 12, 7, 5, 3, 0
3818, 4438, 1, "OK", 4, 18, 10, 10, 4, 6, 3, 0
3880, 4821, 1, "OK", 5, 28, 13, 13, 6, 7, 4, 0
3095, 3558, 1, "OK", 5, 12, 7, 3, 3, 0, 2, 2
3934, 4431, 1, "OK", 5, 13, 9, 6, 3, 3, 3, 1
2047, 4821, 1, "OK", 2, 79, 28, 28, 15, 13, 8, 0
2879, 3861, 1, "OK", 5, 29, 13, 13, 7, 6, 4, 0
3582, 3828, 1, "OK", 4, 9, 3, 3, 2, 1, 1, 0
4541, 4821, 1, "OK", 3, 9, 3, 3, 2, 1, 1, 0
4009, 4422, 1, "OK", 6, 10, 7, 3, 2, 1, 2, 2
2902, 4438, 1, "OK", 5, 44, 23, 23, 11, 12, 7, 0
2168, 2871, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<List<Integer>> iDominate ArrayList<List<Integer>> front", 0, 0, 2, 2, 2, 0, 0, 0
2626, 4801, 1, "OK", 5, 62, 27, 27, 14, 13, 8, 0
2626, 3777, 1, "OK", 5, 32, 14, 14, 8, 6, 4, 0
2047, 2529, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int[] dominateMe List<List<Integer>> iDominate ArrayList<List<Integer>> front", 0, 0, 1, 1, 1, 0, 0, 0
1938, 3861, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int[] dominateMe List<List<Integer>> iDominate ArrayList<List<Integer>> front int i", 0, 0, 15, 15, 9, 6, 4, 0
3459, 3558, 1, "OK", 5, 4, 1, 1, 1, 0, 0, 2
2428, 4801, 1, "OK", 5, 68, 28, 28, 15, 13, 8, 0
2428, 3777, 1, "OK", 5, 38, 15, 15, 9, 6, 4, 0
2318, 3861, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ArrayList<List<Integer>> front int i", 0, 0, 15, 15, 9, 6, 4, 0
3976, 4431, 1, "OK", 6, 12, 9, 6, 3, 3, 3, 1
4691, 4794, 1, "OK", 3, 3, 2, 1, 1, 0, 1, 1
3834, 4487, 1, "OK", 5, 19, 10, 10, 4, 6, 3, 0
2626, 4821, 1, "OK", 5, 64, 27, 27, 14, 13, 8, 0
2047, 3828, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int[] dominateMe List<List<Integer>> iDominate ArrayList<List<Integer>> front int i", 0, 0, 15, 15, 9, 6, 4, 0
2168, 2896, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<List<Integer>> iDominate ArrayList<List<Integer>> front", 0, 0, 2, 2, 2, 0, 0, 0
3095, 3343, 1, "OK", 3, 5, 3, 1, 1, 0, 1, 2
2047, 3574, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int[] dominateMe List<List<Integer>> iDominate ArrayList<List<Integer>> front", 0, 0, 12, 12, 7, 5, 3, 0
3582, 3861, 1, "OK", 4, 10, 3, 3, 2, 1, 1, 0
2428, 4821, 1, "OK", 5, 70, 28, 28, 15, 13, 8, 0
2168, 4438, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ArrayList<List<Integer>> front int i", 0, 0, 25, 25, 13, 12, 7, 0
3818, 4487, 1, "OK", 4, 20, 10, 10, 4, 6, 3, 0
1938, 2871, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<S> population int[] dominateMe List<List<Integer>> iDominate ArrayList<List<Integer>> front", 0, 0, 2, 2, 2, 0, 0, 0
2428, 2529, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
3635, 3770, 1, "OK", 4, 4, 2, 1, 1, 0, 1, 1
2318, 2871, 1, "OK", 3, 15, 2, 2, 2, 0, 0, 0
3353, 3558, 1, "OK", 5, 7, 4, 2, 2, 0, 1, 2
2626, 3828, 1, "OK", 5, 35, 14, 14, 8, 6, 4, 0
