A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
164081, 164256, 1, "OK", 3, 4, 3, 1, 1, 0, 1, 2
163477, 164031, 1, "OK", 3, 13, 9, 3, 3, 0, 3, 2
163109, 163789, 1, "OK", 3, 15, 12, 4, 4, 0, 4, 2
162850, 164264, 1, "OK", 1, 36, 20, 13, 7, 6, 7, 1
162916, 164264, 1, "OK", 1, 34, 20, 13, 7, 6, 7, 1
163658, 163789, 1, "OK", 3, 3, 3, 1, 1, 0, 1, 2
163293, 164031, 1, "OK", 3, 17, 12, 4, 4, 0, 4, 2
163874, 164031, 1, "OK", 3, 3, 3, 1, 1, 0, 1, 2
163109, 163427, 1, "OK", 3, 7, 6, 2, 2, 0, 2, 2
162992, 163789, 1, "OK", 2, 19, 12, 4, 4, 0, 4, 2
163109, 164256, 1, "OK", 3, 26, 18, 6, 6, 0, 6, 2
163293, 163608, 1, "OK", 3, 7, 6, 2, 2, 0, 2, 2
163477, 163789, 1, "OK", 3, 7, 6, 2, 2, 0, 2, 2
163658, 164256, 1, "OK", 3, 14, 9, 3, 3, 0, 3, 2
163109, 163608, 1, "OK", 3, 11, 9, 3, 3, 0, 3, 2
163293, 163789, 1, "OK", 3, 11, 9, 3, 3, 0, 3, 2
162992, 164031, 1, "OK", 2, 25, 15, 5, 5, 0, 5, 2
163477, 164256, 1, "OK", 3, 18, 12, 4, 4, 0, 4, 2
162992, 163608, 1, "OK", 2, 15, 9, 3, 3, 0, 3, 2
162727, 164270, 1, "OK", 0, 40, 21, 21, 8, 13, 7, 0
162785, 164264, 1, "OK", 1, 37, 20, 13, 7, 6, 7, 1
163109, 163243, 1, "OK", 3, 3, 3, 1, 1, 0, 1, 2
163293, 163427, 1, "OK", 3, 3, 3, 1, 1, 0, 1, 2
163293, 164256, 1, "OK", 3, 22, 15, 5, 5, 0, 5, 2
163477, 163608, 1, "OK", 3, 3, 3, 1, 1, 0, 1, 2
163874, 164256, 1, "OK", 3, 8, 6, 2, 2, 0, 2, 2
162992, 163243, 1, "OK", 2, 7, 3, 1, 1, 0, 1, 2
163109, 164031, 1, "OK", 3, 21, 15, 5, 5, 0, 5, 2
163658, 164031, 1, "OK", 3, 9, 6, 2, 2, 0, 2, 2
162992, 163427, 1, "OK", 2, 11, 6, 2, 2, 0, 2, 2
162992, 164256, 1, "OK", 2, 30, 18, 6, 6, 0, 6, 2
