A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
12796, 18622, 1, "OK", 11, 139, 86, 86, 40, 46, 18, 0
13074, 15121, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ILovDetail lovProvDet List rows List<ObjParuse> biParameterExecDependencies Map selectedParameterValues", 0, 0, 33, 33, 15, 18, 7, 0
12753, 14833, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ILovDetail lovProvDet List<ObjParuse> biParameterExecDependencies Map selectedParameterValues String mode String contest", 0, 0, 37, 37, 19, 18, 7, 0
12753, 15870, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ILovDetail lovProvDet JSONArray valuesJSONArray", 0, 0, 42, 42, 24, 18, 7, 0
12836, 14833, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ILovDetail lovProvDet List<ObjParuse> biParameterExecDependencies Map selectedParameterValues String mode String contest", 0, 0, 37, 37, 19, 18, 7, 0
12618, 14934, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String lovResult ILovDetail lovProvDet List<ObjParuse> biParameterExecDependencies Map selectedParameterValues String mode String contest", 0, 0, 37, 37, 19, 18, 7, 0
15126, 15530, 1, "OK", 5, 5, 2, 2, 2, 0, 0, 0
15174, 16090, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONArray valuesJSONArray List defaultValuesMetadata", 0, 0, 5, 5, 5, 0, 0, 0
12314, 18734, 1, "OK", 7, 155, 87, 87, 41, 46, 18, 0
13074, 16166, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONArray valuesJSONArray List defaultValuesMetadata", 0, 0, 38, 38, 20, 18, 7, 0
12680, 16090, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ILovDetail lovProvDet JSONArray valuesJSONArray List defaultValuesMetadata", 0, 0, 42, 42, 24, 18, 7, 0
17142, 18565, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 25, 15, 9, 6, 5, 2
12796, 16090, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ILovDetail lovProvDet JSONArray valuesJSONArray List defaultValuesMetadata", 0, 0, 42, 42, 24, 18, 7, 0
12836, 15870, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ILovDetail lovProvDet JSONArray valuesJSONArray", 0, 0, 42, 42, 24, 18, 7, 0
15535, 16166, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONArray valuesJSONArray List defaultValuesMetadata", 0, 0, 3, 3, 3, 0, 0, 0
14750, 15939, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONArray valuesJSONArray List defaultValuesMetadata", 0, 0, 5, 5, 5, 0, 0, 0
12680, 15083, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ILovDetail lovProvDet List<ObjParuse> biParameterExecDependencies Map selectedParameterValues String mode String contest LovResultHandler lovResultHandler", 0, 0, 37, 37, 19, 18, 7, 0
16314, 16602, 1, "OK", 2, 9, 7, 3, 2, 1, 2, 2
12950, 15939, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ILovDetail lovProvDet JSONArray valuesJSONArray List defaultValuesMetadata", 0, 0, 40, 40, 22, 18, 7, 0
16387, 16899, 1, "OK", 3, 16, 16, 6, 5, 1, 5, 2
16609, 17187, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ArrayList<HashMap<String, Object>> defaultErrorValues boolean defaultParameterAlreadyExist", 0, 0, 9, 3, 3, 0, 3, 2
15126, 18622, 1, "OK", 11, 80, 49, 49, 21, 28, 11, 0
13589, 14556, 1, "OK", 3, 24, 21, 12, 9, 3, 3, 3
14701, 15939, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ILovDetail lovProvDet JSONArray valuesJSONArray List defaultValuesMetadata", 0, 0, 5, 5, 5, 0, 0, 0
16314, 17136, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  HashMap<String, Object> itemAsMap ArrayList<HashMap<String, Object>> defaultErrorValues", 0, 0, 16, 6, 5, 1, 5, 2
13904, 14019, 1, "OK", 3, 5, 7, 2, 2, 0, 1, 5
17193, 18565, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 25, 15, 9, 6, 5, 2
12796, 15083, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ILovDetail lovProvDet List<ObjParuse> biParameterExecDependencies Map selectedParameterValues String mode String contest LovResultHandler lovResultHandler", 0, 0, 37, 37, 19, 18, 7, 0
13074, 15170, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ILovDetail lovProvDet List rows List<ObjParuse> biParameterExecDependencies Map selectedParameterValues", 0, 0, 33, 33, 15, 18, 7, 0
13222, 14691, 1, "OK", 4, 39, 31, 24, 13, 11, 7, 1
16284, 18571, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 43, 32, 15, 17, 11, 1
15015, 15939, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONArray valuesJSONArray List defaultValuesMetadata", 0, 0, 5, 5, 5, 0, 0, 0
16657, 16739, 1, "OK", 2, 1, 3, 1, 1, 0, 1, 2
12618, 16002, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ILovDetail lovProvDet JSONArray valuesJSONArray List defaultValuesMetadata", 0, 0, 42, 42, 24, 18, 7, 0
12680, 13069, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  DocumentRuntime dum Map selectedParameterValues String mode String contest", 0, 0, 4, 4, 4, 0, 0, 0
12618, 18576, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 86, 86, 40, 46, 18, 0
15126, 16090, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONArray valuesJSONArray List defaultValuesMetadata", 0, 0, 5, 5, 5, 0, 0, 0
13404, 14685, 1, "OK", 2, 33, 27, 17, 11, 6, 5, 2
12950, 14934, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String lovResult ILovDetail lovProvDet List<ObjParuse> biParameterExecDependencies Map selectedParameterValues String contest", 0, 0, 35, 35, 17, 18, 7, 0
12680, 15121, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ILovDetail lovProvDet List rows List<ObjParuse> biParameterExecDependencies Map selectedParameterValues String mode String contest", 0, 0, 37, 37, 19, 18, 7, 0
12618, 12946, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IEngUserProfile profile DocumentRuntime dum Map selectedParameterValues String mode", 0, 0, 2, 2, 2, 0, 0, 0
12796, 15121, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ILovDetail lovProvDet List rows List<ObjParuse> biParameterExecDependencies Map selectedParameterValues String mode String contest", 0, 0, 37, 37, 19, 18, 7, 0
13074, 14696, 1, "OK", 4, 43, 33, 33, 15, 18, 7, 0
12796, 13069, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Map selectedParameterValues String mode String contest", 0, 0, 4, 4, 4, 0, 0, 0
12753, 15939, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ILovDetail lovProvDet JSONArray valuesJSONArray List defaultValuesMetadata", 0, 0, 42, 42, 24, 18, 7, 0
16314, 16651, 1, "OK", 2, 11, 7, 3, 2, 1, 2, 2
16387, 16959, 1, "OK", 3, 17, 16, 6, 5, 1, 5, 2
12680, 16166, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONArray valuesJSONArray List defaultValuesMetadata", 0, 0, 42, 42, 24, 18, 7, 0
12618, 15010, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String lovResult ILovDetail lovProvDet List<ObjParuse> biParameterExecDependencies Map selectedParameterValues String mode String contest", 0, 0, 37, 37, 19, 18, 7, 0
12753, 14934, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String lovResult ILovDetail lovProvDet List<ObjParuse> biParameterExecDependencies Map selectedParameterValues String mode String contest", 0, 0, 37, 37, 19, 18, 7, 0
16745, 17136, 1, "OK", 2, 11, 6, 2, 2, 0, 2, 2
14750, 16002, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONArray valuesJSONArray List defaultValuesMetadata", 0, 0, 5, 5, 5, 0, 0, 0
16657, 18331, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 31, 17, 11, 6, 7, 2
12836, 15939, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ILovDetail lovProvDet JSONArray valuesJSONArray List defaultValuesMetadata", 0, 0, 42, 42, 24, 18, 7, 0
15174, 16166, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONArray valuesJSONArray List defaultValuesMetadata", 0, 0, 5, 5, 5, 0, 0, 0
12618, 15530, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ILovDetail lovProvDet List rows String mode", 0, 0, 39, 39, 21, 18, 7, 0
13773, 14029, 1, "OK", 1, 9, 12, 4, 3, 1, 2, 4
14268, 14556, 1, "OK", 3, 6, 2, 2, 2, 0, 0, 3
13856, 14029, 1, "OK", 2, 7, 12, 4, 3, 1, 2, 4
12950, 16002, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ILovDetail lovProvDet JSONArray valuesJSONArray List defaultValuesMetadata", 0, 0, 40, 40, 22, 18, 7, 0
16609, 16739, 1, "OK", 2, 2, 3, 1, 1, 0, 1, 2
12796, 16166, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONArray valuesJSONArray List defaultValuesMetadata", 0, 0, 42, 42, 24, 18, 7, 0
16314, 17187, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  HashMap<String, Object> itemAsMap ArrayList<HashMap<String, Object>> defaultErrorValues boolean defaultParameterAlreadyExist", 0, 0, 16, 6, 5, 1, 5, 2
16822, 18331, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 25, 15, 9, 6, 5, 2
14701, 16002, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ILovDetail lovProvDet JSONArray valuesJSONArray List defaultValuesMetadata", 0, 0, 5, 5, 5, 0, 0, 0
12618, 18622, 1, "OK", 9, 143, 86, 86, 40, 46, 18, 0
14750, 18576, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 49, 49, 21, 28, 11, 0
12836, 14934, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String lovResult ILovDetail lovProvDet List<ObjParuse> biParameterExecDependencies Map selectedParameterValues String mode String contest", 0, 0, 37, 37, 19, 18, 7, 0
15015, 16002, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONArray valuesJSONArray List defaultValuesMetadata", 0, 0, 5, 5, 5, 0, 0, 0
16905, 18331, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 22, 14, 8, 6, 4, 2
