A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
19227, 19394, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 6, 1, 1, 0, 1, 5
18639, 19576, 1, "OK", 2, 27, 23, 23, 8, 15, 5, 0
18617, 19557, 1, "OK", 2, 27, 23, 23, 8, 15, 5, 0
18690, 19534, 1, "OK", 3, 24, 23, 23, 8, 15, 5, 0
18743, 19557, 1, "OK", 4, 24, 23, 23, 8, 15, 5, 0
18617, 19576, 1, "OK", 2, 28, 23, 23, 8, 15, 5, 0
18639, 19534, 1, "OK", 2, 25, 23, 23, 8, 15, 5, 0
18743, 19576, 1, "OK", 4, 25, 23, 23, 8, 15, 5, 0
19174, 19402, 1, "OK", 4, 7, 11, 3, 2, 1, 2, 4
18690, 19557, 1, "OK", 3, 25, 23, 23, 8, 15, 5, 0
18975, 19525, 1, "OK", 4, 17, 19, 11, 5, 6, 4, 2
18789, 19530, 1, "OK", 4, 21, 21, 16, 6, 10, 5, 1
18743, 19534, 1, "OK", 4, 23, 23, 23, 8, 15, 5, 0
19119, 19402, 1, "OK", 3, 9, 11, 3, 2, 1, 2, 4
18901, 19525, 1, "OK", 5, 18, 19, 11, 5, 6, 4, 2
19084, 19519, 1, "OK", 4, 14, 16, 7, 4, 3, 3, 3
18639, 19557, 1, "OK", 2, 26, 23, 23, 8, 15, 5, 0
18690, 19576, 1, "OK", 3, 26, 23, 23, 8, 15, 5, 0
18617, 19534, 1, "OK", 2, 26, 23, 23, 8, 15, 5, 0
