A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
6201, 10331, 1, "OK", 4, 68, 49, 49, 28, 21, 9, 0
6117, 10373, 1, "OK", 2, 72, 49, 49, 28, 21, 9, 0
7027, 10327, 1, "OK", 6, 45, 32, 27, 19, 8, 5, 1
6040, 10331, 1, "OK", 2, 71, 49, 49, 28, 21, 9, 0
6237, 10373, 1, "OK", 5, 69, 49, 49, 28, 21, 9, 0
8305, 10265, 1, "OK", 6, 24, 13, 10, 9, 1, 1, 3
8578, 9494, 1, "OK", 6, 12, 7, 3, 3, 0, 1, 4
8516, 10265, 1, "OK", 6, 22, 12, 9, 8, 1, 1, 3
7946, 10265, 1, "OK", 6, 28, 15, 12, 11, 1, 1, 3
9507, 10265, 1, "OK", 5, 9, 4, 4, 4, 0, 0, 3
6666, 6816, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 5, 2, 2, 0, 1, 3
7236, 10265, 1, "OK", 6, 36, 22, 16, 15, 1, 2, 3
6152, 10331, 1, "OK", 3, 69, 49, 49, 28, 21, 9, 0
6040, 10354, 1, "OK", 2, 72, 49, 49, 28, 21, 9, 0
6201, 10354, 1, "OK", 4, 69, 49, 49, 28, 21, 9, 0
8921, 9494, 1, "OK", 6, 8, 2, 2, 2, 0, 0, 4
6592, 6822, 1, "OK", 1, 8, 8, 4, 3, 1, 2, 2
9268, 9494, 1, "OK", 6, 4, 1, 1, 1, 0, 0, 4
6152, 10354, 1, "OK", 3, 70, 49, 49, 28, 21, 9, 0
6549, 7007, 1, "OK", 4, 13, 11, 5, 4, 1, 3, 2
7198, 10316, 1, "OK", 6, 39, 26, 17, 16, 1, 3, 3
6040, 10373, 1, "OK", 2, 73, 49, 49, 28, 21, 9, 0
6201, 10373, 1, "OK", 4, 70, 49, 49, 28, 21, 9, 0
9702, 10265, 1, "OK", 5, 7, 3, 3, 3, 0, 0, 3
10086, 10265, 1, "OK", 5, 3, 1, 1, 1, 0, 0, 3
7074, 10322, 1, "OK", 6, 43, 29, 21, 17, 4, 4, 2
6632, 7007, 1, "OK", 5, 11, 11, 5, 4, 1, 3, 2
6152, 10373, 1, "OK", 3, 71, 49, 49, 28, 21, 9, 0
7151, 10265, 1, "OK", 5, 38, 22, 16, 15, 1, 2, 3
7236, 10316, 1, "OK", 7, 38, 26, 17, 16, 1, 3, 3
6713, 6816, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 5, 2, 2, 0, 1, 3
10271, 10316, 1, "OK", 2, 2, 4, 1, 1, 0, 1, 3
6282, 10331, 1, "OK", 6, 66, 49, 49, 28, 21, 9, 0
6117, 10331, 1, "OK", 2, 70, 49, 49, 28, 21, 9, 0
9897, 10265, 1, "OK", 5, 5, 2, 2, 2, 0, 0, 3
6827, 7007, 1, "OK", 4, 4, 3, 1, 1, 0, 1, 2
8126, 10265, 1, "OK", 6, 26, 14, 11, 10, 1, 1, 3
6237, 10331, 1, "OK", 5, 67, 49, 49, 28, 21, 9, 0
7420, 10265, 1, "OK", 6, 34, 18, 15, 14, 1, 1, 3
6592, 7007, 1, "OK", 4, 12, 11, 5, 4, 1, 3, 2
7117, 10322, 1, "OK", 6, 42, 29, 21, 17, 4, 4, 2
6282, 10354, 1, "OK", 6, 67, 49, 49, 28, 21, 9, 0
7602, 10265, 1, "OK", 6, 32, 17, 14, 13, 1, 1, 3
6117, 10354, 1, "OK", 2, 71, 49, 49, 28, 21, 9, 0
6549, 6822, 1, "OK", 1, 9, 8, 4, 3, 1, 2, 2
6237, 10354, 1, "OK", 5, 68, 49, 49, 28, 21, 9, 0
7776, 10265, 1, "OK", 6, 30, 16, 13, 12, 1, 1, 3
6632, 6822, 1, "OK", 2, 7, 8, 4, 3, 1, 2, 2
7151, 10316, 1, "OK", 6, 40, 26, 17, 16, 1, 3, 3
6282, 10373, 1, "OK", 6, 68, 49, 49, 28, 21, 9, 0
6345, 7012, 1, "OK", 4, 18, 15, 11, 7, 4, 4, 1
7198, 10265, 1, "OK", 5, 37, 22, 16, 15, 1, 2, 3
