A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
23554, 24716, 1, "OK", 2, 33, 17, 17, 11, 6, 3, 0
23604, 24765, 1, "OK", 4, 34, 17, 17, 11, 6, 3, 0
23661, 24405, 1, "OK", 2, 23, 14, 14, 8, 6, 3, 0
23661, 24788, 1, "OK", 3, 34, 17, 17, 11, 6, 3, 0
23661, 24716, 1, "OK", 2, 31, 17, 17, 11, 6, 3, 0
24409, 24765, 1, "OK", 3, 9, 3, 3, 3, 0, 0, 0
23909, 24072, 1, "OK", 1, 7, 7, 3, 2, 1, 2, 2
23683, 24765, 1, "OK", 4, 32, 17, 17, 11, 6, 3, 0
23604, 24716, 1, "OK", 3, 32, 17, 17, 11, 6, 3, 0
24011, 24066, 1, "OK", 2, 3, 4, 1, 1, 0, 1, 3
24409, 24788, 1, "OK", 3, 10, 3, 3, 3, 0, 0, 0
23554, 24788, 1, "OK", 3, 36, 17, 17, 11, 6, 3, 0
23532, 24765, 1, "OK", 3, 36, 17, 17, 11, 6, 3, 0
23858, 24072, 1, "OK", 1, 8, 7, 3, 2, 1, 2, 2
23719, 24283, 1, "OK", 1, 18, 12, 9, 6, 3, 3, 1
23554, 24405, 1, "OK", 2, 25, 14, 14, 8, 6, 3, 0
24409, 24716, 1, "OK", 2, 7, 3, 3, 3, 0, 0, 0
23532, 24405, 1, "OK", 2, 26, 14, 14, 8, 6, 3, 0
23683, 24716, 1, "OK", 3, 30, 17, 17, 11, 6, 3, 0
23532, 24788, 1, "OK", 3, 37, 17, 17, 11, 6, 3, 0
24083, 24283, 1, "OK", 1, 7, 2, 2, 2, 0, 0, 1
23604, 24405, 1, "OK", 3, 24, 14, 14, 8, 6, 3, 0
23532, 24716, 1, "OK", 2, 34, 17, 17, 11, 6, 3, 0
23604, 24788, 1, "OK", 4, 35, 17, 17, 11, 6, 3, 0
23939, 24072, 1, "OK", 2, 6, 7, 3, 2, 1, 2, 2
23809, 24283, 1, "OK", 1, 16, 10, 8, 5, 3, 2, 1
23554, 24765, 1, "OK", 3, 35, 17, 17, 11, 6, 3, 0
23683, 24405, 1, "OK", 3, 22, 14, 14, 8, 6, 3, 0
23683, 24788, 1, "OK", 4, 33, 17, 17, 11, 6, 3, 0
23985, 24066, 1, "OK", 3, 4, 4, 1, 1, 0, 1, 3
23661, 24765, 1, "OK", 3, 33, 17, 17, 11, 6, 3, 0
