A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
31745, 32044, 1, "OK", 3, 8, 2, 1, 1, 0, 1, 1
29617, 29914, 1, "OK", 3, 7, 3, 3, 2, 1, 1, 0
29690, 29824, 1, "OK", 2, 3, 2, 1, 1, 0, 1, 1
29918, 31714, 1, "OK", 4, 39, 33, 33, 15, 18, 8, 0
29406, 32093, 1, "OK", 4, 62, 39, 39, 19, 20, 10, 0
29541, 29829, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj IBIObjectDAO objdao", 0, 0, 3, 3, 2, 1, 1, 0
29330, 32048, 1, "OK", 2, 64, 39, 39, 19, 20, 10, 0
29415, 31714, 1, "OK", 3, 50, 36, 36, 17, 19, 9, 0
29576, 31714, 1, "OK", 5, 47, 36, 36, 17, 19, 9, 0
29415, 29914, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj IBIObjectDAO objdao String idFunctStr", 0, 0, 3, 3, 2, 1, 1, 0
29353, 32093, 1, "OK", 3, 64, 39, 39, 19, 20, 10, 0
29617, 31714, 1, "OK", 5, 46, 36, 36, 17, 19, 9, 0
29576, 29914, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj String idFunctStr", 0, 0, 3, 3, 2, 1, 1, 0
30712, 31176, 1, "OK", 2, 9, 10, 4, 3, 1, 2, 3
29330, 32290, 1, "OK", 3, 72, 40, 40, 20, 20, 10, 0
32051, 32290, 1, "OK", 3, 8, 1, 1, 1, 0, 0, 0
31789, 31988, 1, "OK", 2, 6, 2, 1, 1, 0, 1, 1
32097, 32290, 1, "OK", 2, 6, 1, 1, 1, 0, 0, 0
29576, 29829, 1, "OK", 3, 7, 3, 3, 2, 1, 1, 0
29415, 29829, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj IBIObjectDAO objdao", 0, 0, 3, 3, 2, 1, 1, 0
31419, 31703, 1, "OK", 3, 7, 7, 3, 2, 1, 2, 2
31572, 31696, 1, "OK", 4, 3, 4, 1, 1, 0, 1, 3
29833, 31714, 1, "OK", 4, 40, 33, 33, 15, 18, 8, 0
29617, 29829, 1, "OK", 2, 6, 3, 3, 2, 1, 1, 0
29948, 30446, 1, "OK", 4, 10, 6, 4, 3, 1, 2, 1
31465, 31703, 1, "OK", 4, 6, 7, 3, 2, 1, 2, 2
29330, 32093, 1, "OK", 3, 65, 39, 39, 19, 20, 10, 0
31527, 31696, 1, "OK", 4, 4, 4, 1, 1, 0, 1, 3
29499, 31714, 1, "OK", 4, 49, 36, 36, 17, 19, 9, 0
29406, 32290, 1, "OK", 4, 69, 40, 40, 20, 20, 10, 0
30759, 31176, 1, "OK", 3, 8, 10, 4, 3, 1, 2, 3
29499, 29914, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj IBIObjectDAO objdao String idFunctStr", 0, 0, 3, 3, 2, 1, 1, 0
29541, 31714, 1, "OK", 4, 48, 36, 36, 17, 19, 9, 0
30549, 31314, 1, "OK", 2, 15, 15, 9, 6, 3, 3, 2
30979, 31168, 1, "OK", 4, 4, 6, 2, 2, 0, 1, 4
29353, 32290, 1, "OK", 3, 71, 40, 40, 20, 20, 10, 0
30822, 31168, 1, "OK", 3, 6, 6, 2, 2, 0, 1, 4
29541, 29914, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj IBIObjectDAO objdao String idFunctStr", 0, 0, 3, 3, 2, 1, 1, 0
31745, 31988, 1, "OK", 3, 7, 2, 1, 1, 0, 1, 1
29406, 32048, 1, "OK", 3, 61, 39, 39, 19, 20, 10, 0
29742, 29824, 1, "OK", 2, 2, 2, 1, 1, 0, 1, 1
31024, 31168, 1, "OK", 4, 3, 6, 2, 2, 0, 1, 4
30868, 31168, 1, "OK", 3, 5, 6, 2, 2, 0, 1, 4
29499, 29829, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj IBIObjectDAO objdao", 0, 0, 3, 3, 2, 1, 1, 0
29353, 32048, 1, "OK", 2, 63, 39, 39, 19, 20, 10, 0
29995, 30446, 1, "OK", 4, 9, 6, 4, 3, 1, 2, 1
31789, 32044, 1, "OK", 2, 7, 2, 1, 1, 0, 1, 1
30463, 31709, 1, "OK", 3, 26, 25, 19, 10, 9, 6, 1
30318, 30440, 1, "OK", 4, 3, 3, 1, 1, 0, 1, 2
29640, 29824, 1, "OK", 2, 4, 2, 1, 1, 0, 1, 1
