A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
12031, 15200, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 16, 16, 13, 3, 2, 0
15203, 17232, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 15, 15, 12, 3, 2, 0
11804, 16100, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 21, 21, 18, 3, 2, 0
12031, 17255, 1, "OK", 7, 120, 31, 31, 25, 6, 4, 0
11675, 16002, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 19, 19, 16, 3, 2, 0
12666, 16002, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 18, 18, 15, 3, 2, 0
11961, 13295, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List viewpoints Snapshot snapshot SubObject subObj String userProvidedParametersStr String modality Integer id List correctRoles", 0, 0, 4, 4, 4, 0, 0, 0
13403, 13643, 1, "OK", 2, 6, 2, 2, 2, 0, 0, 0
12497, 15119, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 16, 16, 13, 3, 2, 0
13403, 15705, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 13, 13, 10, 3, 2, 0
13333, 15823, 0, "Selected statements contain a return statement but not all possible execution flows end in a return. Semantics may not be preserved if you proceed.", 0, 0, 15, 15, 12, 3, 2, 0
12769, 14873, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj ExecutionInstance instance", 0, 0, 14, 14, 11, 3, 2, 0
12307, 14873, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj ExecutionInstance instance", 0, 0, 15, 15, 12, 3, 2, 0
13111, 14525, 0, "Ambiguous return value: Expression, access to local or return statement extracted.", 0, 0, 13, 13, 10, 3, 2, 0
15122, 15671, 1, "OK", 3, 11, 1, 1, 1, 0, 0, 0
