A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
2863, 5519, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String currentFieldOrder PaginatorIFace paginator IBIObjectDAO objDAO", 0, 0, 13, 13, 13, 0, 0, 0
4922, 6203, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ListIFace list String valuefilter", 0, 0, 8, 8, 7, 1, 1, 0
5595, 5820, 1, "OK", 2, 5, 3, 3, 3, 0, 0, 0
2885, 6884, 1, "OK", 2, 88, 20, 20, 19, 1, 1, 0
5469, 6655, 1, "OK", 3, 25, 7, 7, 6, 1, 1, 0
4087, 4438, 1, "OK", 2, 7, 3, 3, 3, 0, 0, 0
3374, 6065, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  PaginatorIFace paginator ListIFace list", 0, 0, 19, 19, 18, 1, 1, 0
4087, 5466, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String currentFieldOrder PaginatorIFace paginator", 0, 0, 7, 7, 7, 0, 0, 0
5595, 6846, 1, "OK", 5, 26, 7, 7, 6, 1, 1, 0
3374, 4019, 1, "OK", 4, 14, 6, 6, 6, 0, 0, 0
3462, 5390, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String currentFieldOrder PaginatorIFace paginator int numRows", 0, 0, 13, 13, 13, 0, 0, 0
3109, 6097, 1, "OK", 3, 71, 19, 19, 18, 1, 1, 0
4441, 6788, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ListIFace list HashMap parametersMap", 0, 0, 11, 11, 10, 1, 1, 0
4485, 5424, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String currentFieldOrder PaginatorIFace paginator int numRows", 0, 0, 4, 4, 4, 0, 0, 0
4598, 4993, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String currentFieldOrder PaginatorIFace paginator int numRows", 0, 0, 2, 2, 2, 0, 0, 0
3029, 4482, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String currentFieldOrder String currentTypOrder", 0, 0, 9, 9, 9, 0, 0, 0
5152, 5232, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
3977, 6846, 1, "OK", 3, 66, 14, 14, 13, 1, 1, 0
4598, 6027, 1, "OK", 3, 38, 10, 10, 9, 1, 1, 0
3977, 5820, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  PaginatorIFace paginator List objectsList", 0, 0, 10, 10, 10, 0, 0, 0
