A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
10750, 11586, 1, "OK", 3, 19, 18, 18, 8, 10, 4, 0
10869, 11609, 1, "OK", 3, 18, 17, 17, 7, 10, 4, 0
10750, 10823, 1, "OK", 1, 1, 1, 1, 1, 0, 0, 0
10652, 11632, 1, "OK", 3, 24, 18, 18, 8, 10, 4, 0
10687, 10866, 1, "OK", 2, 3, 1, 1, 1, 0, 0, 0
10652, 10866, 1, "OK", 2, 5, 1, 1, 1, 0, 0, 0
10826, 11609, 1, "OK", 4, 19, 17, 17, 7, 10, 4, 0
10895, 11582, 1, "OK", 3, 15, 16, 12, 6, 6, 4, 1
10687, 11632, 1, "OK", 3, 22, 18, 18, 8, 10, 4, 0
10750, 11609, 1, "OK", 3, 20, 18, 18, 8, 10, 4, 0
10869, 11632, 1, "OK", 3, 19, 17, 17, 7, 10, 4, 0
11158, 11571, 1, "OK", 3, 9, 10, 4, 3, 1, 2, 3
11106, 11577, 1, "OK", 3, 11, 14, 8, 5, 3, 3, 2
10687, 11586, 1, "OK", 3, 20, 18, 18, 8, 10, 4, 0
10652, 11586, 1, "OK", 3, 22, 18, 18, 8, 10, 4, 0
10826, 11632, 1, "OK", 4, 20, 17, 17, 7, 10, 4, 0
10972, 11582, 1, "OK", 3, 14, 16, 12, 6, 6, 4, 1
10652, 10823, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONArray filters boolean hasFilters", 0, 0, 1, 1, 1, 0, 0, 0
10869, 11586, 1, "OK", 3, 17, 17, 17, 7, 10, 4, 0
10687, 10823, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONArray filters boolean hasFilters", 0, 0, 1, 1, 1, 0, 0, 0
11330, 11564, 1, "OK", 4, 5, 5, 1, 1, 0, 1, 4
10750, 10866, 1, "OK", 2, 2, 1, 1, 1, 0, 0, 0
11045, 11577, 1, "OK", 4, 12, 14, 8, 5, 3, 3, 2
10750, 11632, 1, "OK", 3, 21, 18, 18, 8, 10, 4, 0
11281, 11564, 1, "OK", 3, 6, 5, 1, 1, 0, 1, 4
11221, 11571, 1, "OK", 3, 8, 10, 4, 3, 1, 2, 3
10652, 11609, 1, "OK", 3, 23, 18, 18, 8, 10, 4, 0
10826, 11586, 1, "OK", 4, 18, 17, 17, 7, 10, 4, 0
10687, 11609, 1, "OK", 3, 21, 18, 18, 8, 10, 4, 0
