A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
2855, 3591, 1, "OK", 5, 13, 9, 5, 4, 1, 2, 2
2230, 2493, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean documentFound boolean canSeeDocument Locale locale", 0, 0, 1, 1, 1, 0, 0, 0
2138, 2404, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean documentFound boolean canSeeDocument UserProfile profile HttpServletRequest httpRequest", 0, 0, 1, 1, 1, 0, 0, 0
2138, 2534, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean documentFound boolean canSeeDocument UserProfile profile Locale locale JSONObject result", 0, 0, 1, 1, 1, 0, 0, 0
2262, 2404, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean canSeeDocument HttpServletRequest httpRequest", 0, 0, 1, 1, 1, 0, 0, 0
2262, 2534, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean canSeeDocument Locale locale JSONObject result", 0, 0, 1, 1, 1, 0, 0, 0
2230, 3653, 1, "OK", 3, 32, 15, 15, 9, 6, 3, 0
2173, 2350, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean documentFound boolean canSeeDocument UserProfile profile", 0, 0, 1, 1, 1, 0, 0, 0
2354, 3653, 1, "OK", 4, 28, 14, 14, 8, 6, 3, 0
2616, 3597, 1, "OK", 5, 19, 12, 9, 6, 3, 3, 1
2104, 2448, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean documentFound boolean canSeeDocument UserProfile profile HttpServletRequest httpRequest MessageBuilder m", 0, 0, 1, 1, 1, 0, 0, 0
2104, 3602, 1, "OK", 1, 34, 15, 15, 9, 6, 3, 0
2408, 3653, 1, "OK", 5, 27, 14, 14, 8, 6, 3, 0
2173, 2493, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean documentFound boolean canSeeDocument UserProfile profile Locale locale", 0, 0, 1, 1, 1, 0, 0, 0
2063, 2448, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  BIObject obj boolean documentFound boolean canSeeDocument UserProfile profile HttpServletRequest httpRequest MessageBuilder m", 0, 0, 1, 1, 1, 0, 0, 0
2063, 3602, 1, "OK", 0, 35, 15, 15, 9, 6, 3, 0
2173, 3653, 1, "OK", 2, 33, 15, 15, 9, 6, 3, 0
2538, 3602, 1, "OK", 6, 23, 14, 14, 8, 6, 3, 0
2230, 2404, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean documentFound boolean canSeeDocument HttpServletRequest httpRequest", 0, 0, 1, 1, 1, 0, 0, 0
3026, 3584, 1, "OK", 5, 8, 6, 3, 3, 0, 1, 3
2230, 2534, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean documentFound boolean canSeeDocument Locale locale JSONObject result", 0, 0, 1, 1, 1, 0, 0, 0
2497, 3602, 1, "OK", 5, 24, 14, 14, 8, 6, 3, 0
2104, 2350, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean documentFound boolean canSeeDocument UserProfile profile", 0, 0, 1, 1, 1, 0, 0, 0
