A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
18379, 18610, 1, "OK", 1, 6, 1, 1, 1, 0, 0, 0
16291, 18182, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean addNode JSONObject valueJSON boolean notNullNode", 0, 0, 19, 14, 8, 6, 5, 1
16017, 18610, 1, "OK", 6, 68, 24, 24, 12, 12, 6, 0
17844, 18176, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject valueJSON boolean notNullNode", 0, 0, 1, 1, 1, 0, 0, 2
16345, 18182, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean addNode JSONObject valueJSON boolean notNullNode", 0, 0, 19, 14, 8, 6, 5, 1
16244, 18369, 1, "OK", 10, 54, 22, 16, 10, 6, 6, 1
16324, 18182, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean addNode JSONObject valueJSON boolean notNullNode", 0, 0, 19, 14, 8, 6, 5, 1
17413, 17831, 1, "OK", 5, 11, 4, 1, 1, 0, 1, 3
16137, 18610, 1, "OK", 8, 65, 24, 24, 12, 12, 6, 0
15381, 18749, 1, "OK", 4, 89, 27, 27, 15, 12, 6, 0
15431, 18749, 1, "OK", 5, 87, 27, 27, 15, 12, 6, 0
16017, 18374, 1, "OK", 6, 61, 23, 23, 11, 12, 6, 0
16428, 18182, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean addNode JSONObject valueJSON boolean notNullNode", 0, 0, 19, 14, 8, 6, 5, 1
16087, 18374, 1, "OK", 7, 59, 23, 23, 11, 12, 6, 0
16137, 18374, 1, "OK", 8, 58, 23, 23, 11, 12, 6, 0
18432, 18642, 1, "OK", 2, 6, 1, 1, 1, 0, 0, 0
16087, 18642, 1, "OK", 7, 68, 24, 24, 12, 12, 6, 0
18379, 18642, 1, "OK", 1, 8, 1, 1, 1, 0, 0, 0
15353, 18749, 1, "OK", 4, 90, 27, 27, 15, 12, 6, 0
15479, 18427, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Set<JSONObject> valuesDataJSON JSONArray valuesDataJSONArray", 0, 0, 25, 25, 13, 12, 6, 0
16017, 18642, 1, "OK", 6, 70, 24, 24, 12, 12, 6, 0
16563, 18369, 1, "OK", 12, 46, 22, 16, 10, 6, 6, 1
15479, 16133, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int treeLovNodeLevel String valueColumn String treeLovNodeName String treeLovParentNodeName Set<JSONObject> valuesDataJSON", 0, 0, 2, 2, 2, 0, 0, 0
16200, 18610, 1, "OK", 9, 63, 24, 24, 12, 12, 6, 0
16137, 18642, 1, "OK", 8, 67, 24, 24, 12, 12, 6, 0
16394, 18369, 1, "OK", 10, 50, 22, 16, 10, 6, 6, 1
