A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
17651, 18394, 1, "OK", 2, 9, 8, 4, 3, 1, 2, 2
17362, 18394, 1, "OK", 1, 12, 8, 4, 3, 1, 2, 2
16234, 17134, 1, "OK", 1, 14, 3, 3, 3, 0, 0, 0
15718, 15975, 1, "OK", 0, 5, 1, 1, 1, 0, 0, 0
16673, 17088, 1, "OK", 2, 6, 1, 1, 1, 0, 0, 0
15988, 17088, 1, "OK", 0, 15, 3, 3, 3, 0, 0, 0
15718, 17134, 1, "OK", 0, 21, 4, 4, 4, 0, 0, 0
15932, 19331, 1, "OK", 0, 48, 23, 23, 13, 10, 5, 0
15718, 16119, 1, "OK", 0, 6, 1, 1, 1, 0, 0, 0
17726, 18394, 1, "OK", 3, 8, 8, 4, 3, 1, 2, 2
16673, 16991, 1, "OK", 2, 4, 1, 1, 1, 0, 0, 0
17809, 18368, 0, "Section contains break statement but not the parent statement it belongs to.", 0, 0, 5, 2, 2, 0, 1, 3
15718, 19331, 1, "OK", 0, 52, 24, 24, 14, 10, 5, 0
17281, 19121, 1, "OK", 1, 24, 18, 13, 8, 5, 5, 1
16132, 16991, 1, "OK", 0, 12, 3, 3, 3, 0, 0, 0
17169, 19139, 1, "OK", 1, 27, 19, 19, 9, 10, 5, 0
18419, 19047, 1, "OK", 1, 9, 7, 3, 3, 0, 2, 2
16234, 19331, 1, "OK", 1, 45, 23, 23, 13, 10, 5, 0
17447, 19099, 1, "OK", 1, 21, 15, 7, 6, 1, 4, 2
17651, 19047, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LovDependency lovDependency List<ParameterDependency> depList", 0, 0, 15, 7, 6, 1, 4, 2
15932, 16660, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ExecutionInstance executionInstance boolean isAMap", 0, 0, 2, 2, 2, 0, 0, 0
17362, 19047, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  LovDependency lovDependency List<ParameterDependency> depList", 0, 0, 15, 7, 6, 1, 4, 2
17101, 19331, 1, "OK", 1, 32, 20, 20, 10, 10, 5, 0
17147, 19331, 1, "OK", 1, 31, 20, 20, 10, 10, 5, 0
17726, 19047, 1, "OK", 3, 17, 15, 7, 6, 1, 4, 2
16673, 17134, 1, "OK", 2, 7, 1, 1, 1, 0, 0, 0
15718, 16660, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ExecutionInstance executionInstance boolean isAMap", 0, 0, 3, 3, 3, 0, 0, 0
15988, 16991, 1, "OK", 0, 13, 3, 3, 3, 0, 0, 0
18758, 19047, 1, "OK", 1, 4, 3, 1, 1, 0, 1, 2
16132, 17134, 1, "OK", 0, 15, 3, 3, 3, 0, 0, 0
16234, 16660, 1, "OK", 1, 7, 2, 2, 2, 0, 0, 0
17447, 18732, 1, "OK", 1, 15, 12, 6, 5, 1, 3, 2
18758, 18946, 1, "OK", 1, 3, 3, 1, 1, 0, 1, 2
17651, 18946, 1, "OK", 2, 17, 15, 7, 6, 1, 4, 2
17362, 18946, 1, "OK", 1, 20, 15, 7, 6, 1, 4, 2
18419, 18946, 1, "OK", 1, 8, 7, 3, 3, 0, 2, 2
15988, 17134, 1, "OK", 0, 16, 3, 3, 3, 0, 0, 0
18419, 19099, 1, "OK", 1, 10, 7, 3, 3, 0, 2, 2
17651, 19099, 1, "OK", 2, 19, 15, 7, 6, 1, 4, 2
15932, 17088, 1, "OK", 0, 16, 3, 3, 3, 0, 0, 0
17362, 19099, 1, "OK", 1, 22, 15, 7, 6, 1, 4, 2
16132, 19331, 1, "OK", 0, 46, 23, 23, 13, 10, 5, 0
16673, 19331, 1, "OK", 2, 38, 21, 21, 11, 10, 5, 0
17726, 18946, 1, "OK", 3, 16, 15, 7, 6, 1, 4, 2
16234, 17088, 1, "OK", 1, 13, 3, 3, 3, 0, 0, 0
