A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
14808, 15134, 1, "OK", 4, 7, 3, 1, 1, 0, 1, 2
13076, 13274, 1, "OK", 2, 5, 1, 1, 1, 0, 0, 0
14177, 14469, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String url String env", 0, 0, 4, 2, 2, 0, 2, 1
12776, 15145, 1, "OK", 5, 61, 23, 23, 12, 11, 8, 0
12857, 13274, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Locale locale List errors", 0, 0, 1, 1, 1, 0, 0, 0
12173, 15404, 1, "OK", 2, 81, 24, 24, 13, 11, 8, 0
12940, 13274, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Locale locale List errors", 0, 0, 1, 1, 1, 0, 0, 0
13053, 15145, 1, "OK", 6, 54, 23, 23, 12, 11, 8, 0
12234, 15187, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  JSONObject response HashMap<String, String> logParam", 0, 0, 23, 23, 12, 11, 8, 0
12395, 15187, 1, "OK", 5, 70, 23, 23, 12, 11, 8, 0
13461, 13642, 1, "OK", 2, 5, 2, 1, 1, 0, 1, 1
13732, 13945, 1, "OK", 2, 6, 3, 1, 1, 0, 1, 2
14237, 14418, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String url String env", 0, 0, 2, 1, 1, 0, 1, 1
14478, 15140, 1, "OK", 5, 18, 8, 5, 3, 2, 3, 1
14808, 15021, 1, "OK", 2, 6, 3, 1, 1, 0, 1, 2
12036, 15187, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  UserProfile profile JSONObject response HashMap<String, String> logParam", 0, 0, 23, 23, 12, 11, 8, 0
12552, 13274, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Locale locale List errors", 0, 0, 1, 1, 1, 0, 0, 0
12476, 15385, 1, "OK", 5, 75, 24, 24, 13, 11, 8, 0
12173, 15187, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  UserProfile profile JSONObject response HashMap<String, String> logParam", 0, 0, 23, 23, 12, 11, 8, 0
14177, 15140, 1, "OK", 6, 25, 12, 7, 5, 2, 5, 1
13416, 13642, 1, "OK", 1, 6, 2, 1, 1, 0, 1, 1
14237, 14303, 1, "OK", 2, 1, 2, 1, 1, 0, 1, 1
12276, 15187, 1, "OK", 4, 72, 23, 23, 12, 11, 8, 0
14590, 15134, 1, "OK", 4, 13, 6, 2, 2, 0, 2, 2
14177, 14511, 1, "OK", 3, 8, 4, 2, 2, 0, 2, 1
13461, 14049, 1, "OK", 5, 16, 7, 4, 3, 1, 3, 1
12817, 13274, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Locale locale List errors", 0, 0, 1, 1, 1, 0, 0, 0
12328, 15385, 1, "OK", 5, 77, 24, 24, 13, 11, 8, 0
12776, 13274, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Locale locale List errors", 0, 0, 1, 1, 1, 0, 0, 0
13647, 14049, 1, "OK", 4, 11, 5, 3, 2, 1, 2, 1
14516, 15140, 1, "OK", 4, 17, 8, 5, 3, 2, 3, 1
12476, 15404, 1, "OK", 5, 76, 24, 24, 13, 11, 8, 0
13017, 15145, 1, "OK", 5, 56, 23, 23, 12, 11, 8, 0
14590, 15021, 1, "OK", 2, 12, 6, 2, 2, 0, 2, 2
13053, 13274, 1, "OK", 1, 6, 1, 1, 1, 0, 0, 0
13416, 14049, 1, "OK", 4, 17, 7, 4, 3, 1, 3, 1
12543, 15385, 1, "OK", 5, 74, 24, 24, 13, 11, 8, 0
12328, 15404, 1, "OK", 5, 78, 24, 24, 13, 11, 8, 0
15190, 15385, 1, "OK", 2, 6, 1, 1, 1, 0, 0, 0
12151, 15385, 1, "OK", 2, 81, 24, 24, 13, 11, 8, 0
12543, 15404, 1, "OK", 5, 75, 24, 24, 13, 11, 8, 0
14423, 14469, 1, "OK", 1, 3, 2, 1, 1, 0, 1, 1
12395, 15385, 1, "OK", 5, 76, 24, 24, 13, 11, 8, 0
13278, 15145, 1, "OK", 7, 48, 22, 22, 11, 11, 8, 0
13504, 13642, 1, "OK", 2, 4, 2, 1, 1, 0, 1, 1
14237, 14469, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String url String env", 0, 0, 4, 2, 2, 0, 2, 1
15190, 15404, 1, "OK", 3, 7, 1, 1, 1, 0, 0, 0
13076, 15145, 1, "OK", 7, 53, 23, 23, 12, 11, 8, 0
14353, 14469, 1, "OK", 0, 4, 2, 1, 1, 0, 1, 1
14590, 14802, 1, "OK", 2, 6, 3, 1, 1, 0, 1, 2
12036, 15385, 1, "OK", 1, 83, 24, 24, 13, 11, 8, 0
12151, 15404, 1, "OK", 2, 82, 24, 24, 13, 11, 8, 0
14177, 14418, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String url String env", 0, 0, 2, 1, 1, 0, 1, 1
12234, 15385, 1, "OK", 3, 79, 24, 24, 13, 11, 8, 0
12857, 15145, 1, "OK", 5, 59, 23, 23, 12, 11, 8, 0
12940, 15145, 1, "OK", 6, 58, 23, 23, 12, 11, 8, 0
14177, 14303, 1, "OK", 3, 2, 2, 1, 1, 0, 1, 1
12476, 15187, 1, "OK", 5, 69, 23, 23, 12, 11, 8, 0
12276, 15385, 1, "OK", 4, 78, 24, 24, 13, 11, 8, 0
12395, 15404, 1, "OK", 5, 77, 24, 24, 13, 11, 8, 0
12552, 15145, 1, "OK", 5, 64, 23, 23, 12, 11, 8, 0
13017, 13274, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Locale locale List errors", 0, 0, 1, 1, 1, 0, 0, 0
13504, 14049, 1, "OK", 5, 15, 7, 4, 3, 1, 3, 1
12234, 15404, 1, "OK", 3, 80, 24, 24, 13, 11, 8, 0
14423, 15140, 1, "OK", 5, 21, 10, 6, 4, 2, 4, 1
12328, 15187, 1, "OK", 5, 71, 23, 23, 12, 11, 8, 0
12173, 15385, 1, "OK", 2, 80, 24, 24, 13, 11, 8, 0
12036, 15404, 1, "OK", 1, 84, 24, 24, 13, 11, 8, 0
14237, 15140, 1, "OK", 5, 24, 12, 7, 5, 2, 5, 1
12543, 15187, 1, "OK", 5, 68, 23, 23, 12, 11, 8, 0
14353, 15140, 1, "OK", 4, 22, 10, 6, 4, 2, 4, 1
14237, 14511, 1, "OK", 2, 7, 4, 2, 2, 0, 2, 1
12151, 15187, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  UserProfile profile JSONObject response HashMap<String, String> logParam", 0, 0, 23, 23, 12, 11, 8, 0
14353, 14511, 1, "OK", 1, 5, 2, 1, 1, 0, 1, 1
13732, 14043, 1, "OK", 3, 7, 3, 1, 1, 0, 1, 2
14423, 14511, 1, "OK", 2, 4, 2, 1, 1, 0, 1, 1
12276, 15404, 1, "OK", 4, 79, 24, 24, 13, 11, 8, 0
12817, 15145, 1, "OK", 5, 60, 23, 23, 12, 11, 8, 0
