A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
2478, 3124, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IEngUserProfile profile String userId String documentIdStr", 0, 0, 3, 3, 3, 0, 0, 0
3297, 3850, 1, "OK", 4, 15, 4, 4, 3, 1, 1, 0
2777, 3077, 1, "OK", 2, 6, 2, 2, 2, 0, 0, 0
2834, 4382, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Integer idFunction IBIObjectDAO biObjectDAOHibImpl BIObject biObject List funcs", 0, 0, 8, 8, 7, 1, 1, 0
2711, 3077, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String userId String documentIdStr", 0, 0, 2, 2, 2, 0, 0, 0
2370, 2901, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IEngUserProfile profile String userId String documentIdStr", 0, 0, 1, 1, 1, 0, 0, 0
3128, 3979, 1, "OK", 2, 21, 5, 5, 4, 1, 1, 0
2308, 5338, 1, "OK", 5, 79, 16, 16, 14, 2, 2, 0
5041, 5092, 1, "OK", 2, 3, 2, 1, 1, 0, 1, 1
2905, 3726, 1, "OK", 3, 20, 6, 6, 5, 1, 1, 0
2777, 4113, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String documentIdStr Integer idFunction IBIObjectDAO biObjectDAOHibImpl", 0, 0, 7, 7, 6, 1, 1, 0
2905, 3217, 1, "OK", 1, 7, 2, 2, 2, 0, 0, 0
2711, 4113, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String documentIdStr Integer idFunction IBIObjectDAO biObjectDAOHibImpl", 0, 0, 7, 7, 6, 1, 1, 0
2585, 2901, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String userId String documentIdStr", 0, 0, 1, 1, 1, 0, 0, 0
2777, 4630, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Integer idFunction IBIObjectDAO biObjectDAOHibImpl BIObject biObject List funcs", 0, 0, 9, 9, 8, 1, 1, 0
3297, 4382, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Integer idFunction IBIObjectDAO biObjectDAOHibImpl BIObject biObject List funcs", 0, 0, 6, 6, 5, 1, 1, 0
2370, 4962, 1, "OK", 3, 62, 12, 12, 11, 1, 1, 0
2711, 4630, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Integer idFunction IBIObjectDAO biObjectDAOHibImpl BIObject biObject List funcs", 0, 0, 9, 9, 8, 1, 1, 0
3328, 4962, 1, "OK", 7, 44, 9, 9, 8, 1, 1, 0
4992, 5092, 1, "OK", 2, 4, 2, 1, 1, 0, 1, 1
3818, 4113, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Integer idFunction IBIObjectDAO biObjectDAOHibImpl", 0, 0, 1, 1, 1, 0, 0, 0
2585, 4962, 1, "OK", 4, 60, 12, 12, 11, 1, 1, 0
3818, 4630, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Integer idFunction IBIObjectDAO biObjectDAOHibImpl BIObject biObject List funcs", 0, 0, 3, 3, 3, 0, 0, 0
3085, 3810, 1, "OK", 2, 16, 4, 4, 3, 1, 1, 0
3221, 4205, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  Integer idFunction IBIObjectDAO biObjectDAOHibImpl BIObject biObject", 0, 0, 5, 5, 4, 1, 1, 0
2777, 3124, 1, "OK", 2, 8, 2, 2, 2, 0, 0, 0
2711, 3124, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String userId String documentIdStr", 0, 0, 2, 2, 2, 0, 0, 0
