A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
22909, 23077, 1, "OK", 4, 6, 5, 3, 2, 1, 2, 1
23283, 23455, 1, "OK", 4, 6, 5, 3, 2, 1, 2, 1
23601, 23830, 1, "OK", 3, 7, 5, 3, 2, 1, 2, 1
23840, 24227, 1, "OK", 4, 11, 6, 6, 3, 3, 2, 0
23465, 24227, 1, "OK", 4, 21, 12, 12, 6, 6, 4, 0
24097, 24218, 1, "OK", 5, 4, 3, 1, 1, 0, 1, 2
23170, 23455, 1, "OK", 3, 8, 5, 3, 2, 1, 2, 1
23765, 23825, 1, "OK", 4, 3, 3, 1, 1, 0, 1, 2
23013, 23072, 1, "OK", 4, 3, 3, 1, 1, 0, 1, 2
22694, 24246, 1, "OK", 3, 42, 24, 24, 12, 12, 8, 0
22800, 23077, 1, "OK", 3, 8, 5, 3, 2, 1, 2, 1
23087, 24227, 1, "OK", 4, 31, 18, 18, 9, 9, 6, 0
24043, 24223, 1, "OK", 4, 6, 5, 3, 2, 1, 2, 1
23335, 23450, 1, "OK", 5, 4, 3, 1, 1, 0, 1, 2
23922, 24223, 1, "OK", 3, 8, 5, 3, 2, 1, 2, 1
23658, 23830, 1, "OK", 4, 6, 5, 3, 2, 1, 2, 1
22722, 24227, 1, "OK", 4, 40, 24, 24, 12, 12, 8, 0
22854, 23077, 1, "OK", 3, 7, 5, 3, 2, 1, 2, 1
23226, 23455, 1, "OK", 3, 7, 5, 3, 2, 1, 2, 1
24156, 24218, 1, "OK", 4, 3, 3, 1, 1, 0, 1, 2
22694, 24227, 1, "OK", 3, 41, 24, 24, 12, 12, 8, 0
23545, 23830, 1, "OK", 3, 8, 5, 3, 2, 1, 2, 1
23390, 23450, 1, "OK", 4, 3, 3, 1, 1, 0, 1, 2
23982, 24223, 1, "OK", 3, 7, 5, 3, 2, 1, 2, 1
22960, 23072, 1, "OK", 5, 4, 3, 1, 1, 0, 1, 2
22722, 24246, 1, "OK", 4, 41, 24, 24, 12, 12, 8, 0
23710, 23825, 1, "OK", 5, 4, 3, 1, 1, 0, 1, 2
