A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
17492, 19103, 1, "OK", 8, 39, 14, 14, 9, 5, 3, 0
18988, 19450, 1, "OK", 6, 9, 1, 1, 1, 0, 0, 0
19107, 19472, 1, "OK", 6, 7, 1, 1, 1, 0, 0, 0
17453, 17612, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String descriptionColumn int lb int ub", 0, 0, 2, 2, 2, 0, 0, 0
17616, 19472, 1, "OK", 9, 44, 13, 13, 8, 5, 3, 0
17793, 18978, 1, "OK", 6, 26, 10, 7, 5, 2, 3, 1
17616, 19218, 1, "OK", 8, 40, 13, 13, 8, 5, 3, 0
18364, 18942, 1, "OK", 5, 13, 5, 4, 3, 1, 1, 1
17544, 17612, 1, "OK", 3, 1, 1, 1, 1, 0, 0, 0
17664, 19012, 1, "OK", 7, 33, 11, 11, 6, 5, 3, 0
17616, 18983, 1, "OK", 7, 33, 12, 12, 7, 5, 3, 0
17345, 19450, 1, "OK", 6, 49, 15, 15, 10, 5, 3, 0
17345, 17659, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String valueColumn String descriptionColumn String displayColumn int lb int ub", 0, 0, 3, 3, 3, 0, 0, 0
17700, 18942, 1, "OK", 5, 27, 10, 7, 5, 2, 3, 1
17297, 17612, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String valueColumn String descriptionColumn String displayColumn JSONArray valuesDataJSON int lb int ub", 0, 0, 2, 2, 2, 0, 0, 0
17616, 19103, 1, "OK", 8, 37, 12, 12, 7, 5, 3, 0
17163, 19579, 1, "OK", 5, 61, 16, 16, 11, 5, 3, 0
19107, 19218, 1, "OK", 1, 3, 1, 1, 1, 0, 0, 0
19017, 19450, 1, "OK", 6, 7, 1, 1, 1, 0, 0, 0
17297, 19012, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String valueColumn String descriptionColumn String displayColumn JSONArray valuesDataJSON", 0, 0, 14, 14, 9, 5, 3, 0
17492, 18983, 1, "OK", 7, 35, 14, 14, 9, 5, 3, 0
17395, 19450, 1, "OK", 7, 48, 15, 15, 10, 5, 3, 0
17395, 17659, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String descriptionColumn String displayColumn int lb int ub", 0, 0, 3, 3, 3, 0, 0, 0
19017, 19472, 1, "OK", 6, 8, 1, 1, 1, 0, 0, 0
19017, 19218, 1, "OK", 1, 4, 1, 1, 1, 0, 0, 0
18021, 18352, 1, "OK", 4, 7, 3, 1, 1, 0, 1, 2
17453, 19450, 1, "OK", 8, 47, 15, 15, 10, 5, 3, 0
17453, 17659, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String descriptionColumn int lb int ub", 0, 0, 3, 3, 3, 0, 0, 0
17839, 18352, 1, "OK", 4, 10, 3, 1, 1, 0, 1, 2
17345, 17540, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String valueColumn String descriptionColumn String displayColumn int lb", 0, 0, 1, 1, 1, 0, 0, 0
18988, 19472, 1, "OK", 6, 10, 1, 1, 1, 0, 0, 0
18988, 19218, 1, "OK", 1, 6, 1, 1, 1, 0, 0, 0
17453, 17540, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String descriptionColumn int lb", 0, 0, 1, 1, 1, 0, 0, 0
17492, 17612, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int lb int ub", 0, 0, 2, 2, 2, 0, 0, 0
17664, 19450, 1, "OK", 9, 41, 12, 12, 7, 5, 3, 0
17395, 19472, 1, "OK", 7, 49, 15, 15, 10, 5, 3, 0
17345, 19103, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String valueColumn String descriptionColumn String displayColumn String[] visiblecolumns", 0, 0, 14, 14, 9, 5, 3, 0
17700, 18978, 1, "OK", 6, 29, 10, 7, 5, 2, 3, 1
17345, 19472, 1, "OK", 6, 50, 15, 15, 10, 5, 3, 0
17889, 18352, 1, "OK", 5, 9, 3, 1, 1, 0, 1, 2
17492, 19012, 1, "OK", 7, 37, 14, 14, 9, 5, 3, 0
17345, 19218, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String valueColumn String descriptionColumn String displayColumn String[] visiblecolumns", 0, 0, 15, 15, 10, 5, 3, 0
17395, 17540, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String descriptionColumn String displayColumn int lb", 0, 0, 1, 1, 1, 0, 0, 0
17544, 19450, 1, "OK", 9, 44, 14, 14, 9, 5, 3, 0
17288, 19579, 1, "OK", 5, 56, 16, 16, 11, 5, 3, 0
17544, 17659, 1, "OK", 3, 2, 2, 2, 2, 0, 0, 0
17616, 19012, 1, "OK", 7, 35, 12, 12, 7, 5, 3, 0
17544, 19472, 1, "OK", 9, 45, 14, 14, 9, 5, 3, 0
17297, 19450, 1, "OK", 5, 51, 15, 15, 10, 5, 3, 0
17297, 17659, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String valueColumn String descriptionColumn String displayColumn JSONArray valuesDataJSON int lb int ub", 0, 0, 3, 3, 3, 0, 0, 0
17544, 19218, 1, "OK", 8, 41, 14, 14, 9, 5, 3, 0
17747, 18942, 1, "OK", 4, 26, 10, 7, 5, 2, 3, 1
17395, 19103, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String descriptionColumn String displayColumn String[] visiblecolumns", 0, 0, 14, 14, 9, 5, 3, 0
17395, 19218, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String descriptionColumn String displayColumn String[] visiblecolumns", 0, 0, 15, 15, 10, 5, 3, 0
17453, 19472, 1, "OK", 8, 48, 15, 15, 10, 5, 3, 0
17453, 19218, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String descriptionColumn String[] visiblecolumns", 0, 0, 15, 15, 10, 5, 3, 0
17345, 18983, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String valueColumn String descriptionColumn String displayColumn", 0, 0, 14, 14, 9, 5, 3, 0
17544, 19103, 1, "OK", 8, 38, 13, 13, 8, 5, 3, 0
17453, 18983, 1, "OK", 7, 37, 14, 14, 9, 5, 3, 0
18413, 18665, 1, "OK", 2, 5, 3, 1, 1, 0, 1, 2
17793, 18942, 1, "OK", 5, 24, 10, 7, 5, 2, 3, 1
17664, 19472, 1, "OK", 9, 42, 12, 12, 7, 5, 3, 0
17453, 19103, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String descriptionColumn String[] visiblecolumns", 0, 0, 14, 14, 9, 5, 3, 0
17664, 19218, 1, "OK", 8, 38, 12, 12, 7, 5, 3, 0
17297, 17540, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String valueColumn String descriptionColumn String displayColumn JSONArray valuesDataJSON int lb", 0, 0, 1, 1, 1, 0, 0, 0
17395, 18983, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String descriptionColumn String displayColumn", 0, 0, 14, 14, 9, 5, 3, 0
17492, 17659, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  int lb int ub", 0, 0, 3, 3, 3, 0, 0, 0
17664, 18983, 1, "OK", 7, 31, 11, 11, 6, 5, 3, 0
18463, 18665, 1, "OK", 2, 4, 3, 1, 1, 0, 1, 2
17616, 19450, 1, "OK", 9, 43, 13, 13, 8, 5, 3, 0
17345, 17612, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String valueColumn String descriptionColumn String displayColumn int lb int ub", 0, 0, 2, 2, 2, 0, 0, 0
17616, 17659, 1, "OK", 2, 1, 1, 1, 1, 0, 0, 0
17297, 19103, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String valueColumn String descriptionColumn String displayColumn JSONArray valuesDataJSON String[] visiblecolumns", 0, 0, 14, 14, 9, 5, 3, 0
17297, 19472, 1, "OK", 5, 52, 15, 15, 10, 5, 3, 0
17544, 18983, 1, "OK", 7, 34, 13, 13, 8, 5, 3, 0
17664, 19103, 1, "OK", 8, 35, 11, 11, 6, 5, 3, 0
17297, 19218, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String valueColumn String descriptionColumn String displayColumn JSONArray valuesDataJSON String[] visiblecolumns", 0, 0, 15, 15, 10, 5, 3, 0
17345, 19012, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String valueColumn String descriptionColumn String displayColumn", 0, 0, 14, 14, 9, 5, 3, 0
17141, 19579, 1, "OK", 5, 62, 16, 16, 11, 5, 3, 0
17492, 19450, 1, "OK", 9, 45, 15, 15, 10, 5, 3, 0
17453, 19012, 1, "OK", 7, 39, 14, 14, 9, 5, 3, 0
19107, 19450, 1, "OK", 6, 6, 1, 1, 1, 0, 0, 0
17395, 17612, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String descriptionColumn String displayColumn int lb int ub", 0, 0, 2, 2, 2, 0, 0, 0
17216, 19579, 1, "OK", 5, 59, 16, 16, 11, 5, 3, 0
17492, 19472, 1, "OK", 9, 46, 15, 15, 10, 5, 3, 0
17544, 19012, 1, "OK", 7, 36, 13, 13, 8, 5, 3, 0
17492, 19218, 1, "OK", 8, 42, 15, 15, 10, 5, 3, 0
17747, 18978, 1, "OK", 5, 28, 10, 7, 5, 2, 3, 1
17492, 17540, 1, "OK", 1, 1, 1, 1, 1, 0, 0, 0
17395, 19012, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String descriptionColumn String displayColumn", 0, 0, 14, 14, 9, 5, 3, 0
17949, 18352, 1, "OK", 5, 8, 3, 1, 1, 0, 1, 2
17191, 19579, 1, "OK", 5, 60, 16, 16, 11, 5, 3, 0
17297, 18983, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String valueColumn String descriptionColumn String displayColumn JSONArray valuesDataJSON", 0, 0, 14, 14, 9, 5, 3, 0
