A, B, feasible, reason, parameters, extractedLOC, reductionCC, extractedMethodCC, accumulatedInherentComponent, accumulatedNestingComponent, numberNestingContributors, nesting
8906, 12749, 1, "OK", 7, 86, 72, 56, 27, 29, 16, 1
2795, 3530, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  HashMap<String, Object> resultAsMap ArrayList<HashMap<String, Object>> parametersArrayList List<BusinessModelDriverRuntime> parameters IMetaModelsDAO dao IParameterUseDAO parameterUseDAO String role", 0, 0, 2, 2, 2, 0, 0, 0
3099, 14589, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  List<BusinessModelDriverRuntime> parameters BusinessModelOpenParameters BMOP", 0, 0, 180, 180, 65, 115, 39, 0
4627, 11256, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean showParameterLov DefaultValuesList parameterValueList Object oVals Object oDescr", 0, 0, 112, 88, 39, 49, 24, 1
3252, 3706, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  String role MetaModel businessModel BusinessModelOpenParameters BMOP", 0, 0, 2, 2, 2, 0, 0, 0
9077, 9494, 1, "OK", 2, 8, 4, 2, 2, 0, 1, 2
3153, 3706, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  IParameterUseDAO parameterUseDAO String role MetaModel businessModel BusinessModelOpenParameters BMOP", 0, 0, 2, 2, 2, 0, 0, 0
7097, 7392, 1, "OK", 3, 8, 14, 4, 3, 1, 2, 5
13294, 13946, 1, "OK", 2, 11, 7, 3, 3, 0, 2, 2
4493, 14399, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  HashMap<String, Object> parameterAsMap boolean showParameterLov", 0, 0, 171, 134, 58, 76, 37, 1
11062, 14540, 1, "OK", 5, 80, 64, 49, 22, 27, 15, 1
10525, 12749, 1, "OK", 6, 55, 54, 42, 16, 26, 12, 1
5433, 12911, 1, "OK", 6, 181, 159, 126, 52, 74, 33, 1
12685, 14399, 1, "OK", 2, 33, 12, 8, 6, 2, 4, 1
5932, 8704, 1, "OK", 4, 74, 85, 53, 24, 29, 16, 2
13757, 13946, 1, "OK", 2, 2, 3, 1, 1, 0, 1, 2
15038, 15195, 1, "OK", 3, 7, 2, 2, 2, 0, 0, 0
4568, 11058, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean showParameterLov DefaultValuesList parameterValueList", 0, 0, 110, 87, 38, 49, 23, 1
6027, 8834, 1, "OK", 6, 75, 85, 53, 24, 29, 16, 2
3637, 15344, 0, "Compilation unit does not compile after method extraction.", 7, 282, 192, 192, 71, 121, 42, 0
4236, 11114, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  ParameterUse parameterUse HashMap<String, Object> parameterAsMap boolean showParameterLov DefaultValuesList parameterValueList Object oVals", 0, 0, 112, 88, 39, 49, 24, 1
5082, 14584, 1, "OK", 7, 223, 174, 136, 60, 76, 38, 1
5009, 12749, 1, "OK", 6, 185, 159, 126, 52, 74, 33, 1
5361, 11058, 0, "Ambiguous return value: Selected block modifies more than one local variable used in subsequent code. Affected variables are:  boolean showParameterLov DefaultValuesList parameterValueList", 0, 0, 110, 87, 38, 49, 23, 1
